base_configuration_id,base_game_index,behavioral_regime,dataset_split,game_family_id,game_id,seed,utterance_count,winner
r2_train_balanced_social,1,balanced_social,train,train_balanced_social_300_1,r2_train_balanced_social_seed_300_game_1,300,28,village
r2_train_balanced_social,2,balanced_social,train,train_balanced_social_300_2,r2_train_balanced_social_seed_300_game_2,300,16,wolf
r2_train_balanced_social,3,balanced_social,train,train_balanced_social_300_3,r2_train_balanced_social_seed_300_game_3,300,23,wolf
r2_train_balanced_social,4,balanced_social,train,train_balanced_social_300_4,r2_train_balanced_social_seed_300_game_4,300,18,wolf
r2_train_balanced_social,5,balanced_social,train,train_balanced_social_300_5,r2_train_balanced_social_seed_300_game_5,300,23,wolf
r2_train_balanced_social,6,balanced_social,train,train_balanced_social_300_6,r2_train_balanced_social_seed_300_game_6,300,17,wolf
r2_train_balanced_social,7,balanced_social,train,train_balanced_social_300_7,r2_train_balanced_social_seed_300_game_7,300,24,wolf
r2_train_balanced_social,8,balanced_social,train,train_balanced_social_300_8,r2_train_balanced_social_seed_300_game_8,300,17,village
r2_train_balanced_social,9,balanced_social,train,train_balanced_social_300_9,r2_train_balanced_social_seed_300_game_9,300,17,wolf
r2_train_balanced_social,10,balanced_social,train,train_balanced_social_300_10,r2_train_balanced_social_seed_300_game_10,300,26,wolf
r2_train_balanced_social,11,balanced_social,train,train_balanced_social_300_11,r2_train_balanced_social_seed_300_game_11,300,17,wolf
r2_train_balanced_social,12,balanced_social,train,train_balanced_social_300_12,r2_train_balanced_social_seed_300_game_12,300,22,village
r2_train_balanced_social,13,balanced_social,train,train_balanced_social_300_13,r2_train_balanced_social_seed_300_game_13,300,25,village
r2_train_balanced_social,14,balanced_social,train,train_balanced_social_300_14,r2_train_balanced_social_seed_300_game_14,300,17,wolf
r2_train_balanced_social,15,balanced_social,train,train_balanced_social_300_15,r2_train_balanced_social_seed_300_game_15,300,14,wolf
r2_train_balanced_social,16,balanced_social,train,train_balanced_social_300_16,r2_train_balanced_social_seed_300_game_16,300,22,wolf
r2_train_balanced_social,17,balanced_social,train,train_balanced_social_300_17,r2_train_balanced_social_seed_300_game_17,300,22,village
r2_train_balanced_social,18,balanced_social,train,train_balanced_social_300_18,r2_train_balanced_social_seed_300_game_18,300,22,wolf
r2_train_balanced_social,19,balanced_social,train,train_balanced_social_300_19,r2_train_balanced_social_seed_300_game_19,300,17,wolf
r2_train_balanced_social,20,balanced_social,train,train_balanced_social_300_20,r2_train_balanced_social_seed_300_game_20,300,21,wolf
r2_train_deception_adaptive,1,deception_adaptive,train,train_deception_adaptive_300_1,r2_train_deception_adaptive_seed_300_game_1,300,21,village
r2_train_deception_adaptive,2,deception_adaptive,train,train_deception_adaptive_300_2,r2_train_deception_adaptive_seed_300_game_2,300,23,village
r2_train_deception_adaptive,3,deception_adaptive,train,train_deception_adaptive_300_3,r2_train_deception_adaptive_seed_300_game_3,300,18,wolf
r2_train_deception_adaptive,4,deception_adaptive,train,train_deception_adaptive_300_4,r2_train_deception_adaptive_seed_300_game_4,300,10,wolf
r2_train_deception_adaptive,5,deception_adaptive,train,train_deception_adaptive_300_5,r2_train_deception_adaptive_seed_300_game_5,300,24,village
r2_train_deception_adaptive,6,deception_adaptive,train,train_deception_adaptive_300_6,r2_train_deception_adaptive_seed_300_game_6,300,22,wolf
r2_train_deception_adaptive,7,deception_adaptive,train,train_deception_adaptive_300_7,r2_train_deception_adaptive_seed_300_game_7,300,24,wolf
r2_train_deception_adaptive,8,deception_adaptive,train,train_deception_adaptive_300_8,r2_train_deception_adaptive_seed_300_game_8,300,16,wolf
r2_train_deception_adaptive,9,deception_adaptive,train,train_deception_adaptive_300_9,r2_train_deception_adaptive_seed_300_game_9,300,16,wolf
r2_train_deception_adaptive,10,deception_adaptive,train,train_deception_adaptive_300_10,r2_train_deception_adaptive_seed_300_game_10,300,16,wolf
r2_train_deception_adaptive,11,deception_adaptive,train,train_deception_adaptive_300_11,r2_train_deception_adaptive_seed_300_game_11,300,18,village
r2_train_deception_adaptive,12,deception_adaptive,train,train_deception_adaptive_300_12,r2_train_deception_adaptive_seed_300_game_12,300,18,village
r2_train_deception_adaptive,13,deception_adaptive,train,train_deception_adaptive_300_13,r2_train_deception_adaptive_seed_300_game_13,300,17,wolf
r2_train_deception_adaptive,14,deception_adaptive,train,train_deception_adaptive_300_14,r2_train_deception_adaptive_seed_300_game_14,300,16,wolf
r2_train_deception_adaptive,15,deception_adaptive,train,train_deception_adaptive_300_15,r2_train_deception_adaptive_seed_300_game_15,300,23,wolf
r2_train_deception_adaptive,16,deception_adaptive,train,train_deception_adaptive_300_16,r2_train_deception_adaptive_seed_300_game_16,300,23,wolf
r2_train_deception_adaptive,17,deception_adaptive,train,train_deception_adaptive_300_17,r2_train_deception_adaptive_seed_300_game_17,300,17,wolf
r2_train_deception_adaptive,18,deception_adaptive,train,train_deception_adaptive_300_18,r2_train_deception_adaptive_seed_300_game_18,300,19,village
r2_train_deception_adaptive,19,deception_adaptive,train,train_deception_adaptive_300_19,r2_train_deception_adaptive_seed_300_game_19,300,22,wolf
r2_train_deception_adaptive,20,deception_adaptive,train,train_deception_adaptive_300_20,r2_train_deception_adaptive_seed_300_game_20,300,24,wolf
r2_train_trust_weighted_memory,1,trust_weighted_memory,train,train_trust_weighted_memory_300_1,r2_train_trust_weighted_memory_seed_300_game_1,300,17,wolf
r2_train_trust_weighted_memory,2,trust_weighted_memory,train,train_trust_weighted_memory_300_2,r2_train_trust_weighted_memory_seed_300_game_2,300,17,wolf
r2_train_trust_weighted_memory,3,trust_weighted_memory,train,train_trust_weighted_memory_300_3,r2_train_trust_weighted_memory_seed_300_game_3,300,17,wolf
r2_train_trust_weighted_memory,4,trust_weighted_memory,train,train_trust_weighted_memory_300_4,r2_train_trust_weighted_memory_seed_300_game_4,300,21,wolf
r2_train_trust_weighted_memory,5,trust_weighted_memory,train,train_trust_weighted_memory_300_5,r2_train_trust_weighted_memory_seed_300_game_5,300,17,village
r2_train_trust_weighted_memory,6,trust_weighted_memory,train,train_trust_weighted_memory_300_6,r2_train_trust_weighted_memory_seed_300_game_6,300,22,wolf
r2_train_trust_weighted_memory,7,trust_weighted_memory,train,train_trust_weighted_memory_300_7,r2_train_trust_weighted_memory_seed_300_game_7,300,22,village
r2_train_trust_weighted_memory,8,trust_weighted_memory,train,train_trust_weighted_memory_300_8,r2_train_trust_weighted_memory_seed_300_game_8,300,24,village
r2_train_trust_weighted_memory,9,trust_weighted_memory,train,train_trust_weighted_memory_300_9,r2_train_trust_weighted_memory_seed_300_game_9,300,19,village
r2_train_trust_weighted_memory,10,trust_weighted_memory,train,train_trust_weighted_memory_300_10,r2_train_trust_weighted_memory_seed_300_game_10,300,17,wolf
r2_train_trust_weighted_memory,11,trust_weighted_memory,train,train_trust_weighted_memory_300_11,r2_train_trust_weighted_memory_seed_300_game_11,300,9,wolf
r2_train_trust_weighted_memory,12,trust_weighted_memory,train,train_trust_weighted_memory_300_12,r2_train_trust_weighted_memory_seed_300_game_12,300,17,wolf
r2_train_trust_weighted_memory,13,trust_weighted_memory,train,train_trust_weighted_memory_300_13,r2_train_trust_weighted_memory_seed_300_game_13,300,18,wolf
r2_train_trust_weighted_memory,14,trust_weighted_memory,train,train_trust_weighted_memory_300_14,r2_train_trust_weighted_memory_seed_300_game_14,300,17,wolf
