row_type,seed,strategy,n,village_win_rate,wolf_win_rate,odds_ratio,p_value,lr_statistic,df
seed_strategy_rate,42,physical_clockwise,500,0.412,0.588,,,,
seed_strategy_rate,42,physical_counterclockwise,500,0.396,0.604,,,,
seed_strategy_rate,42,alternate_physical_sides,500,0.394,0.606,,,,
seed_strategy_rate,42,random_neutral,500,0.434,0.566,,,,
seed_paired_difference,42,physical_clockwise - physical_counterclockwise,500,0.01599999999999996,,,,,
seed_paired_difference,42,physical_clockwise - random_neutral,500,-0.02200000000000002,,,,,
seed_paired_difference,42,physical_clockwise - alternate_physical_sides,500,0.01799999999999996,,,,,
seed_paired_difference,42,alternate_physical_sides - random_neutral,500,-0.03999999999999998,,,,,
seed_paired_difference,42,physical_counterclockwise - random_neutral,500,-0.03799999999999998,,,,,
seed_paired_difference,42,alternate_physical_sides - physical_counterclockwise,500,-0.0020000000000000018,,,,,
seed_strategy_rate,43,physical_clockwise,500,0.448,0.552,,,,
seed_strategy_rate,43,physical_counterclockwise,500,0.412,0.588,,,,
seed_strategy_rate,43,alternate_physical_sides,500,0.434,0.566,,,,
seed_strategy_rate,43,random_neutral,500,0.398,0.602,,,,
seed_paired_difference,43,physical_clockwise - physical_counterclockwise,500,0.03600000000000003,,,,,
seed_paired_difference,43,physical_clockwise - random_neutral,500,0.04999999999999999,,,,,
seed_paired_difference,43,physical_clockwise - alternate_physical_sides,500,0.014000000000000012,,,,,
seed_paired_difference,43,alternate_physical_sides - random_neutral,500,0.035999999999999976,,,,,
seed_paired_difference,43,physical_counterclockwise - random_neutral,500,0.013999999999999957,,,,,
seed_paired_difference,43,alternate_physical_sides - physical_counterclockwise,500,0.02200000000000002,,,,,
seed_strategy_rate,44,physical_clockwise,500,0.446,0.554,,,,
seed_strategy_rate,44,physical_counterclockwise,500,0.414,0.586,,,,
seed_strategy_rate,44,alternate_physical_sides,500,0.436,0.564,,,,
seed_strategy_rate,44,random_neutral,500,0.402,0.598,,,,
seed_paired_difference,44,physical_clockwise - physical_counterclockwise,500,0.03200000000000003,,,,,
seed_paired_difference,44,physical_clockwise - random_neutral,500,0.043999999999999984,,,,,
seed_paired_difference,44,physical_clockwise - alternate_physical_sides,500,0.010000000000000009,,,,,
seed_paired_difference,44,alternate_physical_sides - random_neutral,500,0.033999999999999975,,,,,
seed_paired_difference,44,physical_counterclockwise - random_neutral,500,0.011999999999999955,,,,,
seed_paired_difference,44,alternate_physical_sides - physical_counterclockwise,500,0.02200000000000002,,,,,
seed_strategy_rate,45,physical_clockwise,500,0.442,0.558,,,,
seed_strategy_rate,45,physical_counterclockwise,500,0.41,0.59,,,,
seed_strategy_rate,45,alternate_physical_sides,500,0.438,0.562,,,,
seed_strategy_rate,45,random_neutral,500,0.382,0.618,,,,
seed_paired_difference,45,physical_clockwise - physical_counterclockwise,500,0.03200000000000003,,,,,
seed_paired_difference,45,physical_clockwise - random_neutral,500,0.06,,,,,
seed_paired_difference,45,physical_clockwise - alternate_physical_sides,500,0.0040000000000000036,,,,,
seed_paired_difference,45,alternate_physical_sides - random_neutral,500,0.055999999999999994,,,,,
seed_paired_difference,45,physical_counterclockwise - random_neutral,500,0.02799999999999997,,,,,
seed_paired_difference,45,alternate_physical_sides - physical_counterclockwise,500,0.028000000000000025,,,,,
seed_strategy_rate,46,physical_clockwise,500,0.414,0.586,,,,
seed_strategy_rate,46,physical_counterclockwise,500,0.404,0.596,,,,
seed_strategy_rate,46,alternate_physical_sides,500,0.424,0.576,,,,
seed_strategy_rate,46,random_neutral,500,0.394,0.606,,,,
seed_paired_difference,46,physical_clockwise - physical_counterclockwise,500,0.009999999999999953,,,,,
seed_paired_difference,46,physical_clockwise - random_neutral,500,0.019999999999999962,,,,,
seed_paired_difference,46,physical_clockwise - alternate_physical_sides,500,-0.010000000000000009,,,,,
seed_paired_difference,46,alternate_physical_sides - random_neutral,500,0.02999999999999997,,,,,
seed_paired_difference,46,physical_counterclockwise - random_neutral,500,0.010000000000000009,,,,,
seed_paired_difference,46,alternate_physical_sides - physical_counterclockwise,500,0.019999999999999962,,,,,
leave_one_seed_out_model,exclude_42,physical_clockwise_vs_physical_counterclockwise,8000,,,1.1192603032285924,0.07845511645167313,,
leave_one_seed_out_model,exclude_42,physical_clockwise_vs_random_neutral,8000,,,1.1963097976008434,0.005266154048638505,,
leave_one_seed_out_model,exclude_43,physical_clockwise_vs_physical_counterclockwise,8000,,,1.096988575998417,0.1490454882331167,,
leave_one_seed_out_model,exclude_43,physical_clockwise_vs_random_neutral,8000,,,1.1107387560651856,0.10181944826054279,,
leave_one_seed_out_model,exclude_44,physical_clockwise_vs_physical_counterclockwise,8000,,,1.101510040230898,0.13180889673154228,,
leave_one_seed_out_model,exclude_44,physical_clockwise_vs_random_neutral,8000,,,1.1176440886314716,0.0831956561113456,,
leave_one_seed_out_model,exclude_45,physical_clockwise_vs_physical_counterclockwise,8000,,,1.1014460557687555,0.13192474947016142,,
leave_one_seed_out_model,exclude_45,physical_clockwise_vs_random_neutral,8000,,,1.0991656343124652,0.14037831000738965,,
leave_one_seed_out_model,exclude_46,physical_clockwise_vs_physical_counterclockwise,8000,,,1.1262696904999403,0.0633957527937763,,
leave_one_seed_out_model,exclude_46,physical_clockwise_vs_random_neutral,8000,,,1.1451089908853478,0.034539118485355846,,
strategy_seed_interaction_lr_test,all,all,10000,,,,0.8522921117026678,7.079846763906971,12
