section,strategy,seed,n_games,village_wins,wolf_wins,village_win_rate,village_win_rate_seed_sd,first_check_wolf_rate,first_check_wolf_rate_seed_sd,mean_total_seer_checks,seer_survival_rate,seer_survival_rate_seed_sd,first_target_edge_rate,mean_wolves_on_edge
dataset,all,all,17500,6759,10741,0.3862285714285714,,0.3316571428571429,,2.6164,0.29514285714285715,,0.4258857142857143,1.2092571428571428
strategy,default,all,2500,937,1563,0.3748,,0.3344,,2.61,0.2904,,0.3972,1.1956
strategy,random,all,2500,1013,1487,0.4052,,0.3472,,2.638,0.3032,,0.394,1.2044
strategy,edge_first,all,2500,1036,1464,0.4144,,0.342,,2.6128,0.308,,1.0,1.2216
strategy,inner_first,all,2500,1042,1458,0.4168,,0.318,,2.6148,0.3092,,0.0,1.2224
strategy,highest_p_wolf,all,2500,872,1628,0.3488,,0.3244,,2.6268,0.2884,,0.4024,1.2052
strategy,highest_suspicion,all,2500,871,1629,0.3484,,0.3356,,2.5936,0.2612,,0.4004,1.2164
strategy,opposite_side,all,2500,988,1512,0.3952,,0.32,,2.6188,0.3056,,0.3872,1.1992
strategy_seed,default,42,500,187,313,0.374,,0.342,,2.578,0.304,,0.39,1.222
strategy_seed,random,42,500,192,308,0.384,,0.312,,2.57,0.266,,0.398,1.174
strategy_seed,edge_first,42,500,196,304,0.392,,0.312,,2.612,0.3,,1.0,1.154
strategy_seed,inner_first,42,500,220,280,0.44,,0.32,,2.648,0.334,,0.0,1.216
strategy_seed,highest_p_wolf,42,500,185,315,0.37,,0.334,,2.652,0.296,,0.402,1.206
strategy_seed,highest_suspicion,42,500,172,328,0.344,,0.32,,2.624,0.28,,0.418,1.226
strategy_seed,opposite_side,42,500,211,289,0.422,,0.318,,2.626,0.324,,0.41,1.142
strategy_seed,default,43,500,185,315,0.37,,0.342,,2.664,0.284,,0.368,1.204
strategy_seed,random,43,500,207,293,0.414,,0.338,,2.624,0.294,,0.402,1.226
strategy_seed,edge_first,43,500,227,273,0.454,,0.332,,2.646,0.318,,1.0,1.206
strategy_seed,inner_first,43,500,205,295,0.41,,0.34,,2.542,0.284,,0.0,1.19
strategy_seed,highest_p_wolf,43,500,182,318,0.364,,0.316,,2.646,0.308,,0.414,1.184
strategy_seed,highest_suspicion,43,500,182,318,0.364,,0.34,,2.608,0.254,,0.404,1.15
strategy_seed,opposite_side,43,500,195,305,0.39,,0.33,,2.622,0.314,,0.44,1.24
strategy_seed,default,44,500,188,312,0.376,,0.308,,2.614,0.28,,0.422,1.22
strategy_seed,random,44,500,192,308,0.384,,0.388,,2.622,0.308,,0.394,1.2
strategy_seed,edge_first,44,500,200,300,0.4,,0.358,,2.526,0.288,,1.0,1.29
strategy_seed,inner_first,44,500,221,279,0.442,,0.332,,2.582,0.33,,0.0,1.212
strategy_seed,highest_p_wolf,44,500,165,335,0.33,,0.338,,2.634,0.278,,0.426,1.218
strategy_seed,highest_suspicion,44,500,170,330,0.34,,0.372,,2.6,0.26,,0.4,1.178
strategy_seed,opposite_side,44,500,203,297,0.406,,0.314,,2.634,0.276,,0.396,1.202
strategy_seed,default,45,500,180,320,0.36,,0.306,,2.534,0.29,,0.428,1.188
strategy_seed,random,45,500,207,293,0.414,,0.336,,2.676,0.334,,0.392,1.214
strategy_seed,edge_first,45,500,212,288,0.424,,0.35,,2.69,0.306,,1.0,1.208
strategy_seed,inner_first,45,500,187,313,0.374,,0.286,,2.642,0.286,,0.0,1.274
strategy_seed,highest_p_wolf,45,500,163,337,0.326,,0.328,,2.594,0.264,,0.39,1.214
strategy_seed,highest_suspicion,45,500,174,326,0.348,,0.314,,2.58,0.296,,0.4,1.298
strategy_seed,opposite_side,45,500,187,313,0.374,,0.332,,2.592,0.292,,0.34,1.184
strategy_seed,default,46,500,197,303,0.394,,0.374,,2.66,0.294,,0.378,1.144
strategy_seed,random,46,500,215,285,0.43,,0.362,,2.698,0.314,,0.384,1.208
strategy_seed,edge_first,46,500,201,299,0.402,,0.358,,2.59,0.328,,1.0,1.25
strategy_seed,inner_first,46,500,209,291,0.418,,0.312,,2.66,0.312,,0.0,1.22
strategy_seed,highest_p_wolf,46,500,177,323,0.354,,0.306,,2.608,0.296,,0.38,1.204
strategy_seed,highest_suspicion,46,500,173,327,0.346,,0.332,,2.556,0.216,,0.38,1.23
strategy_seed,opposite_side,46,500,192,308,0.384,,0.306,,2.62,0.322,,0.35,1.228
strategy_seed_summary,default,all,2500,,,0.3748,0.012377398757412651,0.33440000000000003,0.028227646023003764,,0.2904,0.009316651759081685,,
strategy_seed_summary,random,all,2500,,,0.40519999999999995,0.020425474290698846,0.3472,0.028865203966021095,,0.3032,0.025282404948896775,,
strategy_seed_summary,edge_first,all,2500,,,0.4144,0.025115732121520958,0.34199999999999997,0.019849433241279198,,0.308,0.01555634918610406,,
strategy_seed_summary,inner_first,all,2500,,,0.4168,0.027626074639731213,0.318,0.02088061301782112,,0.30920000000000003,0.023605084198112934,,
strategy_seed_summary,highest_p_wolf,all,2500,,,0.3488,0.01987963782366267,0.3244,0.01322119510483074,,0.2884,0.017343586710943028,,
strategy_seed_summary,highest_suspicion,all,2500,,,0.3484,0.009208691546577066,0.3356,0.022733235581412513,,0.2612,0.03025227264190246,,
strategy_seed_summary,opposite_side,all,2500,,,0.3952,0.01895257238477141,0.32,0.010954451150103331,,0.3056,0.020851858430365383,,
