section,seed,excluded_seed,strategy,n_games,village_win_rate,wolf_win_rate,first_check_wolf_rate,edge_vs_random_village_diff,edge_vs_inner_village_diff,z_score,flag
seed_overall,42,,all,3500,0.3894285714285714,0.6105714285714285,0.32257142857142856,,,0.3985537994580241,not_outlier
seed_overall,43,,all,3500,0.39514285714285713,0.6048571428571429,0.334,,,1.1102570127759301,not_outlier
seed_overall,44,,all,3500,0.38257142857142856,0.6174285714285714,0.3442857142857143,,,-0.4554900565234591,not_outlier
seed_overall,45,,all,3500,0.3742857142857143,0.6257142857142857,0.32171428571428573,,,-1.4874597158344205,not_outlier
seed_overall,46,,all,3500,0.38971428571428574,0.6102857142857143,0.3357142857142857,,,0.4341389601239253,not_outlier
leave_one_seed_out_strategy,,42,default,2000,0.375,0.625,0.3325,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,random,2000,0.4105,0.5895,0.356,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,edge_first,2000,0.42,0.5800000000000001,0.3495,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,inner_first,2000,0.411,0.589,0.3175,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,highest_p_wolf,2000,0.3435,0.6565,0.322,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,highest_suspicion,2000,0.3495,0.6505000000000001,0.3395,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,42,opposite_side,2000,0.3885,0.6114999999999999,0.3205,0.009500000000000008,0.009000000000000008,,
leave_one_seed_out_strategy,,43,default,2000,0.376,0.624,0.3325,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,random,2000,0.403,0.597,0.3495,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,edge_first,2000,0.4045,0.5954999999999999,0.3445,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,inner_first,2000,0.4185,0.5815,0.3125,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,highest_p_wolf,2000,0.345,0.655,0.3265,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,highest_suspicion,2000,0.3445,0.6555,0.3345,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,43,opposite_side,2000,0.3965,0.6034999999999999,0.3175,0.0015000000000000013,-0.013999999999999957,,
leave_one_seed_out_strategy,,44,default,2000,0.3745,0.6255,0.341,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,random,2000,0.4105,0.5895,0.337,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,edge_first,2000,0.418,0.5820000000000001,0.338,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,inner_first,2000,0.4105,0.5895,0.3145,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,highest_p_wolf,2000,0.3535,0.6465000000000001,0.321,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,highest_suspicion,2000,0.3505,0.6495,0.3265,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,44,opposite_side,2000,0.3925,0.6074999999999999,0.3215,0.007500000000000007,0.007500000000000007,,
leave_one_seed_out_strategy,,45,default,2000,0.3785,0.6214999999999999,0.3415,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,random,2000,0.403,0.597,0.35,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,edge_first,2000,0.412,0.5880000000000001,0.34,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,inner_first,2000,0.4275,0.5725,0.326,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,highest_p_wolf,2000,0.3545,0.6455,0.3235,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,highest_suspicion,2000,0.3485,0.6515,0.341,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,45,opposite_side,2000,0.4005,0.5994999999999999,0.317,0.008999999999999952,-0.015500000000000014,,
leave_one_seed_out_strategy,,46,default,2000,0.37,0.63,0.3245,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,random,2000,0.399,0.601,0.3435,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,edge_first,2000,0.4175,0.5825,0.338,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,inner_first,2000,0.4165,0.5835,0.3195,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,highest_p_wolf,2000,0.3475,0.6525000000000001,0.329,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,highest_suspicion,2000,0.349,0.651,0.3365,0.01849999999999996,0.0010000000000000009,,
leave_one_seed_out_strategy,,46,opposite_side,2000,0.398,0.602,0.3235,0.01849999999999996,0.0010000000000000009,,
