condition,seed,wolf_win_rate_pp,condition_wolf_z,leave_one_out_wolf_mean_pp,influence_shift_pp,outlier_flag_abs_z_ge_2
seer_default,42,62.60,0.06,62.50,-0.02,False
seer_default,43,63.00,0.39,62.40,-0.12,False
seer_default,44,62.40,-0.10,62.55,0.03,False
seer_default,45,64.00,1.20,62.15,-0.37,False
seer_default,46,60.60,-1.55,63.00,0.48,False
seer_random,42,61.60,1.04,58.95,-0.53,False
seer_random,43,58.60,-0.43,59.70,0.22,False
seer_random,44,61.60,1.04,58.95,-0.53,False
seer_random,45,58.60,-0.43,59.70,0.22,False
seer_random,46,57.00,-1.21,60.10,0.62,False
seer_edge_first,42,60.80,0.89,58.00,-0.56,False
seer_edge_first,43,54.60,-1.58,59.55,0.99,False
seer_edge_first,44,60.00,0.57,58.20,-0.36,False
seer_edge_first,45,57.60,-0.38,58.80,0.24,False
seer_edge_first,46,59.80,0.49,58.25,-0.31,False
seer_inner_first,42,56.00,-0.84,58.90,0.58,False
seer_inner_first,43,59.00,0.25,58.15,-0.17,False
seer_inner_first,44,55.80,-0.91,58.95,0.63,False
seer_inner_first,45,62.60,1.55,57.25,-1.07,False
seer_inner_first,46,58.20,-0.04,58.35,0.03,False
seer_highest_p_wolf,42,63.00,-1.07,65.65,0.53,False
seer_highest_p_wolf,43,63.60,-0.76,65.50,0.38,False
seer_highest_p_wolf,44,67.00,0.95,64.65,-0.47,False
seer_highest_p_wolf,45,67.40,1.15,64.55,-0.57,False
seer_highest_p_wolf,46,64.60,-0.26,65.25,0.13,False
seer_highest_suspicion,42,65.60,0.48,65.05,-0.11,False
seer_highest_suspicion,43,63.60,-1.69,65.55,0.39,False
seer_highest_suspicion,44,66.00,0.91,64.95,-0.21,False
seer_highest_suspicion,45,65.20,0.04,65.15,-0.01,False
seer_highest_suspicion,46,65.40,0.26,65.10,-0.06,False
seer_opposite_side,42,57.80,-1.41,61.15,0.67,False
seer_opposite_side,43,61.00,0.27,60.35,-0.13,False
seer_opposite_side,44,59.40,-0.57,60.75,0.27,False
seer_opposite_side,45,62.60,1.12,59.95,-0.53,False
seer_opposite_side,46,61.60,0.59,60.20,-0.28,False
