strategy,num_games,village_win_mean,village_win_ci_low,village_win_ci_high,wolf_win_mean,wolf_win_ci_low,wolf_win_ci_high,first_check_wolf_mean,first_check_wolf_ci_low,first_check_wolf_ci_high,found_wolf_by_check_2_mean,found_wolf_by_check_2_ci_low,found_wolf_by_check_2_ci_high,found_wolf_by_check_3_mean,found_wolf_by_check_3_ci_low,found_wolf_by_check_3_ci_high,seer_found_any_wolf_mean,seer_found_any_wolf_ci_low,seer_found_any_wolf_ci_high,seer_found_wolf_count_mean,seer_found_wolf_count_ci_low,seer_found_wolf_count_ci_high,seer_survived_to_game_end_mean,seer_survived_to_game_end_ci_low,seer_survived_to_game_end_ci_high,total_seer_checks_mean,total_seer_checks_ci_low,total_seer_checks_ci_high,search_path_coverage_score_mean,search_path_coverage_score_ci_low,search_path_coverage_score_ci_high,unique_seat_types_checked_mean,unique_seat_types_checked_ci_low,unique_seat_types_checked_ci_high,unique_sides_checked_mean,unique_sides_checked_ci_low,unique_sides_checked_ci_high,mean_pairwise_distance_between_checked_targets_mean,mean_pairwise_distance_between_checked_targets_ci_low,mean_pairwise_distance_between_checked_targets_ci_high,checks_until_first_wolf_mean,checks_until_first_wolf_ci_low,checks_until_first_wolf_ci_high,no_wolf_found_rate_mean,no_wolf_found_rate_ci_low,no_wolf_found_rate_ci_high
random,2500,0.4052,0.3861151850492074,0.4245757148863156,0.5948,0.5754242851136843,0.6138848149507926,0.3472,0.3287849511570332,0.36608392553229085,0.5468,0.5272290853656961,0.5662273058053747,0.636,0.6169436310130717,0.654639044184912,0.6624,0.6436260415940354,0.6806756234953217,0.936,0.9040148583515016,0.9679851416484985,0.3032,0.28549531915824045,0.32150857437879476,2.638,2.6010081539456356,2.6749918460543642,0.29311111111111116,0.28900090599395956,0.29722131622826276,1.6416,1.622798646223127,1.660401353776873,1.6656,1.6471025128489851,1.6840974871510148,2.41336,2.3635103269636977,2.4632096730363022,1.6908212560386473,1.6497795860482494,1.7318629260290452,0.3376,0.31932437650467815,0.35637395840596464
default,2500,0.4052,0.3861151850492074,0.4245757148863156,0.5948,0.5754242851136843,0.6138848149507926,0.3472,0.3287849511570332,0.36608392553229085,0.5468,0.5272290853656961,0.5662273058053747,0.636,0.6169436310130717,0.654639044184912,0.6624,0.6436260415940354,0.6806756234953217,0.936,0.9040148583515016,0.9679851416484985,0.3032,0.28549531915824045,0.32150857437879476,2.638,2.6010081539456356,2.6749918460543642,0.29311111111111116,0.28900090599395956,0.29722131622826276,1.6416,1.622798646223127,1.660401353776873,1.6656,1.6471025128489851,1.6840974871510148,2.41336,2.3635103269636977,2.4632096730363022,1.6908212560386473,1.6497795860482494,1.7318629260290452,0.3376,0.31932437650467815,0.35637395840596464
edge_first,2500,0.4144,0.3952350758740768,0.4338275932660156,0.5856,0.5661724067339843,0.6047649241259231,0.342,0.323659426243816,0.36082540698205573,0.566,0.5464848889500522,0.585312585778381,0.6576,0.6387700040277328,0.6759463901722836,0.6796,0.6610444958282659,0.6976043899478951,0.9624,0.9301210560903619,0.9946789439096382,0.308,0.290208742895183,0.3263804215311928,2.6128,2.5753965370838787,2.6502034629161213,0.29031111111111113,0.2861551707870977,0.2944670514351246,1.25,1.2330225062474567,1.2669774937525433,1.7324,1.7150423804288586,1.7497576195711413,2.7251333333333334,2.667470056810218,2.7827966098564487,1.6968805179517363,1.6576986507785678,1.7360623851249048,0.3204,0.30239561005210486,0.3389555041717342
inner_first,2500,0.4208,0.4015834347225648,0.4402595956033151,0.5792,0.5597404043966848,0.5984165652774353,0.3148,0.2968900039154572,0.33327829427081784,0.5432,0.5236218855631437,0.5626455524409218,0.63,0.610888087049282,0.6487129995370261,0.6576,0.6387700040277328,0.6759463901722836,0.9228,0.8908308149152908,0.9547691850847091,0.3144,0.29649686289610255,0.33287266271606075,2.6276,2.590600627982012,2.6645993720179884,0.2919555555555556,0.28784451422022356,0.2960665968908876,1.0952,1.0836928516130189,1.106707148386981,1.6936,1.6755252680241173,1.7116747319758827,2.54028,2.486686396797485,2.5938736032025154,1.7372262773722629,1.6964952506520146,1.7779573040925112,0.34240000000000004,0.3240536098277162,0.3612299959722672
highest_p_wolf,2500,0.3488,0.3303625297701561,0.36770143721561477,0.6512,0.6322985627843851,0.6696374702298438,0.3244,0.3063300353610617,0.34300880460389455,0.5352,0.5156095537285815,0.5546824327932495,0.6312,0.6120989446543399,0.6498984596543032,0.6504,0.6314898936773188,0.6688485941886868,0.9096,0.8780814829850209,0.9411185170149791,0.2884,0.2709770015476476,0.306472306747254,2.6268,2.5906368115929372,2.6629631884070624,0.2918666666666667,0.28784853462143756,0.2958847987118959,1.6572,1.6385901819376512,1.6758098180623489,1.676,1.657650729778897,1.694349270221103,2.43824,2.389516137870957,2.486963862129043,1.7097170971709716,1.6693461161045544,1.7500880782373889,0.3496,0.3311514058113132,0.3685101063226812
highest_suspicion,2500,0.3484,0.3299681134158922,0.3672970809957669,0.6516,0.6327029190042329,0.6700318865841076,0.3356,0.31735448990319526,0.35434998213688895,0.5376,0.5180127228902742,0.5570718990762271,0.6228,0.6036255595810331,0.6415976206712639,0.646,0.6270432425580607,0.6645087469927161,0.9132,0.8806772008825905,0.9457227991174095,0.2612,0.24435558471240293,0.2787771885429019,2.5936,2.5566771390397465,2.6305228609602533,0.2881777777777778,0.284075237671083,0.2922803178844726,1.636,1.617135200535825,1.6548647994641748,1.6596,1.6410216114082339,1.678178388591766,2.4193066666666665,2.3687143256407777,2.4698990076925553,1.6842105263157894,1.6435289526955497,1.724892099936029,0.354,0.33549125300728383,0.3729567574419394
left_to_right,2500,0.4084,0.38928653150102294,0.4277945490273937,0.5916,0.5722054509726062,0.610713468498977,0.3372,0.3189303695543177,0.35596919278221345,0.5476,0.5280308247426182,0.567023111576676,0.6344,0.6153285117206789,0.653059073180858,0.664,0.645245192953247,0.6822515624325569,0.9424,0.9101092474793023,0.9746907525206977,0.31,0.2921733466030148,0.32840968069391957,2.618,2.5809516800941914,2.6550483199058084,0.2908888888888889,0.2867724088993546,0.2950053688784232,1.8008,1.785140436847803,1.816459563152197,1.1844,1.1691948044380076,1.1996051955619922,1.7291866666666669,1.6907289955093439,1.7676443378239899,1.7126506024096386,1.6713308325597012,1.753970372259576,0.33599999999999997,0.31774843756744303,0.35475480704675294
right_to_left,2500,0.4388,0.41945597523838546,0.45833182092252184,0.5612,0.5416681790774782,0.5805440247616145,0.3328,0.3145972729090495,0.35151579111225273,0.5456,0.5260265714020319,0.5650335020467038,0.6436,0.6246185268455675,0.6621408272605387,0.6672,0.6484842088877473,0.6854027270909505,0.9676,0.9345686961261315,1.0006313038738686,0.3368,0.31853637740602203,0.35556441235639735,2.6596,2.6225257177410053,2.696674282258995,0.2955111111111111,0.2913917464156673,0.29963047580655494,1.8172,1.80204607205259,1.83235392794741,1.1452,1.131386984211387,1.159013015788613,1.5184133333333334,1.4843058642427507,1.552520802423916,1.7194244604316546,1.6789334133018208,1.7599155075614885,0.3328,0.3145972729090495,0.35151579111225273
alternate_sides,2500,0.4416,0.422238487556841,0.46114071662284817,0.5584,0.5388592833771518,0.5777615124431589,0.3324,0.31420344444886344,0.351110846998327,0.5504,0.5308373123570816,0.5698080319809947,0.6328,0.6137136164734432,0.6514788781316468,0.666,0.6472694661756466,0.684221152080716,0.9412,0.9089602192193509,0.9734397807806492,0.3172,0.299249177287449,0.3357117563434962,2.6444,2.607196971086836,2.6816030289131643,0.29382222222222226,0.2896885523429818,0.2979558921014627,1.7808,1.7645795417100114,1.7970204582899885,1.868,1.8547285073316129,1.8812714926683873,2.1515466666666665,2.1077351186799533,2.1953582146533797,1.7243243243243243,1.6828179928923883,1.7658306557562602,0.33399999999999996,0.315778847919284,0.3527305338243534
nearest_first,2500,0.4168,0.3976153190705757,0.4362399855141871,0.5832,0.5637600144858129,0.6023846809294243,0.3316,0.3134158324243072,0.35030091387465984,0.5556,0.5360510136706149,0.5749783741309138,0.646,0.6270432425580607,0.6645087469927161,0.672,0.6533445286744376,0.6901276781936007,0.962,0.9298076155638282,0.9941923844361717,0.3148,0.2968900039154572,0.33327829427081784,2.6572,2.620176331962103,2.694223668037897,0.2952444444444444,0.29113070355134474,0.2993581853375441,1.8092,1.7937939938984822,1.8246060061015177,1.554,1.5345107442369885,1.5734892557630116,1.9383066666666666,1.9062644644143034,1.9703488689190298,1.7184523809523808,1.678333093077193,1.7585716688275688,0.32799999999999996,0.3098723218063993,0.34665547132556235
