analysis_type,modifier,level,left_to_right_village_win_rate,right_to_left_village_win_rate,right_minus_left_pp,test,outcome,lr_statistic,df,p_value,full_log_likelihood,reduced_log_likelihood,n,modifier_kind
seed_difference,seed,42,0.388,0.47,8.199999999999996,,,,,,,,,
seed_difference,seed,43,0.43,0.448,1.8000000000000016,,,,,,,,,
seed_difference,seed,44,0.352,0.426,7.400000000000001,,,,,,,,,
seed_difference,seed,45,0.44,0.438,-0.20000000000000018,,,,,,,,,
seed_difference,seed,46,0.432,0.412,-2.0000000000000018,,,,,,,,,
stratified_difference,seer_side,left,0.3824921135646688,0.4335719968178202,5.1079883253151435,,,,,,,,,
stratified_difference,seer_side,right,0.43506493506493504,0.4440868865647627,0.9021951499827652,,,,,,,,,
stratified_difference,seer_seat,1,0.36917562724014336,0.44621513944223107,7.703951220208771,,,,,,,,,
stratified_difference,seer_seat,10,0.47470817120622566,0.4357976653696498,-3.891050583657585,,,,,,,,,
stratified_difference,seer_seat,2,0.39473684210526316,0.4713114754098361,7.6574633304572925,,,,,,,,,
stratified_difference,seer_seat,3,0.24347826086956523,0.28879310344827586,4.531484257871063,,,,,,,,,
stratified_difference,seer_seat,4,0.44223107569721115,0.549618320610687,10.73872449134759,,,,,,,,,
stratified_difference,seer_seat,5,0.45454545454545453,0.39925373134328357,-5.529172320217096,,,,,,,,,
stratified_difference,seer_seat,6,0.4144144144144144,0.4496124031007752,3.5197988686360815,,,,,,,,,
stratified_difference,seer_seat,7,0.4092664092664093,0.483739837398374,7.447342813196473,,,,,,,,,
stratified_difference,seer_seat,8,0.47717842323651455,0.4351464435146444,-4.203197972187017,,,,,,,,,
stratified_difference,seer_seat,9,0.39920948616600793,0.4156378600823045,1.642837391629659,,,,,,,,,
interaction_lr_test,seer_seat,,,,,strategy_x_seer_seat,village_win,15.30146601364413,9.0,0.08298114643070902,-3359.2923688545243,-3366.9431018613463,5000.0,cat
interaction_lr_test,seer_side,,,,,strategy_x_seer_side,village_win,2.265901854629192,1.0,0.1322492046378566,-3397.4927682799143,-3398.625719207229,5000.0,cat
interaction_lr_test,wolves_on_edge,,,,,strategy_x_wolves_on_edge,village_win,7.01987558475048,1.0,0.008060983167875506,-3396.6292364230917,-3400.139174215467,5000.0,num
interaction_lr_test,wolves_left_side,,,,,strategy_x_wolves_left_side,village_win,158.13638932158574,1.0,2.889610515179923e-36,-3321.837830134642,-3400.906024795435,5000.0,num
interaction_lr_test,wolves_right_side,,,,,strategy_x_wolves_right_side,village_win,158.13638932158665,1.0,2.889610515178592e-36,-3321.8378301346415,-3400.906024795435,5000.0,num
