test,outcome,lr_statistic,df,p_value,full_log_likelihood,reduced_log_likelihood,n,row_type,analysis_family,contrast,numerator,denominator,log_odds_ratio,odds_ratio,or_ci_low,or_ci_high,z_value,p_value_holm
strategy_omnibus_seed_adjusted,first_check_wolf,12.353573821819737,13.0,0.49888568582175663,-22273.469277052038,-22279.646063962948,35000.0,omnibus,,,,,,,,,,
strategy_omnibus_seed_adjusted,found_wolf_by_check_2,8.875542336121725,13.0,0.782276942923704,-24086.000112732978,-24090.43788390104,35000.0,omnibus,,,,,,,,,,
strategy_omnibus_seed_adjusted,found_wolf_by_check_3,12.111213374795625,13.0,0.518546132528946,-22902.542607451658,-22908.598214139056,35000.0,omnibus,,,,,,,,,,
,first_check_wolf,,,0.2692071106264598,,,,pairwise,early_discovery_pairwise,alternate_sides vs random,alternate_sides,random,-0.06600390784280837,0.936127206046501,0.8326929328439346,1.052409731529057,-1.1048903355273632,1.0
,first_check_wolf,,,0.9760496187564169,,,,pairwise,early_discovery_pairwise,alternate_sides vs right_to_left,alternate_sides,right_to_left,-0.001802624558610827,0.9981989991932206,0.8873743549456202,1.1228645908427322,-0.030021860641486164,1.0
,first_check_wolf,,,0.18347229946006413,,,,pairwise,early_discovery_pairwise,alternate_sides vs inner_first,alternate_sides,inner_first,0.08045118729093652,1.083775943311273,0.9626205062699508,1.2201800061911947,1.33013954166013,1.0
,first_check_wolf,,,0.47272351067995094,,,,pairwise,early_discovery_pairwise,alternate_sides vs edge_first,alternate_sides,edge_first,-0.042971242713171515,0.9579389373957224,0.8519176536104867,1.0771545863497411,-0.7180547801299323,1.0
,first_check_wolf,,,0.28242910559710044,,,,pairwise,early_discovery_pairwise,right_to_left vs random,right_to_left,random,-0.06420128328419754,0.9378162138041731,0.8342101982680049,1.0542897374067342,-1.0748785521741377,1.0
,first_check_wolf,,,0.4036679389873307,,,,pairwise,early_discovery_pairwise,information_gain_proxy vs random,information_gain_proxy,random,-0.049819027931443556,0.9514015860350823,0.8464136235848245,1.0694121085580066,-0.8350883972619357,1.0
,first_check_wolf,,,0.08783583203838521,,,,pairwise,early_discovery_pairwise,highest_p_wolf vs random,highest_p_wolf,random,-0.1022903988932702,0.9027673509597224,0.8027221096729115,1.0152814780334398,-1.706925868174864,0.7026866563070817
,first_check_wolf,,,0.3870208301276837,,,,pairwise,early_discovery_pairwise,highest_suspicion vs random,highest_suspicion,random,-0.05161307940753054,0.9496962528005096,0.8448818165028201,1.0675137693418675,-0.8650327201276781,1.0
,found_wolf_by_check_2,,,0.798099393015505,,,,pairwise,early_discovery_pairwise,alternate_sides vs random,alternate_sides,random,0.014541806399420347,1.0146480528464912,0.9076670699535777,1.1342382082869105,0.255807615743126,1.0
,found_wolf_by_check_2,,,0.7330762356786215,,,,pairwise,early_discovery_pairwise,alternate_sides vs right_to_left,alternate_sides,right_to_left,0.0193846075299674,1.019573708943715,0.9120847338249871,1.139730234941867,0.3410363251551041,1.0
,found_wolf_by_check_2,,,0.6090468222406473,,,,pairwise,early_discovery_pairwise,alternate_sides vs inner_first,alternate_sides,inner_first,0.02906385767095671,1.0294903332310992,0.9209779006093847,1.1507880324978559,0.5114345286134662,1.0
,found_wolf_by_check_2,,,0.26667372487130436,,,,pairwise,early_discovery_pairwise,alternate_sides vs edge_first,alternate_sides,edge_first,-0.06328160364058154,0.938679101014543,0.8395022531859908,1.0495724714704961,-1.1107552232213118,1.0
,found_wolf_by_check_2,,,0.9320783471552385,,,,pairwise,early_discovery_pairwise,right_to_left vs random,right_to_left,random,-0.004842801130547056,0.9951689063242649,0.8902878594671346,1.1124055456708082,-0.08523024357713148,1.0
,found_wolf_by_check_2,,,0.5315588470310877,,,,pairwise,early_discovery_pairwise,information_gain_proxy vs random,information_gain_proxy,random,0.035584719462967845,1.0362254328716607,0.9269117561170412,1.1584308221833322,0.6256281856445011,1.0
,found_wolf_by_check_2,,,0.41043913237161533,,,,pairwise,early_discovery_pairwise,highest_p_wolf vs random,highest_p_wolf,random,-0.04673042711511976,0.954344628352229,0.853846354435432,1.0666716147859678,-0.8231210975540337,1.0
,found_wolf_by_check_2,,,0.5137839853592749,,,,pairwise,early_discovery_pairwise,highest_suspicion vs random,highest_suspicion,random,-0.037076330475036806,0.9636025802991423,0.8621125701292063,1.0770402438512232,-0.6529570231664259,1.0
,found_wolf_by_check_3,,,0.8142421274489675,,,,pairwise,early_discovery_pairwise,alternate_sides vs random,alternate_sides,random,-0.013801328200196675,0.9862934734989248,0.8790343031140391,1.106640335218379,-0.23495697497706422,1.0
,found_wolf_by_check_3,,,0.4267672941843338,,,,pairwise,early_discovery_pairwise,alternate_sides vs right_to_left,alternate_sides,right_to_left,-0.04679077908302373,0.9542870335138478,0.8502817191898724,1.0710141377616793,-0.7947356431133591,1.0
,found_wolf_by_check_3,,,0.8373884554076406,,,,pairwise,early_discovery_pairwise,alternate_sides vs inner_first,alternate_sides,inner_first,0.012034785320730266,1.0121074947375683,0.9022192644263386,1.135379858637003,0.2052350895592741,1.0
,found_wolf_by_check_3,,,0.06686106293939077,,,,pairwise,early_discovery_pairwise,alternate_sides vs edge_first,alternate_sides,edge_first,-0.10840346800598474,0.8972655054649581,0.79904135636249,1.007564102767235,-1.8326068217730058,0.5348885035151262
,found_wolf_by_check_3,,,0.5756120784748364,,,,pairwise,early_discovery_pairwise,right_to_left vs random,right_to_left,random,0.03298945088282706,1.0335396362530713,0.9207987916279495,1.1600842544738492,0.5598055487556731,1.0
,found_wolf_by_check_3,,,0.4432630743671828,,,,pairwise,early_discovery_pairwise,information_gain_proxy vs random,information_gain_proxy,random,0.04522174947209064,1.046259841754419,0.9320354637907229,1.1744828378266243,0.7666946683498405,1.0
,found_wolf_by_check_3,,,0.7246345262900029,,,,pairwise,early_discovery_pairwise,highest_p_wolf vs random,highest_p_wolf,random,-0.020683003129181084,0.9795294231216697,0.8730513483770219,1.0989936531736806,-0.3522716778873033,1.0
,found_wolf_by_check_3,,,0.3338351465780892,,,,pairwise,early_discovery_pairwise,highest_suspicion vs random,highest_suspicion,random,-0.056612915563942184,0.9449597778046236,0.8424592057379539,1.0599314193336913,-0.966417828178197,1.0
