analysis_type,held_out_seed,seed,strategy,num_games,village_win_rate,wolf_win_rate,first_check_wolf_rate,seed_diff_min_pp,seed_diff_max_pp,seed_diff_stdev_pp,seed_diff_positive_count
seed_stratified,,42,random,500,0.384,0.616,0.312,,,,
seed_stratified,,42,default,500,0.384,0.616,0.312,,,,
seed_stratified,,42,edge_first,500,0.392,0.608,0.312,,,,
seed_stratified,,42,inner_first,500,0.448,0.552,0.314,,,,
seed_stratified,,42,highest_p_wolf,500,0.37,0.63,0.334,,,,
seed_stratified,,42,highest_suspicion,500,0.344,0.656,0.32,,,,
seed_stratified,,42,left_to_right,500,0.388,0.612,0.35,,,,
seed_stratified,,42,right_to_left,500,0.47,0.53,0.324,,,,
seed_stratified,,42,alternate_sides,500,0.424,0.576,0.336,,,,
seed_stratified,,42,nearest_first,500,0.426,0.574,0.354,,,,
seed_stratified,,42,farthest_first,500,0.426,0.574,0.342,,,,
seed_stratified,,42,coverage_balanced,500,0.418,0.582,0.31,,,,
seed_stratified,,42,hybrid_suspicion_position,500,0.392,0.608,0.334,,,,
seed_stratified,,42,information_gain_proxy,500,0.426,0.574,0.348,,,,
seed_stratified,,43,random,500,0.414,0.586,0.338,,,,
seed_stratified,,43,default,500,0.414,0.586,0.338,,,,
seed_stratified,,43,edge_first,500,0.454,0.546,0.332,,,,
seed_stratified,,43,inner_first,500,0.422,0.578,0.33,,,,
seed_stratified,,43,highest_p_wolf,500,0.364,0.636,0.316,,,,
seed_stratified,,43,highest_suspicion,500,0.364,0.636,0.34,,,,
seed_stratified,,43,left_to_right,500,0.43,0.57,0.376,,,,
seed_stratified,,43,right_to_left,500,0.448,0.552,0.346,,,,
seed_stratified,,43,alternate_sides,500,0.442,0.558,0.326,,,,
seed_stratified,,43,nearest_first,500,0.442,0.558,0.326,,,,
seed_stratified,,43,farthest_first,500,0.436,0.564,0.3,,,,
seed_stratified,,43,coverage_balanced,500,0.406,0.594,0.354,,,,
seed_stratified,,43,hybrid_suspicion_position,500,0.342,0.658,0.328,,,,
seed_stratified,,43,information_gain_proxy,500,0.42,0.58,0.368,,,,
seed_stratified,,44,random,500,0.384,0.616,0.388,,,,
seed_stratified,,44,default,500,0.384,0.616,0.388,,,,
seed_stratified,,44,edge_first,500,0.4,0.6,0.358,,,,
seed_stratified,,44,inner_first,500,0.442,0.558,0.332,,,,
seed_stratified,,44,highest_p_wolf,500,0.33,0.67,0.338,,,,
seed_stratified,,44,highest_suspicion,500,0.34,0.66,0.372,,,,
seed_stratified,,44,left_to_right,500,0.352,0.648,0.34,,,,
seed_stratified,,44,right_to_left,500,0.426,0.574,0.354,,,,
seed_stratified,,44,alternate_sides,500,0.466,0.534,0.356,,,,
seed_stratified,,44,nearest_first,500,0.39,0.61,0.336,,,,
seed_stratified,,44,farthest_first,500,0.418,0.582,0.328,,,,
seed_stratified,,44,coverage_balanced,500,0.398,0.602,0.336,,,,
seed_stratified,,44,hybrid_suspicion_position,500,0.364,0.636,0.322,,,,
seed_stratified,,44,information_gain_proxy,500,0.406,0.594,0.314,,,,
seed_stratified,,45,random,500,0.414,0.586,0.336,,,,
seed_stratified,,45,default,500,0.414,0.586,0.336,,,,
seed_stratified,,45,edge_first,500,0.424,0.576,0.35,,,,
seed_stratified,,45,inner_first,500,0.374,0.626,0.286,,,,
seed_stratified,,45,highest_p_wolf,500,0.326,0.674,0.328,,,,
seed_stratified,,45,highest_suspicion,500,0.348,0.652,0.314,,,,
seed_stratified,,45,left_to_right,500,0.44,0.56,0.31,,,,
seed_stratified,,45,right_to_left,500,0.438,0.562,0.352,,,,
seed_stratified,,45,alternate_sides,500,0.438,0.562,0.286,,,,
seed_stratified,,45,nearest_first,500,0.4,0.6,0.304,,,,
seed_stratified,,45,farthest_first,500,0.404,0.596,0.288,,,,
seed_stratified,,45,coverage_balanced,500,0.424,0.576,0.35,,,,
seed_stratified,,45,hybrid_suspicion_position,500,0.344,0.656,0.322,,,,
seed_stratified,,45,information_gain_proxy,500,0.424,0.576,0.326,,,,
seed_stratified,,46,random,500,0.43,0.57,0.362,,,,
seed_stratified,,46,default,500,0.43,0.57,0.362,,,,
seed_stratified,,46,edge_first,500,0.402,0.598,0.358,,,,
seed_stratified,,46,inner_first,500,0.418,0.582,0.312,,,,
seed_stratified,,46,highest_p_wolf,500,0.354,0.646,0.306,,,,
seed_stratified,,46,highest_suspicion,500,0.346,0.654,0.332,,,,
seed_stratified,,46,left_to_right,500,0.432,0.568,0.31,,,,
seed_stratified,,46,right_to_left,500,0.412,0.588,0.288,,,,
seed_stratified,,46,alternate_sides,500,0.438,0.562,0.358,,,,
seed_stratified,,46,nearest_first,500,0.426,0.574,0.338,,,,
seed_stratified,,46,farthest_first,500,0.46,0.54,0.352,,,,
seed_stratified,,46,coverage_balanced,500,0.418,0.582,0.346,,,,
seed_stratified,,46,hybrid_suspicion_position,500,0.4,0.6,0.338,,,,
seed_stratified,,46,information_gain_proxy,500,0.38,0.62,0.324,,,,
leave_one_seed_out,42,,random,2000,0.4105,0.5895,0.356,,,,
leave_one_seed_out,42,,default,2000,0.4105,0.5895,0.356,,,,
leave_one_seed_out,42,,edge_first,2000,0.42,0.58,0.3495,,,,
leave_one_seed_out,42,,inner_first,2000,0.414,0.586,0.315,,,,
leave_one_seed_out,42,,highest_p_wolf,2000,0.3435,0.6565,0.322,,,,
leave_one_seed_out,42,,highest_suspicion,2000,0.3495,0.6505,0.3395,,,,
leave_one_seed_out,42,,left_to_right,2000,0.4135,0.5865,0.334,,,,
leave_one_seed_out,42,,right_to_left,2000,0.431,0.569,0.335,,,,
leave_one_seed_out,42,,alternate_sides,2000,0.446,0.554,0.3315,,,,
leave_one_seed_out,42,,nearest_first,2000,0.4145,0.5855,0.326,,,,
leave_one_seed_out,42,,farthest_first,2000,0.4295,0.5705,0.317,,,,
leave_one_seed_out,42,,coverage_balanced,2000,0.4115,0.5885,0.3465,,,,
leave_one_seed_out,42,,hybrid_suspicion_position,2000,0.3625,0.6375,0.3275,,,,
leave_one_seed_out,42,,information_gain_proxy,2000,0.4075,0.5925,0.333,,,,
leave_one_seed_out,43,,random,2000,0.403,0.597,0.3495,,,,
leave_one_seed_out,43,,default,2000,0.403,0.597,0.3495,,,,
leave_one_seed_out,43,,edge_first,2000,0.4045,0.5955,0.3445,,,,
leave_one_seed_out,43,,inner_first,2000,0.4205,0.5795,0.311,,,,
leave_one_seed_out,43,,highest_p_wolf,2000,0.345,0.655,0.3265,,,,
leave_one_seed_out,43,,highest_suspicion,2000,0.3445,0.6555,0.3345,,,,
leave_one_seed_out,43,,left_to_right,2000,0.403,0.597,0.3275,,,,
leave_one_seed_out,43,,right_to_left,2000,0.4365,0.5635,0.3295,,,,
leave_one_seed_out,43,,alternate_sides,2000,0.4415,0.5585,0.334,,,,
leave_one_seed_out,43,,nearest_first,2000,0.4105,0.5895,0.333,,,,
