table_id,table_name,path,row_count,primary_use,source_module
T_R8_01,r8_experiment_inventory,results/final_integrated_analysis_stage_r8/r8_experiment_inventory.csv,21,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_02,r8_final_figure_registry,results/final_integrated_analysis_stage_r8/r8_final_figure_registry.csv,18,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_03,r8_final_hypothesis_registry,results/final_integrated_analysis_stage_r8/r8_final_hypothesis_registry.csv,14,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_04,r8_final_limitations_registry,results/final_integrated_analysis_stage_r8/r8_final_limitations_registry.csv,8,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_05,r8_final_literature_integration_table,results/final_integrated_analysis_stage_r8/r8_final_literature_integration_table.csv,41,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_06,r8_final_role_payoff_table,results/final_integrated_analysis_stage_r8/r8_final_role_payoff_table.csv,5,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_07,r8_final_role_strategy_table,results/final_integrated_analysis_stage_r8/r8_final_role_strategy_table.csv,5,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_08,r8_final_statistical_evidence_table,results/final_integrated_analysis_stage_r8/r8_final_statistical_evidence_table.csv,14,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_09,r8_final_table_registry,results/final_integrated_analysis_stage_r8/r8_final_table_registry.csv,0,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_10,r8_financial_analogy_final_table,results/final_integrated_analysis_stage_r8/r8_financial_analogy_final_table.csv,5,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_11,r8_ml_final_table,results/final_integrated_analysis_stage_r8/r8_ml_final_table.csv,8,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_12,r8_negative_results,results/final_integrated_analysis_stage_r8/r8_negative_results.csv,7,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_13,r8_project_scale_summary,results/final_integrated_analysis_stage_r8/r8_project_scale_summary.csv,11,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_14,r8_proposal_completion_matrix,results/final_integrated_analysis_stage_r8/r8_proposal_completion_matrix.csv,63,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_15,r8_r9_readiness_summary,results/final_integrated_analysis_stage_r8/r8_r9_readiness_summary.csv,5,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_16,r8_research_question_registry,results/final_integrated_analysis_stage_r8/r8_research_question_registry.csv,6,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_17,r8_sample_unit_registry,results/final_integrated_analysis_stage_r8/r8_sample_unit_registry.csv,13,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_18,r8_speech_bow_final_table,results/final_integrated_analysis_stage_r8/r8_speech_bow_final_table.csv,8,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_19,r8_strategy_risk_return_table,results/final_integrated_analysis_stage_r8/r8_strategy_risk_return_table.csv,30,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_20,r8_superseded_result_registry,results/final_integrated_analysis_stage_r8/r8_superseded_result_registry.csv,9,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_21,r8_supported_findings,results/final_integrated_analysis_stage_r8/r8_supported_findings.csv,3,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_22,r8_uncertain_findings,results/final_integrated_analysis_stage_r8/r8_uncertain_findings.csv,5,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_23,r8_validation_summary,results/final_integrated_analysis_stage_r8/r8_validation_summary.csv,7,final report table or appendix,final_integrated_analysis_stage_r8.py
T_R8_24,r8_validity_and_robustness_table,results/final_integrated_analysis_stage_r8/r8_validity_and_robustness_table.csv,6,final report table or appendix,final_integrated_analysis_stage_r8.py
