role,policy,game_count,matched_set_count,seed_count,behavioral_regime_count,village_win_rate,wolf_win_rate,mean_actor_payoff,actor_payoff_ci,stdev_payoff,downside_deviation,negative_payoff_probability,var_like_90,var_like_95,cvar_like_90,cvar_like_95,sharpe_like_ratio,sortino_like_ratio,frontier_stdev,frontier_downside,frontier_cvar95,source_data
Hunter,reference,1000,1000,20,10,0.3050,0.6950,-0.4138,"[-0.4801, -0.3475]",1.0699,0.9411,0.6950,-1.3500,-1.3525,-1.3659,-1.4030,-0.3868,-0.4397,True,True,True,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Hunter,random_shot,1000,1000,20,10,0.2510,0.7490,-0.5746,"[-0.6369, -0.5123]",1.0047,1.0050,0.7490,-1.3500,-1.4000,-1.3678,-1.4050,-0.5719,-0.5717,False,False,True,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Hunter,no_shot,1000,1000,20,10,0.2170,0.7830,-0.5586,"[-0.6115, -0.5057]",0.8531,0.8919,0.7830,-1.1000,-1.1000,-1.1035,-1.1035,-0.6548,-0.6263,True,True,False,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Hunter,highest_suspicion,1000,1000,20,10,0.3050,0.6950,-0.4138,"[-0.4801, -0.3475]",1.0699,0.9411,0.6950,-1.3500,-1.3525,-1.3659,-1.4030,-0.3868,-0.4397,True,True,True,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Hunter,highest_p_wolf,1000,1000,20,10,0.3030,0.6970,-0.4388,"[-0.5047, -0.3729]",1.0625,0.9546,0.6970,-1.3500,-1.3500,-1.3654,-1.3654,-0.4130,-0.4597,True,False,False,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Hunter,conservative_threshold,1000,1000,20,10,0.2220,0.7780,-0.5513,"[-0.6052, -0.4974]",0.8703,0.8968,0.7780,-1.1000,-1.1000,-1.1375,-1.1375,-0.6334,-0.6147,True,True,False,results/targeted_strategy_stage_r61/r61_hunter_policy_summary.csv
Seer,private_only,1000,1000,20,10,0.3010,0.6990,-0.2353,"[-0.2949, -0.1757]",0.9613,0.7259,0.6990,-0.9500,-1.0000,-0.9640,-1.0000,-0.2448,-0.3241,True,False,False,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Seer,immediate_reveal,1000,1000,20,10,0.3370,0.6630,-0.1591,"[-0.2206, -0.0975]",0.9929,0.7076,0.6630,-0.9500,-1.0000,-0.9643,-1.0000,-0.1602,-0.2248,True,True,True,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Seer,reveal_first_wolf,1000,1000,20,10,0.3100,0.6900,-0.2155,"[-0.2757, -0.1553]",0.9705,0.7212,0.6900,-0.9500,-1.0000,-0.9640,-1.0000,-0.2220,-0.2988,True,False,False,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Seer,delayed_round_2,1000,1000,20,10,0.3130,0.6870,-0.2106,"[-0.2709, -0.1502]",0.9743,0.7214,0.6870,-0.9500,-1.0000,-0.9639,-1.0000,-0.2161,-0.2919,True,False,False,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Seer,under_threat,1000,1000,20,10,0.3030,0.6970,-0.2310,"[-0.2906, -0.1713]",0.9631,0.7248,0.6970,-0.9500,-1.0000,-0.9640,-1.0000,-0.2398,-0.3186,True,False,False,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Seer,selective_useful_info,1000,1000,20,10,0.3090,0.6910,-0.2176,"[-0.2776, -0.1575]",0.9695,0.7216,0.6910,-0.9500,-1.0000,-0.9640,-1.0000,-0.2244,-0.3015,True,False,False,results/targeted_strategy_stage_r61/r61_seer_policy_summary.csv
Witch,reference,1000,1000,20,10,0.3010,0.6990,-0.1685,"[-0.2303, -0.1066]",0.9976,0.6938,0.6990,-1.0000,-1.0500,-1.0618,-1.0774,-0.1688,-0.2428,False,False,False,results/targeted_strategy_stage_r61/r61_witch_policy_summary.csv
Witch,aggressive_full,1000,1000,20,10,0.3520,0.6480,-0.0373,"[-0.1046, 0.0301]",1.0874,0.6850,0.6480,-1.1000,-1.1000,-1.1171,-1.1171,-0.0343,-0.0544,True,True,True,results/targeted_strategy_stage_r61/r61_witch_policy_summary.csv
Witch,save_aggressive_poison_conservative,1000,1000,20,10,0.3180,0.6820,-0.1618,"[-0.2211, -0.1025]",0.9570,0.6738,0.6820,-0.9000,-0.9000,-0.9000,-0.9000,-0.1691,-0.2401,True,True,False,results/targeted_strategy_stage_r61/r61_witch_policy_summary.csv
