filename,source_path,r9_pack_path,status
r8_research_report.md,results/final_integrated_analysis_stage_r8/r8_research_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_research_report.md,included
r8_statistical_synthesis_report.md,results/final_integrated_analysis_stage_r8/r8_statistical_synthesis_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_statistical_synthesis_report.md,included
r8_role_strategy_report.md,results/final_integrated_analysis_stage_r8/r8_role_strategy_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_role_strategy_report.md,included
r8_payoff_risk_report.md,results/final_integrated_analysis_stage_r8/r8_payoff_risk_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_payoff_risk_report.md,included
r8_speech_bow_ml_report.md,results/final_integrated_analysis_stage_r8/r8_speech_bow_ml_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_speech_bow_ml_report.md,included
r8_literature_integration_report.md,results/final_integrated_analysis_stage_r8/r8_literature_integration_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_literature_integration_report.md,included
r8_financial_analogy_report.md,results/final_integrated_analysis_stage_r8/r8_financial_analogy_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_financial_analogy_report.md,included
r8_proposal_completion_report.md,results/final_integrated_analysis_stage_r8/r8_proposal_completion_report.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_proposal_completion_report.md,included
r8_limitations.md,results/final_integrated_analysis_stage_r8/r8_limitations.md,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_limitations.md,included
r8_final_statistical_evidence_table.csv,results/final_integrated_analysis_stage_r8/r8_final_statistical_evidence_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_final_statistical_evidence_table.csv,included
r8_final_role_strategy_table.csv,results/final_integrated_analysis_stage_r8/r8_final_role_strategy_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_final_role_strategy_table.csv,included
r8_final_role_payoff_table.csv,results/final_integrated_analysis_stage_r8/r8_final_role_payoff_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_final_role_payoff_table.csv,included
r8_speech_bow_final_table.csv,results/final_integrated_analysis_stage_r8/r8_speech_bow_final_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_speech_bow_final_table.csv,included
r8_ml_final_table.csv,results/final_integrated_analysis_stage_r8/r8_ml_final_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_ml_final_table.csv,included
r8_final_literature_integration_table.csv,results/final_integrated_analysis_stage_r8/r8_final_literature_integration_table.csv,results/final_integrated_analysis_stage_r8/r9_input_pack/r8_final_literature_integration_table.csv,included
