source_id,citation_key,title,authors,year,venue,url,reason_excluded,replacement_source_id,replacement_citation_key,replacement_doi,retained_in_internal_screening_registry
S006,serrino2019friend,Finding Friend and Foe in Multi-Agent Games,Jack Serrino; Max Kleiman-Weiner; David C. Parkes; Joshua B. Tenenbaum,2019,NeurIPS,https://arxiv.org/abs/1906.02330,No DOI available for final written-report bibliography.,S007,stepputtis2023avalon,10.18653/v1/2023.findings-emnlp.748,True
S008,kopparapu2022hidden,Hidden Agenda: A Social Deduction Game with Diverse Learned Equilibria,Kavya Kopparapu; Edgar A. Dueniez-Guzman; Jayd Matyas; Alexander Sasha Vezhnevets; John P. Agapiou; Kevin R. McKee; Richard Everett; Janusz Marecki; Joel Z. Leibo; Thore Graepel,2022,CoRR,https://arxiv.org/abs/2201.01816,No DOI available for final written-report bibliography.,S002,eger2018story,10.1609/aiide.v14i1.13015,True
S018,surowiecki2004wisdom,The Wisdom of Crowds,James Surowiecki,2004,Doubleday,https://books.google.com/books?id=Moh1Z6D4VRAC,No DOI available for final written-report bibliography.,S079,toyokawa2019social,10.1038/s41562-018-0518-x,True
S027,peskov2020lie,"It Takes Two to Lie: One to Lie, and One to Listen",Denis Peskov; Benny Cheng; Ahmed Elgohary; Joe Barrow; Cristian Danescu-Niculescu-Mizil; Jordan Boyd-Graber,2020,ACL,https://aclanthology.org/2020.acl-main.353/,No DOI available for final written-report bibliography.,S005,ibraheem2022con,10.18653/v1/2022.naacl-main.11,True
S033,lakonishok1992institutional,The Impact of Institutional Trading on Stock Prices,Josef Lakonishok; Andrei Shleifer; Robert W. Vishny,1992,Journal of Financial Economics,https://www.nber.org/papers/w3846,No DOI available for final written-report bibliography.,S073,cookson2023echo,10.1093/rfs/hhac058,True
S037,shiller2000irrational,Irrational Exuberance,Robert J. Shiller,2000,Princeton University Press,https://press.princeton.edu/books/paperback/9780691173122/irrational-exuberance,No DOI available for final written-report bibliography.,S077,loughran2020textual,10.1146/annurev-financial-012820-032249,True
S038,manning2008ir,Introduction to Information Retrieval,Christopher D. Manning; Prabhakar Raghavan; Hinrich Schuetze,2008,Cambridge University Press,https://nlp.stanford.edu/IR-book/,No DOI available for final written-report bibliography.,S068,minaee2021textclassification,10.1145/3439726,True
S039,mccallum1998event,A Comparison of Event Models for Naive Bayes Text Classification,Andrew McCallum; Kamal Nigam,1998,AAAI Workshop on Learning for Text Categorization,https://aaai.org/papers/041-ws98-05-007/,No DOI available for final written-report bibliography.,S068,minaee2021textclassification,10.1145/3439726,True
S041,blitzer2006domain,Domain Adaptation with Structural Correspondence Learning,John Blitzer; Ryan McDonald; Fernando Pereira,2006,EMNLP,https://aclanthology.org/W06-1615/,No DOI available for final written-report bibliography.,S065,geirhos2020shortcut,10.1038/s42256-020-00257-z,True
S044,koh2021wilds,WILDS: A Benchmark of in-the-Wild Distribution Shifts,Pang Wei Koh; Shiori Sagawa; Henrik Marklund; Sang Michael Xie; Marvin Zhang; Akshay Balsubramani; Weihua Hu; Michihiro Yasunaga; Richard Lanas Phillips; Irena Gao; Tony Lee; Etienne David; Ian Stavness; Wei Guo; Berton Earnshaw; Imran Haque; Sara Beery; Jure Leskovec; Anshul Kundaje; Emma Pierson; Sergey Levine; Chelsea Finn; Percy Liang,2021,ICML,https://proceedings.mlr.press/v139/koh21a.html,No DOI available for final written-report bibliography.,S065,geirhos2020shortcut,10.1038/s42256-020-00257-z,True
S045,precup2000offpolicy,Eligibility Traces for Off-Policy Policy Evaluation,Doina Precup; Richard S. Sutton; Satinder Singh,2000,ICML,https://dblp.org/rec/conf/icml/PrecupSS00,No DOI available for final written-report bibliography.,S069,prudencio2024offline,10.1109/TNNLS.2023.3250269,True
S046,dudik2011doubly,Doubly Robust Policy Evaluation and Learning,Miroslav Dudik; John Langford; Lihong Li,2011,ICML,https://www.microsoft.com/en-us/research/publication/doubly-robust-policy-evaluation-and-learning-2/,No DOI available for final written-report bibliography.,S069,prudencio2024offline,10.1109/TNNLS.2023.3250269,True
S048,jiang2016doubly,Doubly Robust Off-policy Value Evaluation for Reinforcement Learning,Nan Jiang; Lihong Li,2016,ICML,https://proceedings.mlr.press/v48/jiang16.html,No DOI available for final written-report bibliography.,S070,gottesman2019healthcare,10.1038/s41591-018-0310-5,True
S050,levine2020offline,"Offline Reinforcement Learning: Tutorial, Review, and Perspectives on Open Problems",Sergey Levine; Aviral Kumar; George Tucker; Justin Fu,2020,arXiv,https://arxiv.org/abs/2005.01643,No DOI available for final written-report bibliography.,S069,prudencio2024offline,10.1109/TNNLS.2023.3250269,True
S051,fujimoto2019bcq,Off-Policy Deep Reinforcement Learning without Exploration,Scott Fujimoto; David Meger; Doina Precup,2019,ICML,https://proceedings.mlr.press/v97/fujimoto19a.html,No DOI available for final written-report bibliography.,S069,prudencio2024offline,10.1109/TNNLS.2023.3250269,True
S053,epstein1996growing,Growing Artificial Societies: Social Science from the Bottom Up,Joshua M. Epstein; Robert Axtell,1996,Brookings Institution Press,https://www.brookings.edu/books/growing-artificial-societies/,No DOI available for final written-report bibliography.,S066,abar2017abms,10.1016/j.cosrev.2017.03.001,True
S056,railsback2019abm,Agent-Based and Individual-Based Modeling: A Practical Introduction,Steven F. Railsback; Volker Grimm,2019,Princeton University Press,https://www.railsback-grimm-abm-book.com/,No DOI available for final written-report bibliography.,S067,grimm2020odd,10.18564/jasss.4259,True
S057,law2015simulation,Simulation Modeling and Analysis,Averill M. Law,2015,McGraw-Hill,https://www.mheducation.com/highered/product/simulation-modeling-analysis-law,No DOI available for final written-report bibliography.,S066,abar2017abms,10.1016/j.cosrev.2017.03.001,True
S061,jorion2007var,Value at Risk: The New Benchmark for Managing Financial Risk,Philippe Jorion,2007,McGraw-Hill,https://www.mheducation.com/,No DOI available for final written-report bibliography.,S087,kou2016tailrisk,10.1287/opre.2016.1539,True
