policy,group_key,group_value,game_count,terminal_survival_rate,village_win_rate
delayed_round_2,regime,baseline,20,0.0,0.3
delayed_round_2,regime,deception_enabled,20,0.0,0.3
delayed_round_2,regime,herding_enabled,20,0.0,0.3
delayed_round_2,regime,heterogeneous_risk,20,0.0,0.25
delayed_round_2,regime,high_emotional_speech,20,0.0,0.2
delayed_round_2,regime,low_information_speech,20,0.0,0.4
delayed_round_2,regime,mixed_strategies,20,0.0,0.45
delayed_round_2,regime,speech_enabled,20,0.0,0.35
delayed_round_2,regime,strong_village_information,20,0.0,0.45
delayed_round_2,regime,weak_village_information,20,0.0,0.05
immediate_reveal,regime,baseline,20,0.0,0.35
immediate_reveal,regime,deception_enabled,20,0.0,0.3
immediate_reveal,regime,herding_enabled,20,0.0,0.3
immediate_reveal,regime,heterogeneous_risk,20,0.0,0.3
immediate_reveal,regime,high_emotional_speech,20,0.0,0.25
immediate_reveal,regime,low_information_speech,20,0.0,0.45
immediate_reveal,regime,mixed_strategies,20,0.0,0.4
immediate_reveal,regime,speech_enabled,20,0.0,0.55
immediate_reveal,regime,strong_village_information,20,0.0,0.4
immediate_reveal,regime,weak_village_information,20,0.0,0.1
private_only,regime,baseline,20,0.0,0.3
private_only,regime,deception_enabled,20,0.0,0.25
private_only,regime,herding_enabled,20,0.0,0.3
private_only,regime,heterogeneous_risk,20,0.0,0.25
private_only,regime,high_emotional_speech,20,0.0,0.15
private_only,regime,low_information_speech,20,0.0,0.4
private_only,regime,mixed_strategies,20,0.0,0.4
private_only,regime,speech_enabled,20,0.0,0.3
private_only,regime,strong_village_information,20,0.0,0.25
private_only,regime,weak_village_information,20,0.0,0.15
reveal_first_wolf,regime,baseline,20,0.0,0.3
reveal_first_wolf,regime,deception_enabled,20,0.0,0.3
reveal_first_wolf,regime,herding_enabled,20,0.0,0.3
reveal_first_wolf,regime,heterogeneous_risk,20,0.0,0.25
reveal_first_wolf,regime,high_emotional_speech,20,0.0,0.15
reveal_first_wolf,regime,low_information_speech,20,0.0,0.4
reveal_first_wolf,regime,mixed_strategies,20,0.0,0.35
reveal_first_wolf,regime,speech_enabled,20,0.0,0.35
reveal_first_wolf,regime,strong_village_information,20,0.0,0.35
reveal_first_wolf,regime,weak_village_information,20,0.0,0.1
selective_useful_info,regime,baseline,20,0.0,0.3
selective_useful_info,regime,deception_enabled,20,0.0,0.25
selective_useful_info,regime,herding_enabled,20,0.0,0.3
selective_useful_info,regime,heterogeneous_risk,20,0.0,0.25
selective_useful_info,regime,high_emotional_speech,20,0.0,0.15
selective_useful_info,regime,low_information_speech,20,0.0,0.4
selective_useful_info,regime,mixed_strategies,20,0.0,0.35
selective_useful_info,regime,speech_enabled,20,0.0,0.35
selective_useful_info,regime,strong_village_information,20,0.0,0.35
selective_useful_info,regime,weak_village_information,20,0.0,0.1
under_threat,regime,baseline,20,0.0,0.3
under_threat,regime,deception_enabled,20,0.0,0.3
under_threat,regime,herding_enabled,20,0.0,0.3
under_threat,regime,heterogeneous_risk,20,0.0,0.25
under_threat,regime,high_emotional_speech,20,0.0,0.15
under_threat,regime,low_information_speech,20,0.0,0.4
under_threat,regime,mixed_strategies,20,0.0,0.4
under_threat,regime,speech_enabled,20,0.0,0.3
under_threat,regime,strong_village_information,20,0.0,0.25
under_threat,regime,weak_village_information,20,0.0,0.15
