policy,group_key,group_value,game_count,terminal_survival_rate,village_win_rate
delayed_round_2,seed,520,50,0.0,0.38
delayed_round_2,seed,521,50,0.0,0.3
delayed_round_2,seed,522,50,0.0,0.34
delayed_round_2,seed,523,50,0.0,0.2
immediate_reveal,seed,520,50,0.0,0.4
immediate_reveal,seed,521,50,0.0,0.34
immediate_reveal,seed,522,50,0.0,0.38
immediate_reveal,seed,523,50,0.0,0.24
private_only,seed,520,50,0.0,0.34
private_only,seed,521,50,0.0,0.26
private_only,seed,522,50,0.0,0.34
private_only,seed,523,50,0.0,0.16
reveal_first_wolf,seed,520,50,0.0,0.36
reveal_first_wolf,seed,521,50,0.0,0.28
reveal_first_wolf,seed,522,50,0.0,0.32
reveal_first_wolf,seed,523,50,0.0,0.18
selective_useful_info,seed,520,50,0.0,0.34
selective_useful_info,seed,521,50,0.0,0.28
selective_useful_info,seed,522,50,0.0,0.32
selective_useful_info,seed,523,50,0.0,0.18
under_threat,seed,520,50,0.0,0.36
under_threat,seed,521,50,0.0,0.26
under_threat,seed,522,50,0.0,0.34
under_threat,seed,523,50,0.0,0.16
