policy,metric,observed_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,cluster_unit
delayed_round_2,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
immediate_reveal,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
private_only,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
reveal_first_wolf,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
selective_useful_info,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
under_threat,terminal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
delayed_round_2,one_round_post_reveal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
immediate_reveal,one_round_post_reveal_survival_rate,0.02,0.005,0.04,1000,matched_set_id
private_only,one_round_post_reveal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
reveal_first_wolf,one_round_post_reveal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
selective_useful_info,one_round_post_reveal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
under_threat,one_round_post_reveal_survival_rate,0.0,0.0,0.0,1000,matched_set_id
delayed_round_2,died_next_night_after_reveal_rate,0.007407407407407408,0.0,0.022222222222222223,1000,matched_set_id
immediate_reveal,died_next_night_after_reveal_rate,0.665,0.595,0.73,1000,matched_set_id
private_only,died_next_night_after_reveal_rate,0.0,0.0,0.0,1000,matched_set_id
reveal_first_wolf,died_next_night_after_reveal_rate,0.4842105263157895,0.37894736842105264,0.5894736842105263,1000,matched_set_id
selective_useful_info,died_next_night_after_reveal_rate,0.4945054945054945,0.38461538461538464,0.5934065934065934,1000,matched_set_id
under_threat,died_next_night_after_reveal_rate,0.5,0.0,1.0,1000,matched_set_id
