policy,metric,observed_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,cluster_unit
aggressive_full,primary_waste_per_game,0.285,0.225,0.35,1000,matched_set_id
conservative_full,primary_waste_per_game,0.0,0.0,0.0,1000,matched_set_id
reference,primary_waste_per_game,0.065,0.03,0.105,1000,matched_set_id
risk_balanced,primary_waste_per_game,0.005,0.0,0.015,1000,matched_set_id
save_aggressive_poison_conservative,primary_waste_per_game,0.0,0.0,0.0,1000,matched_set_id
save_conservative_poison_aggressive,primary_waste_per_game,0.37,0.3,0.435,1000,matched_set_id
aggressive_full,extended_waste_per_game,1.0,1.0,1.0,1000,matched_set_id
conservative_full,extended_waste_per_game,1.625,1.555,1.69,1000,matched_set_id
reference,extended_waste_per_game,1.27,1.21,1.335,1000,matched_set_id
risk_balanced,extended_waste_per_game,1.255,1.195,1.31,1000,matched_set_id
save_aggressive_poison_conservative,extended_waste_per_game,1.0,1.0,1.0,1000,matched_set_id
save_conservative_poison_aggressive,extended_waste_per_game,1.625,1.56,1.69,1000,matched_set_id
aggressive_full,mean_waste_cost,-0.1425,-0.175,-0.1125,1000,matched_set_id
conservative_full,mean_waste_cost,0.0,0.0,0.0,1000,matched_set_id
reference,mean_waste_cost,-0.0325,-0.0525,-0.015,1000,matched_set_id
risk_balanced,mean_waste_cost,-0.0025,-0.0075,0.0,1000,matched_set_id
save_aggressive_poison_conservative,mean_waste_cost,0.0,0.0,0.0,1000,matched_set_id
save_conservative_poison_aggressive,mean_waste_cost,-0.185,-0.2175,-0.15,1000,matched_set_id
