game_id,matched_set_id,seed,regime,policy,witch_uid,reconstructable,missing_reason,save_available_start,poison_available_start,save_used,poison_used,save_round,poison_round,save_target_uid,poison_target_uid,save_target_team,poison_target_team,save_target_role,poison_target_role,save_event_category,poison_event_category,save_available_at_death,poison_available_at_death,save_available_at_game_end,poison_available_at_game_end,legal_save_opportunities,legal_poison_opportunities,missed_save_opportunities,missed_poison_opportunities,primary_save_waste,primary_poison_waste,extended_save_waste,extended_poison_waste,total_primary_potion_waste_count,total_extended_potion_waste_count,total_potion_waste_cost,witch_total_payoff,village_win
witch_reference_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,reference,3,True,,1,1,1,0,1,,5,,village,,seer,,save_special_role,,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0.0,1.2,1
witch_aggressive_full_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,aggressive_full,3,True,,1,1,1,1,1,2,5,1,village,wolf,seer,werewolf,save_special_role,correct_poison_wolf,0,0,0,0,0,3,0,2,0,0,0,1,0,1,0.0,1.5,1
witch_save_aggressive_poison_conservative_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,save_aggressive_poison_conservative,3,True,,1,1,1,0,1,,5,,village,,seer,,save_special_role,,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0.0,1.2,1
witch_save_conservative_poison_aggressive_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,save_conservative_poison_aggressive,3,True,,1,1,1,1,2,1,3,6,village,wolf,witch,werewolf,save_special_role,correct_poison_wolf,0,0,0,0,1,2,1,1,0,0,1,1,0,2,0.0,1.7,1
witch_conservative_full_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,conservative_full,3,True,,1,1,0,0,,,,,,,,,,,1,1,0,0,1,1,1,1,0,0,1,1,0,2,0.0,-0.95,0
witch_risk_balanced_r61_seed520_baseline_rep01,r61_seed520_baseline_rep01,520,baseline,risk_balanced,3,True,,1,1,1,0,1,,5,,village,,seer,,save_special_role,,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0.0,1.2,1
witch_reference_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,reference,10,True,,1,1,1,1,2,1,10,5,village,wolf,witch,werewolf,save_special_role,correct_poison_wolf,0,0,0,0,1,2,1,1,0,0,1,1,0,2,0.0,-0.6,0
witch_aggressive_full_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,aggressive_full,10,True,,1,1,1,1,1,2,7,1,village,village,seer,hunter,save_special_role,poison_special_role,0,0,0,0,0,3,0,2,0,1,0,1,1,1,-0.5,-1.1,0
witch_save_aggressive_poison_conservative_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,save_aggressive_poison_conservative,10,True,,1,1,1,0,1,,7,,village,,seer,,save_special_role,,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0.0,1.3,1
witch_save_conservative_poison_aggressive_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,save_conservative_poison_aggressive,10,True,,1,1,1,1,2,1,10,5,village,wolf,witch,werewolf,save_special_role,correct_poison_wolf,0,0,0,0,1,2,1,1,0,0,1,1,0,2,0.0,-0.6,0
witch_conservative_full_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,conservative_full,10,True,,1,1,0,0,,,,,,,,,,,1,1,0,0,1,1,1,1,0,0,1,1,0,2,0.0,-0.95,0
witch_risk_balanced_r61_seed520_baseline_rep02,r61_seed520_baseline_rep02,520,baseline,risk_balanced,10,True,,1,1,1,0,2,,10,,village,,witch,,save_special_role,,0,1,0,0,1,2,1,2,0,0,1,1,0,2,0.0,-0.8,0
witch_reference_r61_seed520_baseline_rep03,r61_seed520_baseline_rep03,520,baseline,reference,3,True,,1,1,1,0,2,,3,,village,,witch,,save_special_role,,0,1,0,0,1,2,1,2,0,0,1,1,0,2,0.0,-0.8,0
