policy,group_key,group_value,game_count,primary_waste_per_game,village_win_rate
aggressive_full,regime,baseline,20,0.4,0.25
aggressive_full,regime,deception_enabled,20,0.25,0.25
aggressive_full,regime,herding_enabled,20,0.4,0.25
aggressive_full,regime,heterogeneous_risk,20,0.3,0.3
aggressive_full,regime,high_emotional_speech,20,0.35,0.35
aggressive_full,regime,low_information_speech,20,0.15,0.55
aggressive_full,regime,mixed_strategies,20,0.15,0.4
aggressive_full,regime,speech_enabled,20,0.3,0.3
aggressive_full,regime,strong_village_information,20,0.2,0.4
aggressive_full,regime,weak_village_information,20,0.35,0.25
conservative_full,regime,baseline,20,0.0,0.15
conservative_full,regime,deception_enabled,20,0.0,0.15
conservative_full,regime,herding_enabled,20,0.0,0.3
conservative_full,regime,heterogeneous_risk,20,0.0,0.15
conservative_full,regime,high_emotional_speech,20,0.0,0.05
conservative_full,regime,low_information_speech,20,0.0,0.25
conservative_full,regime,mixed_strategies,20,0.0,0.3
conservative_full,regime,speech_enabled,20,0.0,0.25
conservative_full,regime,strong_village_information,20,0.0,0.4
conservative_full,regime,weak_village_information,20,0.0,0.15
reference,regime,baseline,20,0.0,0.3
reference,regime,deception_enabled,20,0.1,0.25
reference,regime,herding_enabled,20,0.0,0.3
reference,regime,heterogeneous_risk,20,0.15,0.25
reference,regime,high_emotional_speech,20,0.15,0.15
reference,regime,low_information_speech,20,0.0,0.4
reference,regime,mixed_strategies,20,0.1,0.4
reference,regime,speech_enabled,20,0.1,0.3
reference,regime,strong_village_information,20,0.05,0.25
reference,regime,weak_village_information,20,0.0,0.15
risk_balanced,regime,baseline,20,0.0,0.25
risk_balanced,regime,deception_enabled,20,0.0,0.25
risk_balanced,regime,herding_enabled,20,0.0,0.4
risk_balanced,regime,heterogeneous_risk,20,0.0,0.4
risk_balanced,regime,high_emotional_speech,20,0.05,0.15
risk_balanced,regime,low_information_speech,20,0.0,0.45
risk_balanced,regime,mixed_strategies,20,0.0,0.5
risk_balanced,regime,speech_enabled,20,0.0,0.3
risk_balanced,regime,strong_village_information,20,0.0,0.5
risk_balanced,regime,weak_village_information,20,0.0,0.25
save_aggressive_poison_conservative,regime,baseline,20,0.0,0.35
save_aggressive_poison_conservative,regime,deception_enabled,20,0.0,0.2
save_aggressive_poison_conservative,regime,herding_enabled,20,0.0,0.45
save_aggressive_poison_conservative,regime,heterogeneous_risk,20,0.0,0.2
save_aggressive_poison_conservative,regime,high_emotional_speech,20,0.0,0.2
save_aggressive_poison_conservative,regime,low_information_speech,20,0.0,0.45
save_aggressive_poison_conservative,regime,mixed_strategies,20,0.0,0.25
save_aggressive_poison_conservative,regime,speech_enabled,20,0.0,0.45
save_aggressive_poison_conservative,regime,strong_village_information,20,0.0,0.35
save_aggressive_poison_conservative,regime,weak_village_information,20,0.0,0.25
save_conservative_poison_aggressive,regime,baseline,20,0.45,0.3
save_conservative_poison_aggressive,regime,deception_enabled,20,0.5,0.25
save_conservative_poison_aggressive,regime,herding_enabled,20,0.4,0.25
save_conservative_poison_aggressive,regime,heterogeneous_risk,20,0.35,0.25
save_conservative_poison_aggressive,regime,high_emotional_speech,20,0.35,0.3
save_conservative_poison_aggressive,regime,low_information_speech,20,0.45,0.25
save_conservative_poison_aggressive,regime,mixed_strategies,20,0.35,0.4
save_conservative_poison_aggressive,regime,speech_enabled,20,0.25,0.3
save_conservative_poison_aggressive,regime,strong_village_information,20,0.25,0.4
save_conservative_poison_aggressive,regime,weak_village_information,20,0.35,0.25
