policy,group_key,group_value,game_count,primary_waste_per_game,village_win_rate
aggressive_full,seed,520,50,0.26,0.4
aggressive_full,seed,521,50,0.3,0.32
aggressive_full,seed,522,50,0.32,0.36
aggressive_full,seed,523,50,0.26,0.24
conservative_full,seed,520,50,0.0,0.24
conservative_full,seed,521,50,0.0,0.24
conservative_full,seed,522,50,0.0,0.22
conservative_full,seed,523,50,0.0,0.16
reference,seed,520,50,0.06,0.34
reference,seed,521,50,0.06,0.26
reference,seed,522,50,0.1,0.34
reference,seed,523,50,0.04,0.16
risk_balanced,seed,520,50,0.0,0.38
risk_balanced,seed,521,50,0.0,0.32
risk_balanced,seed,522,50,0.0,0.44
risk_balanced,seed,523,50,0.02,0.24
save_aggressive_poison_conservative,seed,520,50,0.0,0.36
save_aggressive_poison_conservative,seed,521,50,0.0,0.26
save_aggressive_poison_conservative,seed,522,50,0.0,0.38
save_aggressive_poison_conservative,seed,523,50,0.0,0.26
save_conservative_poison_aggressive,seed,520,50,0.38,0.38
save_conservative_poison_aggressive,seed,521,50,0.3,0.26
save_conservative_poison_aggressive,seed,522,50,0.34,0.32
save_conservative_poison_aggressive,seed,523,50,0.46,0.22
