decision_type,model,status,test_rows,rmse,mae,rank_correlation_within_decision,top_action_selection_accuracy,estimated_policy_value,average_regret,top1_action_agreement,calibration_abs_error
seer_check,mean_value_baseline,baseline,126,0.2492878140745731,0.20404123335157817,0.2,0.14285714285714285,0.5809523809523809,0.3238095238095238,0.14285714285714285,0.20404123335157817
seer_check,ridge_regression_stdlib,trained,126,0.25230845205441793,0.21110313912762058,-0.08299319727891157,0.0,0.5047619047619047,0.4,0.0,0.21110313912762058
seer_check,random_forest_regressor_sklearn,skipped_sklearn_unavailable,126,,,,,,,,
seer_check,hist_gradient_boosting_regressor_sklearn,skipped_sklearn_unavailable,126,,,,,,,,
wolf_kill,mean_value_baseline,baseline,198,0.21440853538151558,0.17617433071978528,0.09487179487179487,0.07692307692307693,0.635897435897436,0.2717948717948718,0.07692307692307693,0.17617433071978528
wolf_kill,ridge_regression_stdlib,trained,198,0.21532491249985478,0.17481309548299917,-0.07875457875457874,0.2564102564102564,0.6820512820512821,0.22564102564102567,0.2564102564102564,0.17481309548299917
wolf_kill,random_forest_regressor_sklearn,skipped_sklearn_unavailable,198,,,,,,,,
wolf_kill,hist_gradient_boosting_regressor_sklearn,skipped_sklearn_unavailable,198,,,,,,,,
day_vote,mean_value_baseline,baseline,174,0.31075902989103077,0.2685146600919077,0.24926108374384237,0.034482758620689655,0.5747126436781609,0.33333333333333337,0.034482758620689655,0.2685146600919077
day_vote,ridge_regression_stdlib,trained,174,0.3014014172729865,0.25550993470887023,0.1940886699507389,0.2413793103448276,0.6551724137931034,0.25287356321839083,0.2413793103448276,0.25550993470887023
day_vote,random_forest_regressor_sklearn,skipped_sklearn_unavailable,174,,,,,,,,
day_vote,hist_gradient_boosting_regressor_sklearn,skipped_sklearn_unavailable,174,,,,,,,,
