split_group_id,seed,base_game_index,dataset_split
seed_42_game_1,42,1,train
seed_42_game_2,42,2,train
seed_42_game_3,42,3,train
seed_42_game_4,42,4,train
seed_42_game_5,42,5,train
seed_42_game_6,42,6,train
seed_42_game_7,42,7,train
seed_42_game_8,42,8,train
seed_42_game_9,42,9,train
seed_42_game_10,42,10,train
seed_42_game_11,42,11,train
seed_42_game_12,42,12,train
seed_43_game_1,43,1,train
seed_43_game_2,43,2,train
seed_43_game_3,43,3,train
seed_43_game_4,43,4,train
seed_43_game_5,43,5,train
seed_43_game_6,43,6,train
seed_43_game_7,43,7,train
seed_43_game_8,43,8,train
seed_43_game_9,43,9,train
seed_43_game_10,43,10,train
seed_43_game_11,43,11,train
seed_43_game_12,43,12,train
seed_44_game_1,44,1,train
seed_44_game_2,44,2,train
seed_44_game_3,44,3,train
seed_44_game_4,44,4,train
seed_44_game_5,44,5,train
seed_44_game_6,44,6,train
seed_44_game_7,44,7,train
seed_44_game_8,44,8,train
seed_44_game_9,44,9,train
seed_44_game_10,44,10,train
seed_44_game_11,44,11,train
seed_44_game_12,44,12,train
seed_45_game_1,45,1,validation
seed_45_game_2,45,2,validation
seed_45_game_3,45,3,validation
seed_45_game_4,45,4,validation
seed_45_game_5,45,5,validation
seed_45_game_6,45,6,validation
seed_45_game_7,45,7,validation
seed_45_game_8,45,8,validation
seed_45_game_9,45,9,validation
seed_45_game_10,45,10,validation
seed_45_game_11,45,11,validation
seed_45_game_12,45,12,validation
seed_46_game_1,46,1,test
seed_46_game_2,46,2,test
seed_46_game_3,46,3,test
seed_46_game_4,46,4,test
seed_46_game_5,46,5,test
seed_46_game_6,46,6,test
seed_46_game_7,46,7,test
seed_46_game_8,46,8,test
seed_46_game_9,46,9,test
seed_46_game_10,46,10,test
seed_46_game_11,46,11,test
seed_46_game_12,46,12,test
