decision_type,policy,test_decision_states,estimated_policy_value,average_regret,existing_policy_agreement_rate
seer_check,existing_rule,21,0.5904761904761905,0.3142857142857143,1.0
seer_check,highest_existing_p_wolf,21,0.6285714285714286,0.2761904761904762,0.09523809523809523
seer_check,highest_existing_suspicion,21,0.6380952380952382,0.2666666666666667,0.047619047619047616
seer_check,ml_highest_wolf_probability,21,0.5333333333333334,0.37142857142857144,0.14285714285714285
seer_check,ml_highest_action_value,21,0.5047619047619047,0.4,0.14285714285714285
seer_check,ml_action_value_plus_exploration_bonus,21,0.5619047619047619,0.34285714285714286,0.42857142857142855
seer_check,epsilon_greedy_0_10_offline_expected,21,0.5104761904761905,0.39428571428571424,0.14285714285714285
wolf_kill,existing_wolf_strategy,39,0.7128205128205128,0.19487179487179487,1.0
wolf_kill,highest_threat_proxy,39,0.676923076923077,0.23076923076923078,0.2564102564102564
wolf_kill,highest_predicted_special_role_proxy,39,0.6871794871794872,0.2205128205128205,0.2564102564102564
wolf_kill,ml_highest_wolf_team_action_value,39,0.6820512820512821,0.22564102564102567,0.20512820512820512
day_vote,existing_voting_rule,29,0.6206896551724138,0.2873563218390805,1.0
day_vote,highest_suspicion,29,0.5977011494252873,0.3103448275862069,0.8275862068965517
day_vote,highest_ml_wolf_probability_for_village,20,0.7,0.2,0.05
day_vote,ml_highest_action_value,29,0.6551724137931034,0.25287356321839083,0.5172413793103449
day_vote,wolf_team_ml_vote_value,9,0.6666666666666666,0.2592592592592593,0.5555555555555556
