decision_type,model,split_name,candidate_rows,decision_states,full_rollout_rmse,full_rollout_mae,within_decision_spearman,top_action_accuracy,predicted_policy_full_rollout_value,full_rollout_regret
seer_check,mean_baseline,train,120,30,0.22466591473258773,0.18908730158730158,0.11999999999999997,0.43333333333333335,0.3571428571428571,0.1857142857142857
seer_check,ridge_regression_stdlib,train,120,30,0.2181626833793873,0.1822986291429269,0.11999999999999997,0.36666666666666664,0.3904761904761905,0.15238095238095237
seer_check,mean_baseline,validation,40,10,0.21476467636264565,0.18720238095238095,0.19999999999999996,0.6,0.3714285714285714,0.11428571428571428
seer_check,ridge_regression_stdlib,validation,40,10,0.2118936330391786,0.18435266472365033,0.23999999999999994,0.5,0.34285714285714286,0.14285714285714285
seer_check,mean_baseline,final_test,80,20,0.18463898095467776,0.14523809523809522,0.22999999999999993,0.4,0.3214285714285714,0.14285714285714285
seer_check,ridge_regression_stdlib,final_test,80,20,0.18174789249779097,0.14014291660281103,0.16999999999999998,0.4,0.33571428571428574,0.12857142857142856
seer_check,mean_baseline,ood_test,80,20,0.20153886432199508,0.1693452380952381,0.32999999999999996,0.45,0.35,0.17142857142857143
seer_check,ridge_regression_stdlib,ood_test,80,20,0.20127069584936771,0.16411112147373108,0.33999999999999997,0.5,0.3857142857142857,0.13571428571428573
wolf_kill,mean_baseline,train,120,30,0.20335898131984906,0.15654761904761907,0.3399999999999999,0.5,0.7238095238095238,0.09047619047619047
wolf_kill,ridge_regression_stdlib,train,120,30,0.1922725817793858,0.15472685143618178,0.08666666666666666,0.4,0.7333333333333333,0.08095238095238094
wolf_kill,mean_baseline,validation,40,10,0.18038758976072203,0.130952380952381,0.3999999999999999,0.4,0.7,0.17142857142857143
wolf_kill,ridge_regression_stdlib,validation,40,10,0.16252080607181266,0.12892590784984276,0.11999999999999997,0.1,0.7428571428571429,0.1285714285714286
wolf_kill,mean_baseline,final_test,80,20,0.18755195803150457,0.15089285714285716,0.3499999999999999,0.5,0.7214285714285714,0.12857142857142856
wolf_kill,ridge_regression_stdlib,final_test,80,20,0.17783202506635964,0.14766771976357287,0.09999999999999998,0.35,0.7428571428571429,0.10714285714285716
wolf_kill,mean_baseline,ood_test,80,20,0.17144510502280658,0.13333333333333336,0.13999999999999996,0.2,0.6571428571428571,0.20714285714285716
wolf_kill,ridge_regression_stdlib,ood_test,80,20,0.17062702191004958,0.1363691556159781,-0.13999999999999996,0.25,0.6714285714285715,0.19285714285714287
day_vote,mean_baseline,train,120,30,0.2782354506284103,0.24071428571428571,0.21999999999999995,0.3,0.37619047619047613,0.1857142857142857
day_vote,ridge_regression_stdlib,train,120,30,0.19542090015728358,0.1553881807979207,0.16666666666666663,0.4,0.41904761904761906,0.14285714285714285
day_vote,mean_baseline,validation,40,10,0.25911938781738647,0.22071428571428572,0.019999999999999997,0.4,0.3142857142857143,0.17142857142857143
day_vote,ridge_regression_stdlib,validation,40,10,0.20145392880447918,0.17089110452249662,0.21999999999999992,0.3,0.42857142857142855,0.05714285714285714
day_vote,mean_baseline,final_test,80,20,0.2602981022612657,0.20607142857142854,0.35999999999999993,0.55,0.42857142857142855,0.10714285714285714
day_vote,ridge_regression_stdlib,final_test,80,20,0.24841890753898677,0.20504506269481126,0.06999999999999998,0.35,0.42857142857142855,0.10714285714285714
day_vote,mean_baseline,ood_test,96,24,0.2483962162999043,0.19315476190476188,0.3916666666666666,0.375,0.36904761904761907,0.14285714285714285
day_vote,ridge_regression_stdlib,ood_test,96,24,0.20084562955119806,0.16488155506855254,0.1583333333333333,0.20833333333333334,0.3988095238095238,0.1130952380952381
