decision_type,policy,split_name,decision_states,mean_policy_value,mean_existing_value,mean_improvement_over_existing,mean_ml_regret,agreement_with_existing_rate,agreement_with_full_best_rate
seer_check,ml_identity_probability,validation,10,0.3714285714285714,0.3142857142857143,0.05714285714285714,0.11428571428571428,0.4,0.6
seer_check,ml_full_action_value,validation,10,0.48571428571428565,0.3142857142857143,0.17142857142857143,0.0,0.5,1.0
seer_check,ml_action_value_plus_exploration_bonus,validation,10,0.48571428571428565,0.3142857142857143,0.17142857142857143,0.0,0.3,0.8
wolf_kill,highest_threat_baseline,validation,10,0.7,0.6857142857142857,0.014285714285714296,0.17142857142857143,0.2,0.3
wolf_kill,ml_action_value_recommendation,validation,10,0.8714285714285713,0.6857142857142857,0.18571428571428572,0.0,0.3,1.0
day_vote,highest_suspicion,validation,10,0.2857142857142857,0.3714285714285714,-0.08571428571428572,0.2,0.2,0.3
day_vote,ml_identity_probability,validation,10,0.2857142857142857,0.3714285714285714,-0.08571428571428572,0.2,0.2,0.3
day_vote,ml_action_value_recommendation,validation,10,0.48571428571428565,0.3714285714285714,0.11428571428571428,0.0,0.5,1.0
seer_check,ml_identity_probability,final_test,20,0.3214285714285714,0.2642857142857143,0.05714285714285714,0.14285714285714285,0.2,0.4
seer_check,ml_full_action_value,final_test,20,0.46428571428571425,0.2642857142857143,0.2,0.0,0.2,1.0
seer_check,ml_action_value_plus_exploration_bonus,final_test,20,0.46428571428571425,0.2642857142857143,0.2,0.0,0.2,0.8
wolf_kill,highest_threat_baseline,final_test,20,0.7142857142857142,0.7,0.01428571428571428,0.13571428571428573,0.4,0.25
wolf_kill,ml_action_value_recommendation,final_test,20,0.85,0.7,0.15,0.0,0.2,1.0
day_vote,highest_suspicion,final_test,20,0.43571428571428567,0.3714285714285714,0.06428571428571428,0.1,0.5,0.55
day_vote,ml_identity_probability,final_test,20,0.43571428571428567,0.3714285714285714,0.06428571428571428,0.1,0.5,0.5
day_vote,ml_action_value_recommendation,final_test,20,0.5357142857142857,0.3714285714285714,0.16428571428571428,0.0,0.2,1.0
seer_check,ml_identity_probability,ood_test,20,0.35,0.3142857142857143,0.03571428571428572,0.17142857142857143,0.25,0.45
seer_check,ml_full_action_value,ood_test,20,0.5214285714285715,0.3142857142857143,0.20714285714285713,0.0,0.3,1.0
seer_check,ml_action_value_plus_exploration_bonus,ood_test,20,0.5214285714285715,0.3142857142857143,0.20714285714285713,0.0,0.4,0.85
wolf_kill,highest_threat_baseline,ood_test,20,0.7428571428571429,0.7142857142857142,0.02857142857142857,0.12142857142857144,0.35,0.4
wolf_kill,ml_action_value_recommendation,ood_test,20,0.8642857142857142,0.7142857142857142,0.15,0.0,0.2,1.0
day_vote,highest_suspicion,ood_test,24,0.35714285714285715,0.39285714285714285,-0.03571428571428572,0.15476190476190477,0.5,0.25
day_vote,ml_identity_probability,ood_test,24,0.36904761904761907,0.39285714285714285,-0.023809523809523808,0.14285714285714285,0.5416666666666666,0.2916666666666667
day_vote,ml_action_value_recommendation,ood_test,24,0.5119047619047619,0.39285714285714285,0.11904761904761905,0.0,0.2916666666666667,1.0
