split_group_id,split_name,split_level,behavioral_regime_id,game_family_id,base_configuration_id,seed,base_game_index
regime_baseline_rule_policy_seed_42_base_1,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_42_base_1,regime_baseline_rule_policy_seed_42_base_1,42,1
regime_baseline_rule_policy_seed_42_base_2,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_42_base_2,regime_baseline_rule_policy_seed_42_base_2,42,2
regime_baseline_rule_policy_seed_43_base_1,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_43_base_1,regime_baseline_rule_policy_seed_43_base_1,43,1
regime_baseline_rule_policy_seed_43_base_2,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_43_base_2,regime_baseline_rule_policy_seed_43_base_2,43,2
regime_baseline_rule_policy_seed_44_base_1,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_44_base_1,regime_baseline_rule_policy_seed_44_base_1,44,1
regime_baseline_rule_policy_seed_44_base_2,train,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_44_base_2,regime_baseline_rule_policy_seed_44_base_2,44,2
regime_baseline_rule_policy_seed_50_base_1,validation,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_50_base_1,regime_baseline_rule_policy_seed_50_base_1,50,1
regime_baseline_rule_policy_seed_50_base_2,validation,A_in_distribution,baseline_rule_policy,regime_baseline_rule_policy_seed_50_base_2,regime_baseline_rule_policy_seed_50_base_2,50,2
regime_baseline_rule_policy_seed_52_base_1,final_test,B_unseen_seed,baseline_rule_policy,regime_baseline_rule_policy_seed_52_base_1,regime_baseline_rule_policy_seed_52_base_1,52,1
regime_baseline_rule_policy_seed_52_base_2,final_test,B_unseen_seed,baseline_rule_policy,regime_baseline_rule_policy_seed_52_base_2,regime_baseline_rule_policy_seed_52_base_2,52,2
regime_baseline_rule_policy_seed_53_base_1,final_test,B_unseen_seed,baseline_rule_policy,regime_baseline_rule_policy_seed_53_base_1,regime_baseline_rule_policy_seed_53_base_1,53,1
regime_baseline_rule_policy_seed_53_base_2,final_test,B_unseen_seed,baseline_rule_policy,regime_baseline_rule_policy_seed_53_base_2,regime_baseline_rule_policy_seed_53_base_2,53,2
regime_randomized_legal_policy_seed_42_base_1,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_42_base_1,regime_randomized_legal_policy_seed_42_base_1,42,1
regime_randomized_legal_policy_seed_42_base_2,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_42_base_2,regime_randomized_legal_policy_seed_42_base_2,42,2
regime_randomized_legal_policy_seed_43_base_1,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_43_base_1,regime_randomized_legal_policy_seed_43_base_1,43,1
regime_randomized_legal_policy_seed_43_base_2,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_43_base_2,regime_randomized_legal_policy_seed_43_base_2,43,2
regime_randomized_legal_policy_seed_44_base_1,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_44_base_1,regime_randomized_legal_policy_seed_44_base_1,44,1
regime_randomized_legal_policy_seed_44_base_2,train,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_44_base_2,regime_randomized_legal_policy_seed_44_base_2,44,2
regime_randomized_legal_policy_seed_50_base_1,validation,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_50_base_1,regime_randomized_legal_policy_seed_50_base_1,50,1
regime_randomized_legal_policy_seed_50_base_2,validation,A_in_distribution,randomized_legal_policy,regime_randomized_legal_policy_seed_50_base_2,regime_randomized_legal_policy_seed_50_base_2,50,2
regime_randomized_legal_policy_seed_52_base_1,final_test,B_unseen_seed,randomized_legal_policy,regime_randomized_legal_policy_seed_52_base_1,regime_randomized_legal_policy_seed_52_base_1,52,1
regime_randomized_legal_policy_seed_52_base_2,final_test,B_unseen_seed,randomized_legal_policy,regime_randomized_legal_policy_seed_52_base_2,regime_randomized_legal_policy_seed_52_base_2,52,2
regime_randomized_legal_policy_seed_53_base_1,final_test,B_unseen_seed,randomized_legal_policy,regime_randomized_legal_policy_seed_53_base_1,regime_randomized_legal_policy_seed_53_base_1,53,1
regime_randomized_legal_policy_seed_53_base_2,final_test,B_unseen_seed,randomized_legal_policy,regime_randomized_legal_policy_seed_53_base_2,regime_randomized_legal_policy_seed_53_base_2,53,2
regime_mixed_rule_policy_seed_42_base_1,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_42_base_1,regime_mixed_rule_policy_seed_42_base_1,42,1
regime_mixed_rule_policy_seed_42_base_2,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_42_base_2,regime_mixed_rule_policy_seed_42_base_2,42,2
regime_mixed_rule_policy_seed_43_base_1,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_43_base_1,regime_mixed_rule_policy_seed_43_base_1,43,1
regime_mixed_rule_policy_seed_43_base_2,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_43_base_2,regime_mixed_rule_policy_seed_43_base_2,43,2
regime_mixed_rule_policy_seed_44_base_1,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_44_base_1,regime_mixed_rule_policy_seed_44_base_1,44,1
regime_mixed_rule_policy_seed_44_base_2,train,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_44_base_2,regime_mixed_rule_policy_seed_44_base_2,44,2
regime_mixed_rule_policy_seed_50_base_1,validation,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_50_base_1,regime_mixed_rule_policy_seed_50_base_1,50,1
regime_mixed_rule_policy_seed_50_base_2,validation,A_in_distribution,mixed_rule_policy,regime_mixed_rule_policy_seed_50_base_2,regime_mixed_rule_policy_seed_50_base_2,50,2
