coefficient,coefficient_stdev_across_development_folds,feature,stability_method,stability_note
0.0,NA,round_number,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,phase_is_night,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,phase_is_day,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,decision_type_is_seer_check,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,decision_type_is_wolf_kill,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,decision_type_is_day_vote,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_team_is_wolf,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_team_is_village,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,alive_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,dead_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,public_revealed_role_count,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.04200660323518097,NA,public_information_entropy_proxy,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,number_of_public_check_results,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,number_of_previous_eliminations,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.002709304725911002,NA,actor_suspicion_score,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
-0.002709304725910999,NA,actor_p_wolf,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
0.0,NA,actor_risk_conservative,single frozen Stage 1.5 train split,Stage 2A did not refit the primary frozen model; fold stability is deferred to a larger follow-up.
