behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_ml,3,100,3,villager,0.001840641024423273
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_ml,4,100,4,villager,0.027403897455020587
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,2,100,3,villager,0.020936088614669335
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,4,100,4,villager,0.027403897455020587
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,3,100,3,villager,0.001840641024423273
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,4,100,4,villager,0.027403897455020587
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_ml,2,100,7,villager,0.00405054439278929
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_ml,3,100,1,witch,0.00028848856861918293
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_hybrid_50_50,2,100,7,villager,0.00405054439278929
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_hybrid_50_50,3,100,1,witch,0.00028848856861918293
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_ml_epsilon_010,2,100,7,villager,0.00405054439278929
speech_disabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_speech_disabled,frozen_ml_epsilon_010,3,100,1,witch,0.00028848856861918293
herding_enabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_herding_enabled,frozen_ml,2,100,7,hunter,0.0010917909832138806
herding_enabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_herding_enabled,frozen_ml,3,100,3,seer,0.03393542775747138
herding_enabled,mild_shift,3,policy_lost_existing_won,seed_100_base_1_regime_herding_enabled,frozen_hybrid_50_50,1,100,7,hunter,0.004553000504926574
herding_enabled,strong_shift,3,policy_lost_existing_won,seed_100_base_1_regime_herding_enabled,frozen_hybrid_50_50,2,100,4,villager,0.01072202317880988
herding_enabled,strong_shift,3,policy_lost_existing_won,seed_100_base_1_regime_herding_enabled,frozen_hybrid_50_50,3,100,4,villager,0.013939501386937114
herding_enabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_herding_enabled,frozen_ml_epsilon_010,3,100,7,hunter,0.01536737677025135
herding_enabled,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_herding_enabled,frozen_ml_epsilon_010,4,100,3,seer,0.009417897396225783
deception_enabled,strong_shift,1,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_ml,2,100,7,villager,0.018700466319409248
deception_enabled,strong_shift,1,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_ml,3,100,5,hunter,0.007245791982229632
deception_enabled,strong_shift,1,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_hybrid_50_50,2,100,3,villager,0.018700466319409248
deception_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_hybrid_50_50,3,100,5,hunter,0.007245791982229632
deception_enabled,strong_shift,1,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_ml_epsilon_010,2,100,3,villager,0.018700466319409248
deception_enabled,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_deception_enabled,frozen_ml_epsilon_010,3,100,5,hunter,0.007245791982229632
heterogeneous_risk_preference,strong_shift,4,strong_distribution_shift,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_ml,2,100,7,hunter,0.005994161186895441
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_ml,3,100,6,villager,0.011979685275565033
heterogeneous_risk_preference,mild_shift,4,policy_lost_existing_won,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,1,100,9,villager,0.0059941611868955524
heterogeneous_risk_preference,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,2,100,4,seer,0.005994161186895441
heterogeneous_risk_preference,strong_shift,3,policy_lost_existing_won,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,3,100,5,villager,0.0030998058444433596
heterogeneous_risk_preference,strong_shift,3,policy_lost_existing_won,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_hybrid_50_50,4,100,9,villager,0.030199619205260375
heterogeneous_risk_preference,strong_shift,4,strong_distribution_shift,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,2,100,7,hunter,0.005994161186895441
heterogeneous_risk_preference,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_heterogeneous_risk_preference,frozen_ml_epsilon_010,3,100,6,villager,0.011979685275565033
strong_village_information,strong_shift,1,strong_distribution_shift,seed_100_base_1_regime_strong_village_information,frozen_hybrid_50_50,2,100,6,villager,0.012369691944016492
weak_village_information,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml,2,100,7,villager,0.0059941611868955524
weak_village_information,strong_shift,9,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml,3,100,8,hunter,0.01072202317880988
weak_village_information,strong_shift,2,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml,4,100,10,villager,0.004553000504926574
weak_village_information,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_hybrid_50_50,3,100,9,witch,0.0021547735121989486
weak_village_information,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_hybrid_50_50,4,100,8,hunter,0.035875630812228776
weak_village_information,strong_shift,6,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml_epsilon_010,2,100,8,hunter,0.0059941611868955524
weak_village_information,strong_shift,9,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml_epsilon_010,3,100,7,villager,0.00017049155849513387
weak_village_information,strong_shift,9,strong_distribution_shift,seed_100_base_1_regime_weak_village_information,frozen_ml_epsilon_010,4,100,2,villager,0.029706608138345525
mixed_seer_strategy,in_distribution,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml,1,100,7,villager,0.0059941611868955524
mixed_seer_strategy,mild_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml,2,100,4,seer,0.0013514429032502884
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml,3,100,6,villager,0.010547514967042648
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml,4,100,4,seer,0.00786712672477674
mixed_seer_strategy,mild_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_hybrid_50_50,1,100,9,villager,0.0059941611868955524
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_hybrid_50_50,2,100,3,hunter,0.011058636367307084
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_hybrid_50_50,3,100,6,villager,0.010547514967042648
mixed_seer_strategy,in_distribution,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,1,100,7,villager,0.0059941611868955524
mixed_seer_strategy,mild_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,2,100,3,hunter,0.0013514429032502884
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,3,100,6,villager,0.010547514967042648
mixed_seer_strategy,strong_shift,4,policy_lost_existing_won,seed_100_base_1_regime_mixed_seer_strategy,frozen_ml_epsilon_010,4,100,4,seer,0.00786712672477674
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_ml,2,100,5,villager,0.004983143983458005
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_ml,3,100,7,hunter,0.0030538709470112613
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_hybrid_50_50,2,100,5,villager,0.004983143983458005
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_hybrid_50_50,3,100,7,hunter,0.0030538709470112613
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_ml_epsilon_010,2,100,5,villager,0.004983143983458005
mixed_voting_strategy,strong_shift,8,strong_distribution_shift,seed_100_base_1_regime_mixed_voting_strategy,frozen_ml_epsilon_010,3,100,7,hunter,0.0030538709470112613
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,2,100,6,villager,0.0018469969722844093
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,3,100,6,villager,0.014364700651832707
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml,4,100,5,villager,0.012002211911911809
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,2,100,5,villager,0.0018469969722844093
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,3,100,5,villager,0.014364700651832707
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_hybrid_50_50,4,100,6,villager,0.023164705673640373
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,2,100,6,villager,0.0018469969722844093
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,3,100,6,villager,0.014364700651832707
mixed_wolf_deception_strategy,strong_shift,3,strong_distribution_shift,seed_100_base_1_regime_mixed_wolf_deception_strategy,frozen_ml_epsilon_010,4,100,5,villager,0.012002211911911809
baseline_speech_enabled,strong_shift,8,strong_distribution_shift,seed_101_base_1_regime_baseline_speech_enabled,frozen_ml,2,101,8,seer,0.007578638156157558
baseline_speech_enabled,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_baseline_speech_enabled,frozen_ml,3,101,6,villager,0.005542214929303402
baseline_speech_enabled,strong_shift,8,strong_distribution_shift,seed_101_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,2,101,4,witch,0.005124753396624104
baseline_speech_enabled,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_baseline_speech_enabled,frozen_hybrid_50_50,3,101,4,witch,0.00464243957283017
baseline_speech_enabled,in_distribution,8,policy_lost_existing_won,seed_101_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,1,101,10,villager,0.0059941611868955524
baseline_speech_enabled,mild_shift,8,policy_lost_existing_won,seed_101_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,2,101,7,hunter,0.00827876109799175
baseline_speech_enabled,strong_shift,8,policy_lost_existing_won,seed_101_base_1_regime_baseline_speech_enabled,frozen_ml_epsilon_010,3,101,7,hunter,0.000396891404709665
speech_disabled,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_speech_disabled,frozen_ml,3,101,9,villager,0.006164652745390464
speech_disabled,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_speech_disabled,frozen_hybrid_50_50,4,101,2,villager,0.008153304627587232
speech_disabled,strong_shift,4,strong_distribution_shift,seed_101_base_1_regime_speech_disabled,frozen_ml_epsilon_010,3,101,9,villager,0.006164652745390464
herding_enabled,in_distribution,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml,1,101,9,villager,0.010551531620314858
herding_enabled,mild_shift,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml,2,101,9,villager,0.010551531620314858
herding_enabled,strong_shift,8,policy_lost_existing_won,seed_101_base_1_regime_herding_enabled,frozen_ml,3,101,8,seer,0.014621114345696573
herding_enabled,strong_shift,8,strong_distribution_shift,seed_101_base_1_regime_herding_enabled,frozen_hybrid_50_50,2,101,3,villager,0.010551531620314858
herding_enabled,strong_shift,8,strong_distribution_shift,seed_101_base_1_regime_herding_enabled,frozen_hybrid_50_50,3,101,9,villager,0.014701888125473017
