avg_rounds,avg_successful_night_kills,behavioral_regime_id,games,policy_name,wolf_win_rate
3.4,2.5,baseline_speech_enabled,20,existing_rule,0.65
3.3,2.35,baseline_speech_enabled,20,frozen_hybrid_50_50,0.45
3.3,2.4,baseline_speech_enabled,20,frozen_ml,0.55
3.1,2.25,baseline_speech_enabled,20,frozen_ml_epsilon_010,0.5
2.95,2.05,deception_enabled,20,existing_rule,0.6
3.1,2.3,deception_enabled,20,frozen_hybrid_50_50,0.5
3.05,2.2,deception_enabled,20,frozen_ml,0.55
2.95,2.1,deception_enabled,20,frozen_ml_epsilon_010,0.6
3.3,2.4,herding_enabled,20,existing_rule,0.6
3.4,2.5,herding_enabled,20,frozen_hybrid_50_50,0.4
3.3,2.45,herding_enabled,20,frozen_ml,0.5
3.4,2.55,herding_enabled,20,frozen_ml_epsilon_010,0.55
3.1,2.15,heterogeneous_risk_preference,20,existing_rule,0.65
3.15,2.3,heterogeneous_risk_preference,20,frozen_hybrid_50_50,0.6
3.0,2.15,heterogeneous_risk_preference,20,frozen_ml,0.8
3.0,2.15,heterogeneous_risk_preference,20,frozen_ml_epsilon_010,0.75
3.6,2.7,mixed_seer_strategy,20,existing_rule,0.75
3.4,2.6,mixed_seer_strategy,20,frozen_hybrid_50_50,0.45
3.6,2.8,mixed_seer_strategy,20,frozen_ml,0.4
3.6,2.8,mixed_seer_strategy,20,frozen_ml_epsilon_010,0.4
2.85,2.1,mixed_voting_strategy,20,existing_rule,0.85
3.0,2.2,mixed_voting_strategy,20,frozen_hybrid_50_50,0.9
3.0,2.2,mixed_voting_strategy,20,frozen_ml,0.95
3.1,2.3,mixed_voting_strategy,20,frozen_ml_epsilon_010,0.95
3.05,2.05,mixed_wolf_deception_strategy,20,existing_rule,0.85
3.2,2.25,mixed_wolf_deception_strategy,20,frozen_hybrid_50_50,0.65
3.3,2.4,mixed_wolf_deception_strategy,20,frozen_ml,0.7
3.35,2.45,mixed_wolf_deception_strategy,20,frozen_ml_epsilon_010,0.7
3.75,2.9,speech_disabled,20,existing_rule,0.65
3.6,2.7,speech_disabled,20,frozen_hybrid_50_50,0.65
3.55,2.65,speech_disabled,20,frozen_ml,0.5
3.55,2.65,speech_disabled,20,frozen_ml_epsilon_010,0.5
3.4,2.4,strong_village_information,20,existing_rule,0.5
3.3,2.3,strong_village_information,20,frozen_hybrid_50_50,0.45
3.35,2.35,strong_village_information,20,frozen_ml,0.45
3.35,2.35,strong_village_information,20,frozen_ml_epsilon_010,0.45
2.9,2.4,weak_village_information,20,existing_rule,0.85
3.05,2.55,weak_village_information,20,frozen_hybrid_50_50,0.75
3.2,2.7,weak_village_information,20,frozen_ml,0.7
3.15,2.7,weak_village_information,20,frozen_ml_epsilon_010,0.7
