avg_rounds,avg_successful_night_kills,games,policy_name,seed,wolf_win_rate
3.3,2.6,10,existing_rule,100,0.6
3.4,2.5,10,frozen_hybrid_50_50,100,0.3
3.3,2.5,10,frozen_ml,100,0.5
3.4,2.6,10,frozen_ml_epsilon_010,100,0.5
3.2,2.3,10,existing_rule,101,0.8
3.2,2.4,10,frozen_hybrid_50_50,101,0.6
2.9,2.1,10,frozen_ml,101,0.4
2.9,2.1,10,frozen_ml_epsilon_010,101,0.3
3.5,2.6,10,existing_rule,102,0.5
3.1,2.4,10,frozen_hybrid_50_50,102,0.4
3.3,2.6,10,frozen_ml,102,0.6
3.2,2.5,10,frozen_ml_epsilon_010,102,0.7
3.2,2.4,10,existing_rule,103,0.6
2.9,2.1,10,frozen_hybrid_50_50,103,0.9
2.9,2.2,10,frozen_ml,103,0.7
2.9,2.2,10,frozen_ml_epsilon_010,103,0.7
3.1,2.2,10,existing_rule,104,0.8
3.3,2.4,10,frozen_hybrid_50_50,104,0.7
3.5,2.6,10,frozen_ml,104,0.5
3.5,2.6,10,frozen_ml_epsilon_010,104,0.5
3.0,2.0,10,existing_rule,105,0.8
3.3,2.3,10,frozen_hybrid_50_50,105,0.6
3.4,2.4,10,frozen_ml,105,0.6
3.5,2.5,10,frozen_ml_epsilon_010,105,0.7
3.0,2.1,10,existing_rule,106,0.9
3.1,2.3,10,frozen_hybrid_50_50,106,0.9
2.7,1.8,10,frozen_ml,106,0.9
2.8,1.9,10,frozen_ml_epsilon_010,106,0.9
3.2,2.6,10,existing_rule,107,0.6
3.6,2.8,10,frozen_hybrid_50_50,107,0.4
3.6,2.9,10,frozen_ml,107,0.5
3.4,2.7,10,frozen_ml_epsilon_010,107,0.5
3.4,2.4,10,existing_rule,108,0.7
3.1,2.2,10,frozen_hybrid_50_50,108,0.5
3.2,2.2,10,frozen_ml,108,0.6
3.1,2.1,10,frozen_ml_epsilon_010,108,0.6
3.3,2.4,10,existing_rule,109,0.4
3.1,2.2,10,frozen_hybrid_50_50,109,0.4
3.4,2.5,10,frozen_ml,109,0.7
3.4,2.5,10,frozen_ml_epsilon_010,109,0.6
3.2,2.4,10,existing_rule,110,0.7
3.2,2.4,10,frozen_hybrid_50_50,110,0.6
3.1,2.3,10,frozen_ml,110,0.6
3.1,2.3,10,frozen_ml_epsilon_010,110,0.6
3.0,2.1,10,existing_rule,111,0.8
3.1,2.3,10,frozen_hybrid_50_50,111,0.6
3.3,2.5,10,frozen_ml,111,0.6
3.3,2.5,10,frozen_ml_epsilon_010,111,0.6
3.4,2.4,10,existing_rule,112,0.7
3.5,2.5,10,frozen_hybrid_50_50,112,0.6
3.5,2.5,10,frozen_ml,112,0.8
3.5,2.5,10,frozen_ml_epsilon_010,112,0.8
2.7,1.8,10,existing_rule,113,0.7
3.5,2.5,10,frozen_hybrid_50_50,113,0.7
3.3,2.3,10,frozen_ml,113,0.6
3.3,2.3,10,frozen_ml_epsilon_010,113,0.6
3.2,2.5,10,existing_rule,114,0.7
2.9,2.3,10,frozen_hybrid_50_50,114,0.6
3.1,2.5,10,frozen_ml,114,0.6
3.1,2.5,10,frozen_ml_epsilon_010,114,0.5
3.2,2.4,10,existing_rule,115,0.6
3.1,2.4,10,frozen_hybrid_50_50,115,0.6
3.5,2.7,10,frozen_ml,115,0.6
3.5,2.7,10,frozen_ml_epsilon_010,115,0.7
3.7,2.8,10,existing_rule,116,0.8
3.7,2.7,10,frozen_hybrid_50_50,116,0.6
3.7,2.7,10,frozen_ml,116,0.7
3.6,2.7,10,frozen_ml_epsilon_010,116,0.7
3.2,2.4,10,existing_rule,117,0.6
3.1,2.3,10,frozen_hybrid_50_50,117,0.5
3.2,2.3,10,frozen_ml,117,0.5
3.2,2.4,10,frozen_ml_epsilon_010,117,0.6
3.4,2.5,10,existing_rule,118,0.7
3.4,2.5,10,frozen_hybrid_50_50,118,0.6
3.3,2.6,10,frozen_ml,118,0.5
3.3,2.6,10,frozen_ml_epsilon_010,118,0.4
3.4,2.4,10,existing_rule,119,0.9
3.4,2.6,10,frozen_hybrid_50_50,119,0.5
3.1,2.4,10,frozen_ml,119,0.7
3.1,2.4,10,frozen_ml_epsilon_010,119,0.7
