actor,actor_uid,actual_execution_policy,avg_ml_advantage_over_existing,avg_top_two_margin,base_game_index,behavioral_regime_id,cumulative_ml_existing_disagreements,cumulative_ml_interventions,decision_id,decision_index,decision_type,distribution_shift_category,draw,existing_rule_target,existing_rule_target_actor_uid,first_wolf_death_round,frozen_hybrid_50_50_target,frozen_ml_epsilon_010_target,frozen_ml_target,frozen_ml_target_actor_uid,game_id,hunter_kills,hunter_retaliation_occurred,hunter_retaliations,hybrid_existing_agree,in_distribution_decisions,manifest_hash,matched_set_id,mild_shift_decisions,ml_advantage_over_existing,ml_existing_agree,ml_hybrid_agree,night_kill_attempts,number_of_legal_candidates,phase,policy_name,pre_decision_snapshot_hash,pre_decision_snapshot_id,prior_ml_existing_disagreements,prior_ml_interventions,round,round_number,seed,seer_kills,selected_target,selected_target_actor_uid,selected_target_killed,selected_target_rank_under_existing_rule,selected_target_rank_under_ml,selected_target_role,selection_reason,selective_override_manifest_hash,selective_override_qualified,single_random_intervention_index,special_role_kills,split,stage2b_executed_ml_intervention,stage2b_policy_name,stage2b_shadow_only,strong_shift_decision_rate,strong_shift_decisions,successful_night_kills,time_to_parity,top_two_predicted_value_margin,total_ml_existing_disagreements,total_ml_interventions,total_rounds,total_selective_qualified_decisions,total_shadow_only_decisions,village_win,vote_control_proxy,winner,witch_kills,witch_saved_target,witch_saves,wolf_kill_decisions,wolf_survival_count,wolf_win
1,1,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,1,0,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_1_decision_1,1,wolf_kill,in_distribution,0,8,8,2,3,7,7,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,0,4,7,night,existing_rule,,,0,0,1,4,220,1,8,8,0,4,3,seer,existing_rule_control,,0,,2,final_test,0,existing_rule,0,0.5,2,3,4,0.0059941611868955524,4,0,4,0,0,0,3,wolf,0,1,1,4,1,1
1,1,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,2,0,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_2_decision_2,2,wolf_kill,mild_shift,0,8,8,2,6,10,6,6,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,1,4,6,night,existing_rule,,,1,0,2,4,220,1,8,8,1,5,3,seer,existing_rule_control,,0,,2,final_test,0,existing_rule,0,0.5,2,3,4,0.0019067468389790676,4,0,4,0,0,0,3,wolf,0,0,1,4,1,1
1,1,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,3,0,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_3_decision_3,3,wolf_kill,strong_shift,0,6,6,2,6,7,7,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule,1,1,1,1,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,0,4,4,night,existing_rule,,,2,0,3,4,220,1,6,6,1,1,2,hunter,existing_rule_control,,0,,2,final_test,0,existing_rule,0,0.5,2,3,4,0.00042544890359841325,4,0,4,0,0,0,3,wolf,0,0,1,4,1,1
2,2,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,4,0,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_4_decision_4,4,wolf_kill,strong_shift,0,10,10,2,9,9,9,9,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,1,4,2,night,existing_rule,,,3,0,4,4,220,1,10,10,1,2,2,villager,existing_rule_control,,0,,2,final_test,0,existing_rule,0,0.5,2,3,4,0.013159458100163612,4,0,4,0,0,0,3,wolf,0,0,1,4,1,1
1,1,frozen_ml,0.0,0.005371453757409161,1,baseline_speech_enabled,1,1,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_1_decision_1,1,wolf_kill,in_distribution,0,8,8,2,3,7,7,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,0,4,7,night,ml_first_kill_only,,,0,0,1,4,220,1,7,7,0,2,1,villager,first_eligible_decision_uses_ml,,0,,2,final_test,1,ml_first_kill_only,0,0.5,2,3,4,0.0059941611868955524,4,1,4,0,0,0,3,wolf,0,1,1,4,1,1
1,1,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,2,1,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_2_decision_2,2,wolf_kill,mild_shift,0,8,8,2,6,10,6,6,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,1,4,6,night,ml_first_kill_only,,,1,1,2,4,220,1,8,8,1,5,3,seer,after_first_decision_revert_to_existing_rule,,0,,2,final_test,0,ml_first_kill_only,0,0.5,2,3,4,0.0019067468389790676,4,1,4,0,0,0,3,wolf,0,0,1,4,1,1
1,1,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,3,1,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_3_decision_3,3,wolf_kill,strong_shift,0,6,6,2,6,7,7,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only,1,1,1,1,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,0,4,4,night,ml_first_kill_only,,,2,1,3,4,220,1,6,6,1,1,2,hunter,after_first_decision_revert_to_existing_rule,,0,,2,final_test,0,ml_first_kill_only,0,0.5,2,3,4,0.00042544890359841325,4,1,4,0,0,0,3,wolf,0,0,1,4,1,1
2,2,existing_rule,0.0,0.005371453757409161,1,baseline_speech_enabled,4,1,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_4_decision_4,4,wolf_kill,strong_shift,0,10,10,2,9,9,9,9,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,1,0.0,0,1,4,2,night,ml_first_kill_only,,,3,1,4,4,220,1,10,10,1,2,2,villager,after_first_decision_revert_to_existing_rule,,0,,2,final_test,0,ml_first_kill_only,0,0.5,2,3,4,0.013159458100163612,4,1,4,0,0,0,3,wolf,0,0,1,4,1,1
1,1,existing_rule,0.0,0.007708346563739199,1,baseline_speech_enabled,1,0,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_1_decision_1,1,wolf_kill,in_distribution,0,8,8,2,3,7,7,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill,1,0,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,0,0.0,0,0,4,7,night,ml_single_random_kill,,,0,0,1,4,220,1,8,8,0,4,3,seer,not_preselected_single_random_decision,,0,2,2,final_test,0,ml_single_random_kill,0,0.75,3,3,,0.0059941611868955524,4,1,4,0,0,1,1,village,0,1,1,4,0,0
1,1,frozen_ml,0.0,0.007708346563739199,1,baseline_speech_enabled,2,1,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_2_decision_2,2,wolf_kill,strong_shift,0,8,8,2,6,10,6,6,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill,1,1,1,0,1,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,stage2b_seed_220_base_1_regime_baseline_speech_enabled,0,0.0,0,1,4,6,night,ml_single_random_kill,,,1,0,2,4,220,1,6,6,1,2,1,hunter,preselected_single_random_decision_uses_ml,,0,2,2,final_test,1,ml_single_random_kill,0,0.75,3,3,,0.0019067468389790676,4,1,4,0,0,1,1,village,0,0,1,4,0,0
