avg_rounds,avg_total_ml_interventions,behavioral_regime_id,games,policy_name,strong_shift_decision_rate,wolf_win_rate
3.4,3.4,baseline_speech_enabled,20,continuous_frozen_ml,0.55,0.4
3.65,0.0,baseline_speech_enabled,20,existing_rule,0.6208333333333333,0.75
3.65,0.0,baseline_speech_enabled,20,existing_with_ml_shadow,0.6208333333333333,0.75
3.65,0.0,baseline_speech_enabled,20,high_confidence_shadow,0.6208333333333333,0.75
3.5,1.0,baseline_speech_enabled,20,ml_first_kill_only,0.5541666666666667,0.65
3.4,2.0,baseline_speech_enabled,20,ml_first_two_kills,0.5333333333333333,0.45
3.6,1.0,baseline_speech_enabled,20,ml_single_random_kill,0.6166666666666667,0.45
3.65,0.1,baseline_speech_enabled,20,selective_ml_override,0.6208333333333333,0.75
3.2,3.2,deception_enabled,20,continuous_frozen_ml,0.5416666666666666,0.5
3.2,0.0,deception_enabled,20,existing_rule,0.55,0.6
3.2,0.0,deception_enabled,20,existing_with_ml_shadow,0.55,0.6
3.2,0.0,deception_enabled,20,high_confidence_shadow,0.55,0.6
3.2,1.0,deception_enabled,20,ml_first_kill_only,0.55,0.6
3.4,2.0,deception_enabled,20,ml_first_two_kills,0.5458333333333333,0.45
3.2,0.85,deception_enabled,20,ml_single_random_kill,0.5291666666666667,0.65
3.2,0.3,deception_enabled,20,selective_ml_override,0.55,0.6
3.8,3.8,herding_enabled,20,continuous_frozen_ml,0.6525000000000001,0.6
3.55,0.0,herding_enabled,20,existing_rule,0.5958333333333333,0.85
3.55,0.0,herding_enabled,20,existing_with_ml_shadow,0.5958333333333333,0.85
3.55,0.0,herding_enabled,20,high_confidence_shadow,0.5958333333333333,0.85
3.6,1.0,herding_enabled,20,ml_first_kill_only,0.6291666666666667,0.85
3.75,2.0,herding_enabled,20,ml_first_two_kills,0.645,0.7
3.55,1.0,herding_enabled,20,ml_single_random_kill,0.5833333333333333,0.75
3.55,0.1,herding_enabled,20,selective_ml_override,0.5958333333333333,0.85
3.45,3.45,heterogeneous_risk_preference,20,continuous_frozen_ml,0.6125,0.5
3.4,0.0,heterogeneous_risk_preference,20,existing_rule,0.6666666666666666,0.7
3.4,0.0,heterogeneous_risk_preference,20,existing_with_ml_shadow,0.6666666666666666,0.7
3.4,0.0,heterogeneous_risk_preference,20,high_confidence_shadow,0.6666666666666666,0.7
3.4,1.0,heterogeneous_risk_preference,20,ml_first_kill_only,0.6125,0.8
3.5,2.0,heterogeneous_risk_preference,20,ml_first_two_kills,0.6208333333333333,0.5
3.3,1.0,heterogeneous_risk_preference,20,ml_single_random_kill,0.5833333333333333,0.55
3.3,0.1,heterogeneous_risk_preference,20,selective_ml_override,0.6291666666666667,0.7
3.4,3.4,mixed_seer_strategy,20,continuous_frozen_ml,0.5533333333333333,0.65
3.5,0.0,mixed_seer_strategy,20,existing_rule,0.5875,0.6
3.5,0.0,mixed_seer_strategy,20,existing_with_ml_shadow,0.5875,0.6
3.5,0.0,mixed_seer_strategy,20,high_confidence_shadow,0.5875,0.6
3.4,1.0,mixed_seer_strategy,20,ml_first_kill_only,0.575,0.65
3.3,2.0,mixed_seer_strategy,20,ml_first_two_kills,0.5625,0.65
3.3,1.0,mixed_seer_strategy,20,ml_single_random_kill,0.5833333333333333,0.65
3.5,0.15,mixed_seer_strategy,20,selective_ml_override,0.5875,0.6
3.0,3.0,mixed_voting_strategy,20,continuous_frozen_ml,0.5166666666666667,0.85
3.15,0.0,mixed_voting_strategy,20,existing_rule,0.5666666666666667,0.8
3.15,0.0,mixed_voting_strategy,20,existing_with_ml_shadow,0.5666666666666667,0.8
3.15,0.0,mixed_voting_strategy,20,high_confidence_shadow,0.5666666666666667,0.8
3.25,1.0,mixed_voting_strategy,20,ml_first_kill_only,0.6041666666666667,0.85
3.05,2.0,mixed_voting_strategy,20,ml_first_two_kills,0.5208333333333333,0.8
3.25,0.95,mixed_voting_strategy,20,ml_single_random_kill,0.5416666666666667,0.85
3.15,0.1,mixed_voting_strategy,20,selective_ml_override,0.5666666666666667,0.8
3.35,3.35,mixed_wolf_deception_strategy,20,continuous_frozen_ml,0.5691666666666666,0.75
3.35,0.0,mixed_wolf_deception_strategy,20,existing_rule,0.5666666666666667,0.65
3.35,0.0,mixed_wolf_deception_strategy,20,existing_with_ml_shadow,0.5666666666666667,0.65
3.35,0.0,mixed_wolf_deception_strategy,20,high_confidence_shadow,0.5666666666666667,0.65
3.4,1.0,mixed_wolf_deception_strategy,20,ml_first_kill_only,0.5791666666666667,0.7
3.4,2.0,mixed_wolf_deception_strategy,20,ml_first_two_kills,0.575,0.7
3.3,0.95,mixed_wolf_deception_strategy,20,ml_single_random_kill,0.5608333333333333,0.75
3.3,0.25,mixed_wolf_deception_strategy,20,selective_ml_override,0.5791666666666667,0.6
3.25,3.25,speech_disabled,20,continuous_frozen_ml,0.3583333333333333,0.55
3.45,0.0,speech_disabled,20,existing_rule,0.45,0.7
3.45,0.0,speech_disabled,20,existing_with_ml_shadow,0.45,0.7
3.45,0.0,speech_disabled,20,high_confidence_shadow,0.45,0.7
3.35,1.0,speech_disabled,20,ml_first_kill_only,0.4125,0.7
