avg_rounds,avg_total_ml_interventions,games,policy_name,seed,strong_shift_decision_rate,wolf_win_rate
3.2,3.2,10,continuous_frozen_ml,220,0.4416666666666666,0.6
3.4,0.0,10,existing_rule,220,0.5833333333333333,0.7
3.4,0.0,10,existing_with_ml_shadow,220,0.5833333333333333,0.7
3.4,0.0,10,high_confidence_shadow,220,0.5833333333333333,0.7
3.3,1.0,10,ml_first_kill_only,220,0.5916666666666666,0.7
3.2,2.0,10,ml_first_two_kills,220,0.4416666666666666,0.4
3.4,1.0,10,ml_single_random_kill,220,0.55,0.5
3.4,0.3,10,selective_ml_override,220,0.5833333333333333,0.7
3.5,3.5,10,continuous_frozen_ml,221,0.575,0.5
3.2,0.0,10,existing_rule,221,0.5583333333333333,0.8
3.2,0.0,10,existing_with_ml_shadow,221,0.5583333333333333,0.8
3.2,0.0,10,high_confidence_shadow,221,0.5583333333333333,0.8
3.7,1.0,10,ml_first_kill_only,221,0.58,0.8
3.7,2.0,10,ml_first_two_kills,221,0.5916666666666667,0.8
3.6,1.0,10,ml_single_random_kill,221,0.5383333333333333,0.8
3.6,0.5,10,selective_ml_override,221,0.5966666666666667,0.8
3.5,3.5,10,continuous_frozen_ml,222,0.4833333333333333,0.6
3.4,0.0,10,existing_rule,222,0.4916666666666667,0.6
3.4,0.0,10,existing_with_ml_shadow,222,0.4916666666666667,0.6
3.4,0.0,10,high_confidence_shadow,222,0.4916666666666667,0.6
3.6,1.0,10,ml_first_kill_only,222,0.6,0.5
3.5,2.0,10,ml_first_two_kills,222,0.475,0.6
3.3,0.9,10,ml_single_random_kill,222,0.5083333333333333,0.4
3.4,0.1,10,selective_ml_override,222,0.4916666666666667,0.6
2.9,2.9,10,continuous_frozen_ml,223,0.45,0.6
3.4,0.0,10,existing_rule,223,0.5583333333333333,0.8
3.4,0.0,10,existing_with_ml_shadow,223,0.5583333333333333,0.8
3.4,0.0,10,high_confidence_shadow,223,0.5583333333333333,0.8
3.1,1.0,10,ml_first_kill_only,223,0.475,0.8
3.0,2.0,10,ml_first_two_kills,223,0.4583333333333333,0.7
3.2,1.0,10,ml_single_random_kill,223,0.5416666666666666,0.6
3.2,0.4,10,selective_ml_override,223,0.4833333333333333,0.8
3.5,3.5,10,continuous_frozen_ml,224,0.55,0.6
3.6,0.0,10,existing_rule,224,0.6,0.8
3.6,0.0,10,existing_with_ml_shadow,224,0.6,0.8
3.6,0.0,10,high_confidence_shadow,224,0.6,0.8
3.5,1.0,10,ml_first_kill_only,224,0.6166666666666666,0.7
3.5,2.0,10,ml_first_two_kills,224,0.55,0.8
3.5,1.0,10,ml_single_random_kill,224,0.6166666666666666,0.7
3.5,0.2,10,selective_ml_override,224,0.5916666666666667,0.7
3.1,3.1,10,continuous_frozen_ml,225,0.5916666666666667,0.5
2.9,0.0,10,existing_rule,225,0.5416666666666666,0.5
2.9,0.0,10,existing_with_ml_shadow,225,0.5416666666666666,0.5
2.9,0.0,10,high_confidence_shadow,225,0.5416666666666666,0.5
3.0,1.0,10,ml_first_kill_only,225,0.5583333333333333,0.6
3.1,2.0,10,ml_first_two_kills,225,0.5916666666666667,0.5
3.0,1.0,10,ml_single_random_kill,225,0.55,0.3
2.9,0.1,10,selective_ml_override,225,0.5416666666666666,0.5
3.4,3.4,10,continuous_frozen_ml,226,0.5833333333333333,0.6
3.8,0.0,10,existing_rule,226,0.6583333333333333,0.7
3.8,0.0,10,existing_with_ml_shadow,226,0.6583333333333333,0.7
3.8,0.0,10,high_confidence_shadow,226,0.6583333333333333,0.7
3.7,1.0,10,ml_first_kill_only,226,0.6166666666666667,0.7
3.5,2.0,10,ml_first_two_kills,226,0.6,0.5
3.8,1.0,10,ml_single_random_kill,226,0.6583333333333333,0.8
3.8,0.2,10,selective_ml_override,226,0.6583333333333333,0.7
3.4,3.4,10,continuous_frozen_ml,227,0.4583333333333333,0.8
3.4,0.0,10,existing_rule,227,0.6666666666666666,0.7
3.4,0.0,10,existing_with_ml_shadow,227,0.6666666666666666,0.7
3.4,0.0,10,high_confidence_shadow,227,0.6666666666666666,0.7
3.5,1.0,10,ml_first_kill_only,227,0.5916666666666667,0.8
3.5,2.0,10,ml_first_two_kills,227,0.525,0.8
3.2,1.0,10,ml_single_random_kill,227,0.6083333333333333,0.7
3.4,0.1,10,selective_ml_override,227,0.6666666666666666,0.7
3.1,3.1,10,continuous_frozen_ml,228,0.5,0.8
3.1,0.0,10,existing_rule,228,0.4833333333333333,1.0
3.1,0.0,10,existing_with_ml_shadow,228,0.4833333333333333,1.0
3.1,0.0,10,high_confidence_shadow,228,0.4833333333333333,1.0
3.3,1.0,10,ml_first_kill_only,228,0.5416666666666666,0.9
3.1,2.0,10,ml_first_two_kills,228,0.5,0.8
3.1,1.0,10,ml_single_random_kill,228,0.4916666666666666,0.9
3.1,0.1,10,selective_ml_override,228,0.5166666666666666,1.0
3.2,3.2,10,continuous_frozen_ml,229,0.6133333333333333,0.4
3.6,0.0,10,existing_rule,229,0.6833333333333333,0.5
3.6,0.0,10,existing_with_ml_shadow,229,0.6833333333333333,0.5
3.6,0.0,10,high_confidence_shadow,229,0.6833333333333333,0.5
3.5,1.0,10,ml_first_kill_only,229,0.675,0.5
3.4,2.0,10,ml_first_two_kills,229,0.63,0.5
3.5,1.0,10,ml_single_random_kill,229,0.6416666666666666,0.5
3.6,0.1,10,selective_ml_override,229,0.6833333333333333,0.5
3.4,3.4,10,continuous_frozen_ml,230,0.6083333333333333,0.5
3.3,0.0,10,existing_rule,230,0.5333333333333333,0.5
3.3,0.0,10,existing_with_ml_shadow,230,0.5333333333333333,0.5
3.3,0.0,10,high_confidence_shadow,230,0.5333333333333333,0.5
3.3,1.0,10,ml_first_kill_only,230,0.5333333333333333,0.5
3.3,2.0,10,ml_first_two_kills,230,0.6,0.5
3.0,0.9,10,ml_single_random_kill,230,0.5,0.6
3.3,0.2,10,selective_ml_override,230,0.5333333333333333,0.5
3.5,3.5,10,continuous_frozen_ml,231,0.5633333333333332,0.8
3.4,0.0,10,existing_rule,231,0.5166666666666667,0.9
3.4,0.0,10,existing_with_ml_shadow,231,0.5166666666666667,0.9
3.4,0.0,10,high_confidence_shadow,231,0.5166666666666667,0.9
3.4,1.0,10,ml_first_kill_only,231,0.5416666666666667,0.9
3.4,2.0,10,ml_first_two_kills,231,0.5583333333333333,0.6
3.2,0.9,10,ml_single_random_kill,231,0.475,0.8
3.4,0.2,10,selective_ml_override,231,0.5166666666666667,0.9
3.4,3.4,10,continuous_frozen_ml,232,0.45166666666666666,0.8
3.1,0.0,10,existing_rule,232,0.5166666666666666,0.9
3.1,0.0,10,existing_with_ml_shadow,232,0.5166666666666666,0.9
3.1,0.0,10,high_confidence_shadow,232,0.5166666666666666,0.9
3.1,1.0,10,ml_first_kill_only,232,0.45,0.8
3.5,2.0,10,ml_first_two_kills,232,0.39166666666666666,0.6
3.3,1.0,10,ml_single_random_kill,232,0.4333333333333333,0.8
3.1,0.2,10,selective_ml_override,232,0.5166666666666666,0.9
3.5,3.5,10,continuous_frozen_ml,233,0.5716666666666667,0.8
3.8,0.0,10,existing_rule,233,0.6,0.6
3.8,0.0,10,existing_with_ml_shadow,233,0.6,0.6
3.8,0.0,10,high_confidence_shadow,233,0.6,0.6
3.6,1.0,10,ml_first_kill_only,233,0.5416666666666667,0.7
3.3,2.0,10,ml_first_two_kills,233,0.5583333333333333,0.7
3.5,1.0,10,ml_single_random_kill,233,0.5133333333333333,0.8
3.8,0.2,10,selective_ml_override,233,0.6,0.6
3.7,3.7,10,continuous_frozen_ml,234,0.6333333333333333,0.8
3.5,0.0,10,existing_rule,234,0.675,0.7
3.5,0.0,10,existing_with_ml_shadow,234,0.675,0.7
3.5,0.0,10,high_confidence_shadow,234,0.675,0.7
3.5,1.0,10,ml_first_kill_only,234,0.675,0.7
3.8,2.0,10,ml_first_two_kills,234,0.65,0.8
3.6,0.9,10,ml_single_random_kill,234,0.6833333333333333,0.7
3.5,0.1,10,selective_ml_override,234,0.675,0.7
3.2,3.2,10,continuous_frozen_ml,235,0.5766666666666667,0.6
3.2,0.0,10,existing_rule,235,0.4666666666666666,0.5
3.2,0.0,10,existing_with_ml_shadow,235,0.4666666666666666,0.5
3.2,0.0,10,high_confidence_shadow,235,0.4666666666666666,0.5
3.4,1.0,10,ml_first_kill_only,235,0.4916666666666667,0.6
3.1,2.0,10,ml_first_two_kills,235,0.5333333333333333,0.5
3.3,0.9,10,ml_single_random_kill,235,0.475,0.6
3.3,0.1,10,selective_ml_override,235,0.475,0.5
3.0,3.0,10,continuous_frozen_ml,236,0.39166666666666666,0.3
3.3,0.0,10,existing_rule,236,0.625,0.5
3.3,0.0,10,existing_with_ml_shadow,236,0.625,0.5
3.3,0.0,10,high_confidence_shadow,236,0.625,0.5
3.3,1.0,10,ml_first_kill_only,236,0.5916666666666667,0.6
