alive_villagers,alive_wolves,behavioral_regime_id,branch_policy,continuation_policy_id,distribution_shift_category,forced_candidate_player_id,forced_candidate_role,forced_candidate_uid,hunter_retaliation_occurred,ml_advantage_over_existing,rollout_index,rollout_seed,round,seed,source_decision_id,source_game_id,target_is_special,target_role,top_two_predicted_value_margin,total_rounds,village_win,winner,witch_save_occurred,wolf_team_win,wolf_win
2,2,mixed_seer_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,9,,9,1,0.0,0,2448886234,2,229,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,seer,0.0197150463954594,3,0,wolf,1,1,1
2,2,mixed_seer_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,9,,9,1,0.0,1,624082366,2,229,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,seer,0.0197150463954594,3,0,wolf,1,1,1
1,1,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,4,,4,1,0.0,0,4186799150,2,229,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,0,villager,0.0197150463954594,4,0,wolf,1,1,1
2,2,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,4,,4,1,0.0,1,4045055827,2,229,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,0,villager,0.0197150463954594,3,0,wolf,1,1,1
2,2,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,0,0.0,0,3767166786,3,228,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,witch,0.006942914159204838,4,0,wolf,1,1,1
2,2,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,0,0.0,1,2774693875,3,228,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,witch,0.006942914159204838,4,0,wolf,1,1,1
3,0,heterogeneous_risk_preference,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,0,2027910048,3,228,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,0,villager,0.006942914159204838,3,1,village,1,0,0
1,1,heterogeneous_risk_preference,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,1,2802532748,3,228,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_228_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,0,villager,0.006942914159204838,4,0,wolf,1,1,1
1,1,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,6,,6,1,0.0,0,2017899467,1,220,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,seer,0.01072202317880988,4,0,wolf,0,1,1
3,3,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,6,,6,1,0.0,1,1398621070,1,220,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_220_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,seer,0.01072202317880988,2,0,wolf,0,1,1
