module,role,policy,mean_actor_payoff,village_win_rate,wolf_win_rate,holm_adjusted_actor_payoff_p,bootstrap_selection_frequency,evidence_grade,post_selection_risk,confirmatory_status
hunter,Hunter,reference,-0.4138,0.305,0.695,,0.849200,B,low,confirmatory_supported_reference_retention
hunter,Hunter,random_shot,-0.5746,0.251,0.749,0.24275724275724275,0.000000,insufficient_or_not_selected,low,descriptive_or_secondary
hunter,Hunter,no_shot,-0.5586,0.217,0.783,0.004995004995004995,0.000000,rejected,low,descriptive_or_secondary
hunter,Hunter,highest_suspicion,-0.4138,0.305,0.695,1.0,0.849200,exploratory_candidate,low,descriptive_or_secondary
hunter,Hunter,highest_p_wolf,-0.4388,0.303,0.697,1.0,0.152200,insufficient_or_not_selected,low,descriptive_or_secondary
hunter,Hunter,conservative_threshold,-0.5513000000000001,0.222,0.778,0.007992007992007992,0.000000,rejected,low,descriptive_or_secondary
seer,Seer,private_only,-0.2353,0.301,0.699,,0.000000,B,high,descriptive_best_only
seer,Seer,immediate_reveal,-0.15905000000000002,0.337,0.663,1.0,0.997200,exploratory_candidate,high,descriptive_or_secondary
seer,Seer,reveal_first_wolf,-0.2155,0.31,0.69,1.0,0.000200,insufficient_or_not_selected,high,descriptive_or_secondary
seer,Seer,delayed_round_2,-0.21055000000000001,0.313,0.687,1.0,0.002600,insufficient_or_not_selected,high,descriptive_or_secondary
seer,Seer,under_threat,-0.23095000000000002,0.303,0.697,1.0,0.000000,insufficient_or_not_selected,high,descriptive_or_secondary
seer,Seer,selective_useful_info,-0.21755000000000002,0.309,0.691,1.0,0.000000,insufficient_or_not_selected,high,descriptive_or_secondary
witch,Witch,reference,-0.16845000000000002,0.301,0.699,,0.000000,B,high,promising_but_not_confirmatory
witch,Witch,aggressive_full,-0.03725000000000001,0.352,0.648,0.056943056943056944,0.999200,exploratory_candidate,high,descriptive_or_secondary
witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,0.318,0.682,1.0,0.000200,insufficient_or_not_selected,high,descriptive_or_secondary
witch,Witch,save_conservative_poison_aggressive,-0.31185,0.274,0.726,0.027972027972027972,0.000000,rejected,high,descriptive_or_secondary
witch,Witch,conservative_full,-0.49405,0.201,0.799,0.004995004995004995,0.000000,rejected,high,descriptive_or_secondary
witch,Witch,risk_balanced,-0.17890000000000003,0.311,0.689,1.0,0.000600,insufficient_or_not_selected,high,descriptive_or_secondary
wolf,Werewolf,reference,0.6969166666666666,0.292,0.708,,0.992600,B,low,confirmatory_supported_reference_retention
wolf,Werewolf,aggressive_false_accuse,0.5939,0.34,0.66,0.2127872127872128,0.000000,insufficient_or_not_selected,low,descriptive_or_secondary
wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.333,0.667,0.2127872127872128,0.001400,insufficient_or_not_selected,low,descriptive_or_secondary
wolf,Werewolf,threat_adaptive,0.6969166666666666,0.292,0.708,1.0,0.992600,exploratory_candidate,low,descriptive_or_secondary
wolf,Werewolf,deep_cover,0.08306666666666662,0.594,0.406,0.004995004995004995,0.000000,rejected,low,descriptive_or_secondary
wolf,Werewolf,minimal_deception,0.5951,0.346,0.654,0.059940059940059943,0.006000,insufficient_or_not_selected,low,descriptive_or_secondary
villager,Villager,reference,-0.3384875,0.291,0.709,,0.000000,insufficient_or_not_selected,moderate,descriptive_or_secondary
villager,Villager,random_vote,-0.47273750000000003,0.23,0.77,0.007992007992007992,0.000000,rejected,moderate,descriptive_or_secondary
villager,Villager,suspicion_only,-0.3308375,0.293,0.707,0.8651348651348651,0.000000,insufficient_or_not_selected,moderate,descriptive_or_secondary
villager,Villager,p_wolf_only,-0.446325,0.24,0.76,0.09890109890109891,0.000000,insufficient_or_not_selected,moderate,descriptive_or_secondary
villager,Villager,trust_weighted,-0.09395000000000003,0.402,0.598,0.004995004995004995,1.000000,A,moderate,confirmatory_supported
villager,Villager,guarded_herding,-0.24430000000000004,0.334,0.666,0.17182817182817184,0.000000,insufficient_or_not_selected,moderate,descriptive_or_secondary
