stage,manifest_type,repository_path,commit,raw_file_sha256,canonical_content_sha256,file_size,line_count,serialization_method,expected_historical_hash,matches_historical_hash,changed_from_original,explanation,final_authoritative_hash
r4_original,r4_payoff_manifest,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,896fc4c2335afd3233f017f223128be2f50f65a9,90d1a087b52368dfd30de41b53b81330ba343bc5956f848b44bb68895e56c577,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,25726,654,"json.dumps(payload_without_manifest_hash, sort_keys=True)",eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd
r4_original,r5_metric_manifest,results/financial_risk_stage_r5/r5_metric_definition_manifest.json,896fc4c2335afd3233f017f223128be2f50f65a9,absent,absent,0,0,"json.dumps(payload_without_metric_manifest_hash, sort_keys=True, separators=(',', ':'))",4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,not_applicable_absent_at_this_commit,not_applicable_absent_at_this_commit,Manifest did not exist at this commit.,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf
r5_original,r4_payoff_manifest,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,8390ce1e255c8ba7a2b23f39ca1171d203821316,90d1a087b52368dfd30de41b53b81330ba343bc5956f848b44bb68895e56c577,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,25726,654,"json.dumps(payload_without_manifest_hash, sort_keys=True)",eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd
r5_original,r5_metric_manifest,results/financial_risk_stage_r5/r5_metric_definition_manifest.json,8390ce1e255c8ba7a2b23f39ca1171d203821316,092f17ebf0d09806c7ceecc3ae2968f571f887b1db3ba53d5d29d5120f2f8ec9,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,4733,127,"json.dumps(payload_without_metric_manifest_hash, sort_keys=True, separators=(',', ':'))",4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf
r62,r4_payoff_manifest,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,f687d70,90d1a087b52368dfd30de41b53b81330ba343bc5956f848b44bb68895e56c577,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,25726,654,"json.dumps(payload_without_manifest_hash, sort_keys=True)",eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd
r62,r5_metric_manifest,results/financial_risk_stage_r5/r5_metric_definition_manifest.json,f687d70,092f17ebf0d09806c7ceecc3ae2968f571f887b1db3ba53d5d29d5120f2f8ec9,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,4733,127,"json.dumps(payload_without_metric_manifest_hash, sort_keys=True, separators=(',', ':'))",4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf
r71,r4_payoff_manifest,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,80e5f94,90d1a087b52368dfd30de41b53b81330ba343bc5956f848b44bb68895e56c577,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,25726,654,"json.dumps(payload_without_manifest_hash, sort_keys=True)",eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd
r71,r5_metric_manifest,results/financial_risk_stage_r5/r5_metric_definition_manifest.json,80e5f94,092f17ebf0d09806c7ceecc3ae2968f571f887b1db3ba53d5d29d5120f2f8ec9,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,4733,127,"json.dumps(payload_without_metric_manifest_hash, sort_keys=True, separators=(',', ':'))",4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf
r8,r4_payoff_manifest,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,71fc337,90d1a087b52368dfd30de41b53b81330ba343bc5956f848b44bb68895e56c577,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,25726,654,"json.dumps(payload_without_manifest_hash, sort_keys=True)",eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd
r8,r5_metric_manifest,results/financial_risk_stage_r5/r5_metric_definition_manifest.json,71fc337,092f17ebf0d09806c7ceecc3ae2968f571f887b1db3ba53d5d29d5120f2f8ec9,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,4733,127,"json.dumps(payload_without_metric_manifest_hash, sort_keys=True, separators=(',', ':'))",4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,True,False,Raw file hash differs from embedded historical self-hash because the raw file includes the self-hash field and JSON formatting. Canonical content hash reproduces the historical authoritative hash.,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf
