scenario_id,scenario_name,role,policy,adjusted_mean_actor_payoff,rank,scenario_winner
PS_01,baseline_r61_payoff,Hunter,highest_suspicion,-0.41380000,1,True
PS_01,baseline_r61_payoff,Hunter,reference,-0.41380000,2,False
PS_01,baseline_r61_payoff,Hunter,highest_p_wolf,-0.43880000,3,False
PS_01,baseline_r61_payoff,Hunter,conservative_threshold,-0.55130000,4,False
PS_01,baseline_r61_payoff,Hunter,no_shot,-0.55860000,5,False
PS_01,baseline_r61_payoff,Hunter,random_shot,-0.57460000,6,False
PS_01,baseline_r61_payoff,Seer,immediate_reveal,-0.15905000,1,True
PS_01,baseline_r61_payoff,Seer,delayed_round_2,-0.21055000,2,False
PS_01,baseline_r61_payoff,Seer,reveal_first_wolf,-0.21550000,3,False
PS_01,baseline_r61_payoff,Seer,selective_useful_info,-0.21755000,4,False
PS_01,baseline_r61_payoff,Seer,under_threat,-0.23095000,5,False
PS_01,baseline_r61_payoff,Seer,private_only,-0.23530000,6,False
PS_01,baseline_r61_payoff,Witch,aggressive_full,-0.03725000,1,True
PS_01,baseline_r61_payoff,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_01,baseline_r61_payoff,Witch,reference,-0.16845000,3,False
PS_01,baseline_r61_payoff,Witch,risk_balanced,-0.17890000,4,False
PS_01,baseline_r61_payoff,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_01,baseline_r61_payoff,Witch,conservative_full,-0.49405000,6,False
PS_01,baseline_r61_payoff,Werewolf,reference,0.69691667,1,True
PS_01,baseline_r61_payoff,Werewolf,threat_adaptive,0.69691667,2,False
PS_01,baseline_r61_payoff,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_01,baseline_r61_payoff,Werewolf,minimal_deception,0.59510000,4,False
PS_01,baseline_r61_payoff,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_01,baseline_r61_payoff,Werewolf,deep_cover,0.08306667,6,False
PS_01,baseline_r61_payoff,Villager,trust_weighted,-0.09395000,1,True
PS_01,baseline_r61_payoff,Villager,guarded_herding,-0.24430000,2,False
PS_01,baseline_r61_payoff,Villager,suspicion_only,-0.33083750,3,False
PS_01,baseline_r61_payoff,Villager,reference,-0.33848750,4,False
PS_01,baseline_r61_payoff,Villager,p_wolf_only,-0.44632500,5,False
PS_01,baseline_r61_payoff,Villager,random_vote,-0.47273750,6,False
PS_02,core_like_terminal_075,Hunter,highest_suspicion,-0.45518000,1,True
PS_02,core_like_terminal_075,Hunter,reference,-0.45518000,2,False
