module,role,policy,bootstrap_replicates,selected_best_count,selection_frequency,observed_mean_actor_payoff,observed_best_policy,post_selection_risk
hunter,Hunter,reference,5000,4246,0.849200,-0.41380000,reference,low
hunter,Hunter,random_shot,5000,0,0.000000,-0.57460000,reference,high
hunter,Hunter,no_shot,5000,0,0.000000,-0.55860000,reference,high
hunter,Hunter,highest_suspicion,5000,4246,0.849200,-0.41380000,reference,low
hunter,Hunter,highest_p_wolf,5000,761,0.152200,-0.43880000,reference,high
hunter,Hunter,conservative_threshold,5000,0,0.000000,-0.55130000,reference,high
seer,Seer,private_only,5000,0,0.000000,-0.23530000,immediate_reveal,high
seer,Seer,immediate_reveal,5000,4986,0.997200,-0.15905000,immediate_reveal,low
seer,Seer,reveal_first_wolf,5000,1,0.000200,-0.21550000,immediate_reveal,high
seer,Seer,delayed_round_2,5000,13,0.002600,-0.21055000,immediate_reveal,high
seer,Seer,under_threat,5000,0,0.000000,-0.23095000,immediate_reveal,high
seer,Seer,selective_useful_info,5000,0,0.000000,-0.21755000,immediate_reveal,high
witch,Witch,reference,5000,0,0.000000,-0.16845000,aggressive_full,high
witch,Witch,aggressive_full,5000,4996,0.999200,-0.03725000,aggressive_full,low
witch,Witch,save_aggressive_poison_conservative,5000,1,0.000200,-0.16180000,aggressive_full,high
witch,Witch,save_conservative_poison_aggressive,5000,0,0.000000,-0.31185000,aggressive_full,high
witch,Witch,conservative_full,5000,0,0.000000,-0.49405000,aggressive_full,high
witch,Witch,risk_balanced,5000,3,0.000600,-0.17890000,aggressive_full,high
wolf,Werewolf,reference,5000,4963,0.992600,0.69691667,threat_adaptive,low
wolf,Werewolf,aggressive_false_accuse,5000,0,0.000000,0.59390000,threat_adaptive,high
wolf,Werewolf,aggressive_kill_restrained_deception,5000,7,0.001400,0.60625000,threat_adaptive,high
wolf,Werewolf,threat_adaptive,5000,4963,0.992600,0.69691667,threat_adaptive,low
wolf,Werewolf,deep_cover,5000,0,0.000000,0.08306667,threat_adaptive,high
wolf,Werewolf,minimal_deception,5000,30,0.006000,0.59510000,threat_adaptive,high
villager,Villager,reference,5000,0,0.000000,-0.33848750,trust_weighted,high
villager,Villager,random_vote,5000,0,0.000000,-0.47273750,trust_weighted,high
villager,Villager,suspicion_only,5000,0,0.000000,-0.33083750,trust_weighted,high
villager,Villager,p_wolf_only,5000,0,0.000000,-0.44632500,trust_weighted,high
villager,Villager,trust_weighted,5000,5000,1.000000,-0.09395000,trust_weighted,low
villager,Villager,guarded_herding,5000,0,0.000000,-0.24430000,trust_weighted,high
