matched_set_id,seed,base_game_index,strategy,reference_label_condition,comparison_label_condition,reference_game_id,comparison_game_id,reference_winner,comparison_winner,outcome_agreement,physical_first_target_matches_reference,physical_check_sequence_matches_reference_until_divergence,physical_final_alive_set_matches,first_divergence_round,first_divergence_phase,first_divergence_event_type
alternate_physical_sides_seed_42_base_1,42,1,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_1_normal,alternate_physical_sides_seed_42_base_1_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_1,42,1,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_1_normal,alternate_physical_sides_seed_42_base_1_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_10,42,10,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_10_normal,alternate_physical_sides_seed_42_base_10_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_10,42,10,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_10_normal,alternate_physical_sides_seed_42_base_10_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_100,42,100,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_100_normal,alternate_physical_sides_seed_42_base_100_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_100,42,100,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_100_normal,alternate_physical_sides_seed_42_base_100_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_101,42,101,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_101_normal,alternate_physical_sides_seed_42_base_101_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_101,42,101,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_101_normal,alternate_physical_sides_seed_42_base_101_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_102,42,102,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_102_normal,alternate_physical_sides_seed_42_base_102_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_102,42,102,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_102_normal,alternate_physical_sides_seed_42_base_102_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_103,42,103,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_103_normal,alternate_physical_sides_seed_42_base_103_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_103,42,103,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_103_normal,alternate_physical_sides_seed_42_base_103_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_104,42,104,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_104_normal,alternate_physical_sides_seed_42_base_104_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_104,42,104,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_104_normal,alternate_physical_sides_seed_42_base_104_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_105,42,105,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_105_normal,alternate_physical_sides_seed_42_base_105_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_105,42,105,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_105_normal,alternate_physical_sides_seed_42_base_105_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_106,42,106,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_106_normal,alternate_physical_sides_seed_42_base_106_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_106,42,106,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_106_normal,alternate_physical_sides_seed_42_base_106_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_107,42,107,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_107_normal,alternate_physical_sides_seed_42_base_107_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_107,42,107,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_107_normal,alternate_physical_sides_seed_42_base_107_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_108,42,108,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_108_normal,alternate_physical_sides_seed_42_base_108_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_108,42,108,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_108_normal,alternate_physical_sides_seed_42_base_108_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_109,42,109,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_109_normal,alternate_physical_sides_seed_42_base_109_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_109,42,109,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_109_normal,alternate_physical_sides_seed_42_base_109_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_11,42,11,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_11_normal,alternate_physical_sides_seed_42_base_11_mirrored,wolf,wolf,1,1,1,1,,none,none
