strategy,label_condition,num_games,wolf_win_rate,village_win_rate,avg_rounds,first_check_wolf_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,seer_survival_rate,avg_total_seer_checks,avg_checks_until_first_wolf,no_wolf_found_rate,mean_wolves_found_per_game,mean_search_path_coverage_score,random_neutral_physical_target_agreement_rate,paired_outcome_agreement_rate,physical_final_alive_set_match_rate,edge_has_wolf_rate,avg_wolves_on_edge,avg_wolves_on_inner,avg_wolves_left_side,avg_wolves_right_side,seer_on_edge_rate,seer_left_side_rate
alternate_physical_sides,mirrored,2500,0.5748,0.4252,3.396,0.328,0.55,0.6432,0.3084,2.5988,1.7239520958083832,0.332,0.932,0.28875555555555554,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
alternate_physical_sides,normal,2500,0.5748,0.4252,3.396,0.328,0.55,0.6432,0.3084,2.5988,1.7239520958083832,0.332,0.932,0.28875555555555554,,,,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
alternate_physical_sides,rotated,2500,0.5748,0.4252,3.396,0.328,0.55,0.6432,0.3084,2.5988,1.7239520958083832,0.332,0.932,0.28875555555555554,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_clockwise,mirrored,2500,0.5676,0.4324,3.4032,0.328,0.5544,0.6408,0.2968,2.5956,1.718993409227082,0.3324,0.9348,0.2884,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_clockwise,normal,2500,0.5676,0.4324,3.4032,0.328,0.5544,0.6408,0.2968,2.5956,1.718993409227082,0.3324,0.9348,0.2884,,,,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_clockwise,rotated,2500,0.5676,0.4324,3.4032,0.328,0.5544,0.6408,0.2968,2.5956,1.718993409227082,0.3324,0.9348,0.2884,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_counterclockwise,mirrored,2500,0.5928,0.4072,3.3968,0.3372,0.5572,0.638,0.3048,2.5972,1.6765776699029127,0.3408,0.9292,0.28857777777777777,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_counterclockwise,normal,2500,0.5928,0.4072,3.3968,0.3372,0.5572,0.638,0.3048,2.5972,1.6765776699029127,0.3408,0.9292,0.28857777777777777,,,,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
physical_counterclockwise,rotated,2500,0.5928,0.4072,3.3968,0.3372,0.5572,0.638,0.3048,2.5972,1.6765776699029127,0.3408,0.9292,0.28857777777777777,,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
random_neutral,mirrored,2500,0.598,0.402,3.4188,0.3504,0.5556,0.6356,0.306,2.61,1.6741098370549186,0.3372,0.9352,0.29,1.0,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
random_neutral,normal,2500,0.598,0.402,3.4188,0.3504,0.5556,0.6356,0.306,2.61,1.6741098370549186,0.3372,0.9352,0.29,,,,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
random_neutral,rotated,2500,0.598,0.402,3.4188,0.3504,0.5556,0.6356,0.306,2.61,1.6741098370549186,0.3372,0.9352,0.29,1.0,1.0,1.0,0.8448,1.2144,1.7856,1.5024,1.4976,0.3896,0.5064
