strategy,orientation,num_games,wolf_win_rate,village_win_rate,avg_rounds,first_check_wolf_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,seer_survival_rate,avg_total_seer_checks,avg_checks_until_first_wolf,no_wolf_found_rate,mean_first_target_physical_distance,mean_first_target_displayed_order_rank,edge_has_wolf_rate,avg_wolves_on_edge,avg_wolves_on_inner,avg_wolves_left_side,avg_wolves_right_side,seer_on_edge_rate,seer_left_side_rate
alternate_sides,mirrored,2500,0.5672,0.4328,3.4264,0.3432,0.5572,0.6496,0.3228,2.6324,1.6989311163895486,0.3264,1.7856,1.0,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
alternate_sides,normal,2500,0.5624,0.4376,3.4376,0.3284,0.5416,0.6424,0.3052,2.6476,1.7627218934911242,0.324,1.7856,1.0,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
farthest_first,mirrored,2500,0.5572,0.4428,3.4192,0.3344,0.5472,0.6392,0.3168,2.6316,1.714972940469032,0.3348,5.0,1.0,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
farthest_first,normal,2500,0.578,0.422,3.4188,0.3344,0.5612,0.6452,0.3004,2.6484,1.6953919808497906,0.3316,5.0,1.0,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
left_to_right,mirrored,2500,0.5772,0.4228,3.4336,0.332,0.5528,0.6452,0.3084,2.63,1.7142857142857142,0.3308,2.6124,1.0,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
left_to_right,normal,2500,0.5752,0.4248,3.4168,0.34,0.5588,0.6456,0.3304,2.65,1.7010125074449076,0.3284,2.6036,1.0,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
nearest_first,mirrored,2500,0.588,0.412,3.4068,0.3332,0.5528,0.6456,0.3172,2.6188,1.711297071129707,0.3308,1.0,1.0,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
nearest_first,normal,2500,0.5784,0.4216,3.4,0.3256,0.5512,0.6428,0.3144,2.612,1.7210557888422315,0.3332,1.0,1.0,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
random,mirrored,2500,0.5716,0.4284,3.414,0.328,0.5388,0.6344,0.302,2.6164,1.721142162818955,0.3416,2.7576,5.0116,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
random,normal,2500,0.5792,0.4208,3.4128,0.344,0.5612,0.6548,0.3248,2.6344,1.7018267530936948,0.3212,2.7832,5.0116,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
right_to_left,mirrored,2500,0.5628,0.4372,3.4412,0.34,0.5524,0.646,0.3216,2.6472,1.728883638511518,0.3228,2.6036,1.0,0.8232,1.19,1.81,1.5052,1.4948,0.4136,0.4992
right_to_left,normal,2500,0.5668,0.4332,3.4232,0.332,0.5572,0.652,0.296,2.5988,1.7308598351001179,0.3208,2.6124,1.0,0.8232,1.19,1.81,1.4948,1.5052,0.4136,0.5008
