strategy,seed,num_games,wolf_win_rate,village_win_rate,draw_rate,first_check_wolf_rate,found_wolf_by_check_1_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,mean_checks_until_first_wolf,no_wolf_found_rate,mean_wolves_found_per_game,seer_survival_rate,mean_total_seer_checks,mean_search_path_coverage_score,mean_unique_seat_types_checked,mean_unique_sides_checked,mean_pairwise_distance_between_checked_targets
random,42,500,0.616,0.384,0.0,0.312,0.312,0.524,0.614,1.7484472049689441,0.356,0.882,0.266,2.57,0.28555555555555556,1.606,1.676,2.435
random,43,500,0.586,0.414,0.0,0.338,0.338,0.576,0.642,1.6566265060240963,0.336,0.932,0.294,2.624,0.29155555555555557,1.646,1.63,2.3395333333333332
random,44,500,0.616,0.384,0.0,0.388,0.388,0.572,0.642,1.6160714285714286,0.328,0.954,0.308,2.622,0.29133333333333333,1.646,1.678,2.492266666666667
random,45,500,0.586,0.414,0.0,0.336,0.336,0.502,0.624,1.7329192546583851,0.356,0.948,0.334,2.676,0.29733333333333334,1.654,1.674,2.3583333333333334
random,46,500,0.57,0.43,0.0,0.362,0.362,0.56,0.658,1.7034883720930232,0.312,0.964,0.314,2.698,0.29977777777777775,1.656,1.67,2.4416666666666664
default,42,500,0.616,0.384,0.0,0.312,0.312,0.524,0.614,1.7484472049689441,0.356,0.882,0.266,2.57,0.28555555555555556,1.606,1.676,2.435
default,43,500,0.586,0.414,0.0,0.338,0.338,0.576,0.642,1.6566265060240963,0.336,0.932,0.294,2.624,0.29155555555555557,1.646,1.63,2.3395333333333332
default,44,500,0.616,0.384,0.0,0.388,0.388,0.572,0.642,1.6160714285714286,0.328,0.954,0.308,2.622,0.29133333333333333,1.646,1.678,2.492266666666667
default,45,500,0.586,0.414,0.0,0.336,0.336,0.502,0.624,1.7329192546583851,0.356,0.948,0.334,2.676,0.29733333333333334,1.654,1.674,2.3583333333333334
default,46,500,0.57,0.43,0.0,0.362,0.362,0.56,0.658,1.7034883720930232,0.312,0.964,0.314,2.698,0.29977777777777775,1.656,1.67,2.4416666666666664
edge_first,42,500,0.608,0.392,0.0,0.312,0.312,0.526,0.628,1.7446153846153847,0.35,0.896,0.3,2.612,0.2902222222222222,1.256,1.738,2.7625333333333333
edge_first,43,500,0.546,0.454,0.0,0.332,0.332,0.562,0.654,1.7168141592920354,0.322,0.988,0.318,2.646,0.294,1.256,1.76,2.7613333333333334
edge_first,44,500,0.6,0.4,0.0,0.358,0.358,0.574,0.648,1.6377245508982037,0.332,0.954,0.288,2.526,0.2806666666666666,1.236,1.692,2.6068000000000002
edge_first,45,500,0.576,0.424,0.0,0.35,0.35,0.574,0.66,1.7241379310344827,0.304,1.0,0.306,2.69,0.29888888888888887,1.246,1.742,2.8023333333333333
edge_first,46,500,0.598,0.402,0.0,0.358,0.358,0.594,0.698,1.6628895184135977,0.294,0.974,0.328,2.59,0.2877777777777778,1.256,1.73,2.6926666666666663
inner_first,42,500,0.552,0.448,0.0,0.314,0.314,0.552,0.644,1.7395209580838322,0.332,0.944,0.334,2.626,0.29177777777777775,1.086,1.69,2.517266666666667
inner_first,43,500,0.578,0.422,0.0,0.33,0.33,0.548,0.64,1.7,0.34,0.936,0.31,2.628,0.292,1.1,1.696,2.5606666666666666
inner_first,44,500,0.558,0.442,0.0,0.332,0.332,0.544,0.626,1.7447447447447448,0.334,0.904,0.33,2.582,0.28688888888888886,1.086,1.686,2.5026666666666664
inner_first,45,500,0.626,0.374,0.0,0.286,0.286,0.534,0.626,1.7476635514018692,0.358,0.902,0.286,2.642,0.29355555555555557,1.094,1.674,2.5216
