strategy,seed,num_games,wolf_win_rate,village_win_rate,draw_rate,first_check_wolf_rate,found_wolf_by_check_1_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,mean_checks_until_first_wolf,no_wolf_found_rate,mean_wolves_found_per_game,seer_survival_rate,mean_total_seer_checks,mean_search_path_coverage_score,mean_unique_seat_types_checked,mean_unique_sides_checked,mean_pairwise_distance_between_checked_targets
random,all,2500,0.5948,0.4052,0.0,0.3472,0.3472,0.5468,0.636,1.6908212560386473,0.3376,0.936,0.3032,2.638,0.2931111111111111,1.6416,1.6656,2.41336
default,all,2500,0.5948,0.4052,0.0,0.3472,0.3472,0.5468,0.636,1.6908212560386473,0.3376,0.936,0.3032,2.638,0.2931111111111111,1.6416,1.6656,2.41336
edge_first,all,2500,0.5856,0.4144,0.0,0.342,0.342,0.566,0.6576,1.6968805179517363,0.3204,0.9624,0.308,2.6128,0.2903111111111111,1.25,1.7324,2.7251333333333334
inner_first,all,2500,0.5792,0.4208,0.0,0.3148,0.3148,0.5432,0.63,1.7372262773722629,0.3424,0.9228,0.3144,2.6276,0.2919555555555555,1.0952,1.6936,2.54028
highest_p_wolf,all,2500,0.6512,0.3488,0.0,0.3244,0.3244,0.5352,0.6312,1.7097170971709716,0.3496,0.9096,0.2884,2.6268,0.29186666666666666,1.6572,1.676,2.43824
highest_suspicion,all,2500,0.6516,0.3484,0.0,0.3356,0.3356,0.5376,0.6228,1.6842105263157894,0.354,0.9132,0.2612,2.5936,0.2881777777777778,1.636,1.6596,2.4193066666666665
left_to_right,all,2500,0.5916,0.4084,0.0,0.3372,0.3372,0.5476,0.6344,1.7126506024096386,0.336,0.9424,0.31,2.618,0.29088888888888886,1.8008,1.1844,1.7291866666666664
right_to_left,all,2500,0.5612,0.4388,0.0,0.3328,0.3328,0.5456,0.6436,1.7194244604316546,0.3328,0.9676,0.3368,2.6596,0.2955111111111111,1.8172,1.1452,1.5184133333333334
alternate_sides,all,2500,0.5584,0.4416,0.0,0.3324,0.3324,0.5504,0.6328,1.7243243243243243,0.334,0.9412,0.3172,2.6444,0.2938222222222222,1.7808,1.868,2.1515466666666665
nearest_first,all,2500,0.5832,0.4168,0.0,0.3316,0.3316,0.5556,0.646,1.7184523809523808,0.328,0.962,0.3148,2.6572,0.2952444444444444,1.8092,1.554,1.9383066666666666
farthest_first,all,2500,0.5712,0.4288,0.0,0.322,0.322,0.5404,0.628,1.7321972002434571,0.3428,0.928,0.3132,2.6104,0.29004444444444444,1.6408,1.4088,1.2776533333333333
coverage_balanced,all,2500,0.5872,0.4128,0.0,0.3392,0.3392,0.556,0.6468,1.694377990430622,0.3312,0.9524,0.306,2.626,0.2917777777777778,1.69,1.8048,2.99344
hybrid_suspicion_position,all,2500,0.6316,0.3684,0.0,0.3288,0.3288,0.5512,0.6372,1.7046004842615012,0.3392,0.942,0.2988,2.6048,0.2894222222222222,1.6768,1.752,2.8626400000000003
information_gain_proxy,all,2500,0.5888,0.4112,0.0,0.336,0.336,0.5556,0.6464,1.7165775401069518,0.3268,0.962,0.3156,2.6132,0.29035555555555553,1.86,1.8604,1.8290533333333332
