seed,seed_split,usage,overlaps_r61_final_seed
820,r82_independent_replication,formal targeted independent replication only,False
821,r82_independent_replication,formal targeted independent replication only,False
822,r82_independent_replication,formal targeted independent replication only,False
823,r82_independent_replication,formal targeted independent replication only,False
824,r82_independent_replication,formal targeted independent replication only,False
825,r82_independent_replication,formal targeted independent replication only,False
826,r82_independent_replication,formal targeted independent replication only,False
827,r82_independent_replication,formal targeted independent replication only,False
828,r82_independent_replication,formal targeted independent replication only,False
829,r82_independent_replication,formal targeted independent replication only,False
830,r82_independent_replication,formal targeted independent replication only,False
831,r82_independent_replication,formal targeted independent replication only,False
832,r82_independent_replication,formal targeted independent replication only,False
833,r82_independent_replication,formal targeted independent replication only,False
834,r82_independent_replication,formal targeted independent replication only,False
835,r82_independent_replication,formal targeted independent replication only,False
836,r82_independent_replication,formal targeted independent replication only,False
837,r82_independent_replication,formal targeted independent replication only,False
838,r82_independent_replication,formal targeted independent replication only,False
839,r82_independent_replication,formal targeted independent replication only,False
