module,policy,group_key,group_value,game_count,village_win_rate,wolf_win_rate,mean_actor_payoff
villager,reference,seed,820,50,0.38,0.62,-0.14350000000000004
villager,reference,seed,821,50,0.28,0.72,-0.36725
villager,reference,seed,822,50,0.32,0.68,-0.27575000000000005
villager,reference,seed,823,50,0.18,0.82,-0.5660000000000001
villager,reference,seed,824,50,0.28,0.72,-0.36475
villager,reference,seed,825,50,0.28,0.72,-0.36050000000000004
villager,reference,seed,826,50,0.18,0.82,-0.56325
villager,reference,seed,827,50,0.3,0.7,-0.31275000000000003
villager,reference,seed,828,50,0.32,0.68,-0.27025000000000005
villager,reference,seed,829,50,0.26,0.74,-0.4075
villager,reference,seed,830,50,0.32,0.68,-0.27875
villager,reference,seed,831,50,0.38,0.62,-0.15325000000000003
villager,reference,seed,832,50,0.34,0.66,-0.23825000000000002
villager,reference,seed,833,50,0.24,0.76,-0.44400000000000006
villager,reference,seed,834,50,0.44,0.56,-0.021500000000000057
villager,reference,seed,835,50,0.28,0.72,-0.35675000000000007
villager,reference,seed,836,50,0.3,0.7,-0.32475000000000004
villager,reference,seed,837,50,0.16,0.84,-0.60575
villager,reference,seed,838,50,0.36,0.64,-0.18525000000000003
villager,reference,seed,839,50,0.18,0.82,-0.565
villager,trust_weighted,seed,820,50,0.4,0.6,-0.10450000000000002
villager,trust_weighted,seed,821,50,0.44,0.56,-0.013000000000000045
villager,trust_weighted,seed,822,50,0.26,0.74,-0.39775000000000005
villager,trust_weighted,seed,823,50,0.26,0.74,-0.38625
villager,trust_weighted,seed,824,50,0.32,0.68,-0.27725
villager,trust_weighted,seed,825,50,0.4,0.6,-0.08950000000000002
villager,trust_weighted,seed,826,50,0.24,0.76,-0.42550000000000004
villager,trust_weighted,seed,827,50,0.4,0.6,-0.09650000000000002
villager,trust_weighted,seed,828,50,0.34,0.66,-0.23175000000000004
villager,trust_weighted,seed,829,50,0.36,0.64,-0.196
villager,trust_weighted,seed,830,50,0.32,0.68,-0.26350000000000007
villager,trust_weighted,seed,831,50,0.48,0.52,0.056249999999999974
villager,trust_weighted,seed,832,50,0.36,0.64,-0.18675
villager,trust_weighted,seed,833,50,0.28,0.72,-0.34275
villager,trust_weighted,seed,834,50,0.42,0.58,-0.054250000000000034
villager,trust_weighted,seed,835,50,0.46,0.54,0.03999999999999997
villager,trust_weighted,seed,836,50,0.32,0.68,-0.27675
villager,trust_weighted,seed,837,50,0.36,0.64,-0.17600000000000002
villager,trust_weighted,seed,838,50,0.46,0.54,0.018999999999999965
villager,trust_weighted,seed,839,50,0.28,0.72,-0.344
seer,immediate_reveal,seed,820,50,0.34,0.66,-0.161
seer,immediate_reveal,seed,821,50,0.32,0.68,-0.21600000000000003
seer,immediate_reveal,seed,822,50,0.32,0.68,-0.21600000000000003
seer,immediate_reveal,seed,823,50,0.22,0.78,-0.41200000000000003
seer,immediate_reveal,seed,824,50,0.34,0.66,-0.154
seer,immediate_reveal,seed,825,50,0.28,0.72,-0.23800000000000002
