condition,seed,num_games,wolf_win_rate,village_win_rate,average_rounds,total_last_words,average_last_words_per_game
ten_player_speech,42,500,0.374,0.626,3.36,0,0.0
ten_player_speech,43,500,0.388,0.612,3.378,0,0.0
ten_player_speech,44,500,0.38,0.62,3.314,0,0.0
ten_player_speech,45,500,0.374,0.626,3.372,0,0.0
ten_player_speech,46,500,0.388,0.612,3.398,0,0.0
ten_player_speech_limited_last_words,42,500,0.344,0.656,3.234,1588,3.176
ten_player_speech_limited_last_words,43,500,0.342,0.658,3.292,1611,3.222
ten_player_speech_limited_last_words,44,500,0.37,0.63,3.328,1644,3.288
ten_player_speech_limited_last_words,45,500,0.358,0.642,3.306,1611,3.222
ten_player_speech_limited_last_words,46,500,0.348,0.652,3.288,1613,3.226
ten_player_deception,42,500,0.792,0.208,3.226,0,0.0
ten_player_deception,43,500,0.8,0.2,3.274,0,0.0
ten_player_deception,44,500,0.77,0.23,3.206,0,0.0
ten_player_deception,45,500,0.818,0.182,3.234,0,0.0
ten_player_deception,46,500,0.786,0.214,3.172,0,0.0
ten_player_deception_limited_last_words,42,500,0.774,0.226,3.474,1628,3.256
ten_player_deception_limited_last_words,43,500,0.814,0.186,3.452,1635,3.27
ten_player_deception_limited_last_words,44,500,0.77,0.23,3.402,1610,3.22
ten_player_deception_limited_last_words,45,500,0.77,0.23,3.376,1608,3.216
ten_player_deception_limited_last_words,46,500,0.772,0.228,3.494,1630,3.26
ten_player_credibility_cost,42,500,0.584,0.416,3.34,0,0.0
ten_player_credibility_cost,43,500,0.576,0.424,3.3,0,0.0
ten_player_credibility_cost,44,500,0.608,0.392,3.346,0,0.0
ten_player_credibility_cost,45,500,0.598,0.402,3.358,0,0.0
ten_player_credibility_cost,46,500,0.666,0.334,3.33,0,0.0
ten_player_credibility_cost_limited_last_words,42,500,0.544,0.456,3.548,1692,3.384
ten_player_credibility_cost_limited_last_words,43,500,0.534,0.466,3.538,1706,3.412
ten_player_credibility_cost_limited_last_words,44,500,0.586,0.414,3.562,1688,3.376
ten_player_credibility_cost_limited_last_words,45,500,0.58,0.42,3.516,1672,3.344
ten_player_credibility_cost_limited_last_words,46,500,0.556,0.444,3.51,1671,3.342
ten_player_trust_memory,42,500,0.456,0.544,3.372,0,0.0
ten_player_trust_memory,43,500,0.432,0.568,3.354,0,0.0
ten_player_trust_memory,44,500,0.42,0.58,3.322,0,0.0
ten_player_trust_memory,45,500,0.44,0.56,3.348,0,0.0
ten_player_trust_memory,46,500,0.4,0.6,3.342,0,0.0
ten_player_trust_memory_limited_last_words,42,500,0.358,0.642,3.494,1705,3.41
ten_player_trust_memory_limited_last_words,43,500,0.372,0.628,3.462,1691,3.382
ten_player_trust_memory_limited_last_words,44,500,0.352,0.648,3.544,1743,3.486
ten_player_trust_memory_limited_last_words,45,500,0.364,0.636,3.522,1701,3.402
ten_player_trust_memory_limited_last_words,46,500,0.336,0.664,3.494,1720,3.44
