condition,seed,num_games,wolf_wins,village_wins,draws,wolf_win_rate,village_win_rate,average_rounds,average_payoff,average_wolf_payoff,average_village_payoff,total_wolf_deceptions,total_credibility_cost_events,total_trust_updates
ten_player_baseline,42,500,262,238,0,0.524,0.476,3.352,0.15591999999999998,0.30413333333333326,0.09239999999999998,0,0,0
ten_player_baseline,43,500,297,203,0,0.594,0.406,3.39,0.09562999999999998,0.45336666666666664,-0.05768571428571432,0,0,0
ten_player_baseline,44,500,283,217,0,0.566,0.434,3.318,0.12034999999999997,0.39236666666666664,0.0037714285714285367,0,0,0
ten_player_baseline,45,500,272,228,0,0.544,0.456,3.272,0.13572999999999996,0.34009999999999996,0.04814285714285711,0,0,0
ten_player_baseline,46,500,294,206,0,0.588,0.412,3.366,0.09924999999999998,0.44309999999999994,-0.04811428571428575,0,0,0
ten_player_speech,42,500,198,302,0,0.396,0.604,3.226,0.28537,0.030199999999999966,0.3947285714285714,0,0,0
ten_player_speech,43,500,163,337,0,0.326,0.674,3.21,0.342,-0.11713333333333337,0.5387714285714286,0,0,0
ten_player_speech,44,500,160,340,0,0.32,0.68,3.214,0.35228,-0.12880000000000005,0.5584571428571428,0,0,0
ten_player_speech,45,500,172,328,0,0.344,0.656,3.246,0.33138999999999996,-0.07916666666666669,0.5073428571428572,0,0,0
ten_player_speech,46,500,178,322,0,0.356,0.644,3.19,0.31861,-0.05333333333333336,0.47801428571428567,0,0,0
ten_player_deception,42,500,391,109,0,0.782,0.218,3.222,-0.07002000000000004,0.8383666666666666,-0.4593285714285715,2845,0,0
ten_player_deception,43,500,399,101,0,0.798,0.202,3.212,-0.08837000000000003,0.8690666666666667,-0.49870000000000003,2890,0,0
ten_player_deception,44,500,391,109,0,0.782,0.218,3.264,-0.07245000000000003,0.8431333333333333,-0.46484285714285717,2880,0,0
ten_player_deception,45,500,383,117,0,0.766,0.234,3.272,-0.05868000000000004,0.8122666666666667,-0.4319428571428572,2948,0,0
ten_player_deception,46,500,396,104,0,0.792,0.208,3.29,-0.07815000000000004,0.8659,-0.4827428571428572,2933,0,0
ten_player_credibility_cost,42,500,288,212,0,0.576,0.424,3.336,0.10599999999999997,0.4185333333333333,-0.027942857142857176,2912,4065,0
ten_player_credibility_cost,43,500,297,203,0,0.594,0.406,3.254,0.08861999999999998,0.44683333333333325,-0.06490000000000004,2901,4013,0
ten_player_credibility_cost,44,500,286,214,0,0.572,0.428,3.376,0.11133999999999998,0.40776666666666667,-0.01570000000000003,2981,4159,0
ten_player_credibility_cost,45,500,304,196,0,0.608,0.392,3.284,0.07797999999999998,0.4827333333333333,-0.09548571428571433,2920,4004,0
ten_player_credibility_cost,46,500,283,217,0,0.566,0.434,3.322,0.11586999999999997,0.39849999999999997,-0.005257142857142895,2963,4071,0
ten_player_trust_memory,42,500,200,300,0,0.4,0.6,3.344,0.26113,0.052666666666666626,0.35047142857142854,2858,3853,12554
ten_player_trust_memory,43,500,204,296,0,0.408,0.592,3.382,0.25821,0.07586666666666664,0.33635714285714285,2952,3971,12703
ten_player_trust_memory,44,500,193,307,0,0.386,0.614,3.314,0.27263,0.0252333333333333,0.37865714285714286,2917,3976,12998
ten_player_trust_memory,45,500,197,303,0,0.394,0.606,3.334,0.26709999999999995,0.04369999999999996,0.3628428571428571,2951,3944,12583
ten_player_trust_memory,46,500,198,302,0,0.396,0.604,3.368,0.26421999999999995,0.04783333333333328,0.3569571428571428,2943,3991,12974
ten_player_trust_weighted_herding,42,500,265,235,0,0.53,0.47,3.318,0.14462999999999998,0.32419999999999993,0.06767142857142854,2916,4153,13960
ten_player_trust_weighted_herding,43,500,258,242,0,0.516,0.484,3.288,0.15909999999999996,0.29209999999999997,0.10209999999999997,2881,4006,13645
ten_player_trust_weighted_herding,44,500,262,238,0,0.524,0.476,3.36,0.15131999999999995,0.31916666666666665,0.07938571428571425,2947,4195,13858
ten_player_trust_weighted_herding,45,500,252,248,0,0.504,0.496,3.344,0.16872999999999996,0.2711333333333333,0.12484285714285712,2938,4074,13626
ten_player_trust_weighted_herding,46,500,249,251,0,0.498,0.502,3.308,0.17398999999999998,0.25639999999999996,0.13867142857142856,2928,4090,13655
