condition,seed,num_games,wolf_win_rate,village_win_rate,avg_rounds,avg_payoff,conservative_count,neutral_count,aggressive_count,conservative_avg_payoff,neutral_avg_payoff,aggressive_avg_payoff,total_votes,aggressive_votes,conservative_votes,total_witch_poison,aggressive_witch_poison,conservative_witch_poison,total_wolf_deceptions,aggressive_wolf_deceptions,conservative_wolf_deceptions,credibility_cost_events,trust_updates
ten_player_trust_memory,42,500,0.456,0.544,3.372,0.22481999999999996,0,5000,0,,0.22481999999999996,,10570,0,0,289,0,0,3103,0,0,4240,13600
ten_player_trust_memory,43,500,0.432,0.568,3.354,0.24687999999999996,0,5000,0,,0.24687999999999996,,10485,0,0,301,0,0,3046,0,0,4162,13108
ten_player_trust_memory,44,500,0.42,0.58,3.322,0.25573999999999997,0,5000,0,,0.25573999999999997,,10335,0,0,310,0,0,3027,0,0,4054,12959
ten_player_trust_memory,45,500,0.44,0.56,3.348,0.23752999999999996,0,5000,0,,0.23752999999999996,,10449,0,0,297,0,0,3076,0,0,4138,13675
ten_player_trust_memory,46,500,0.4,0.6,3.342,0.27360999999999996,0,5000,0,,0.27360999999999996,,10491,0,0,305,0,0,3026,0,0,4028,12915
ten_player_trust_memory_risk_mixed,42,500,0.476,0.524,3.436,0.20792999999999998,1538,2009,1453,0.1640647602683685,0.2323903296950964,0.19386517106842732,10794,3177,3272,224,91,18,2831,976,574,3981,13967
ten_player_trust_memory_risk_mixed,43,500,0.476,0.524,3.41,0.20940999999999996,1511,1943,1546,0.21644704861111108,0.22179194212896422,0.17925703682282626,10800,3243,3336,218,97,20,2825,973,614,4056,14106
ten_player_trust_memory_risk_mixed,44,500,0.482,0.518,3.346,0.20323999999999998,1566,1985,1449,0.1875857628765792,0.2132094054019457,0.2018196565838075,10650,3082,3372,223,96,14,2779,933,557,4004,14100
ten_player_trust_memory_risk_mixed,45,500,0.434,0.566,3.446,0.24678999999999995,1508,2011,1481,0.22890361768429252,0.27536754159495125,0.20802062031356505,10882,3169,3373,223,79,31,2802,930,581,4033,13935
ten_player_trust_memory_risk_mixed,46,500,0.496,0.504,3.466,0.19032999999999994,1521,2016,1463,0.18862314597970334,0.23243366322432585,0.1767342009267475,10854,3110,3403,220,79,32,2868,928,572,4119,14128
ten_player_trust_memory_risk_conservative_majority,42,500,0.356,0.644,3.492,0.32183999999999996,3040,1477,483,0.30958690476190476,0.3414335826733157,0.28307127882599575,11291,1058,6911,154,31,51,2481,319,1149,3516,13157
ten_player_trust_memory_risk_conservative_majority,43,500,0.412,0.588,3.45,0.27216999999999997,2989,1525,486,0.26498555555555553,0.25492378048780484,0.24729362591431553,11081,1085,6692,150,29,43,2406,315,1198,3499,13488
ten_player_trust_memory_risk_conservative_majority,44,500,0.378,0.622,3.486,0.30313999999999997,3035,1444,521,0.2753596825396825,0.33027098674521355,0.32113888888888886,11222,1132,6851,152,23,47,2475,350,1167,3454,13002
ten_player_trust_memory_risk_conservative_majority,45,500,0.382,0.618,3.44,0.29802999999999996,2999,1515,486,0.2859826587301587,0.32850253189210243,0.2413671875,11120,1069,6694,167,30,48,2412,295,1168,3470,13176
ten_player_trust_memory_risk_conservative_majority,46,500,0.4,0.6,3.518,0.28169,3013,1504,483,0.28287289682539685,0.25360540725530456,0.17351677148846958,11181,1080,6807,165,31,52,2445,276,1236,3594,13249
ten_player_trust_memory_risk_aggressive_majority,42,500,0.506,0.494,3.326,0.17795999999999998,547,1454,2999,0.1961686390532544,0.20193085793816481,0.1450044841269841,10489,6247,1153,253,175,3,3047,1918,214,4419,14794
ten_player_trust_memory_risk_aggressive_majority,43,500,0.512,0.488,3.332,0.17008999999999996,498,1515,2987,0.17701213080168773,0.1825343969555035,0.15775186507936503,10364,6152,1094,262,176,9,3016,1825,223,4382,14767
ten_player_trust_memory_risk_aggressive_majority,44,500,0.534,0.466,3.352,0.15535999999999997,473,1492,3035,0.09732539682539679,0.16892758142758138,0.14392988095238093,10518,6388,998,242,166,7,3097,1907,189,4522,15067
ten_player_trust_memory_risk_aggressive_majority,45,500,0.508,0.492,3.324,0.17692999999999998,498,1519,2983,0.20567317317317313,0.12971686629662088,0.19357297619047617,10466,6281,1016,238,170,5,3035,1836,179,4433,14923
ten_player_trust_memory_risk_aggressive_majority,46,500,0.488,0.512,3.35,0.19149999999999998,503,1527,2970,0.19807497467071933,0.19907450865356405,0.1904397222222222,10517,6261,1065,246,175,3,3078,1908,187,4427,14937
ten_player_credibility_cost,42,500,0.584,0.416,3.34,0.11191999999999998,0,5000,0,,0.11191999999999998,,10422,0,0,294,0,0,3096,0,0,4280,0
ten_player_credibility_cost,43,500,0.576,0.424,3.3,0.11982999999999996,0,5000,0,,0.11982999999999996,,10352,0,0,282,0,0,3080,0,0,4282,0
ten_player_credibility_cost,44,500,0.608,0.392,3.346,0.09078999999999998,0,5000,0,,0.09078999999999998,,10388,0,0,306,0,0,3090,0,0,4292,0
ten_player_credibility_cost,45,500,0.598,0.402,3.358,0.09928999999999998,0,5000,0,,0.09928999999999998,,10349,0,0,291,0,0,3071,0,0,4289,0
ten_player_credibility_cost,46,500,0.666,0.334,3.33,0.04421999999999997,0,5000,0,,0.04421999999999997,,10268,0,0,283,0,0,3070,0,0,4319,0
ten_player_credibility_cost_risk_mixed,42,500,0.626,0.374,3.378,0.07818999999999997,1466,2040,1494,0.06261806780325296,0.04831484126984124,0.12182555979270554,10533,3130,3119,229,97,21,2802,905,589,4219,0
ten_player_credibility_cost_risk_mixed,43,500,0.64,0.36,3.364,0.06305999999999996,1489,2001,1510,0.046228854991688634,0.097461555044553,0.0700245556211465,10577,3173,3157,231,81,32,2846,1035,559,4167,0
ten_player_credibility_cost_risk_mixed,44,500,0.606,0.394,3.352,0.09625999999999996,1504,1955,1541,0.036421453117329375,0.10436990993580526,0.1488987484110687,10508,3305,3178,216,77,29,2775,990,575,4042,0
ten_player_credibility_cost_risk_mixed,45,500,0.616,0.384,3.346,0.08835999999999997,1527,1958,1515,0.04214530668234369,0.1286498698669751,0.07443274938701766,10517,3183,3178,206,86,27,2798,953,548,4111,0
ten_player_credibility_cost_risk_mixed,46,500,0.63,0.37,3.35,0.07495999999999997,1515,2066,1419,0.05901539748130654,0.12902817539841582,0.05028690394706818,10453,2826,3256,206,77,34,2813,867,567,4110,0
ten_player_deception,42,500,0.792,0.208,3.226,-0.07365000000000003,0,5000,0,,-0.07365000000000003,,10039,0,0,297,0,0,3032,0,0,0,0
ten_player_deception,43,500,0.8,0.2,3.274,-0.07819000000000002,0,5000,0,,-0.07819000000000002,,10104,0,0,277,0,0,3039,0,0,0,0
ten_player_deception,44,500,0.77,0.23,3.206,-0.05496000000000003,0,5000,0,,-0.05496000000000003,,10017,0,0,277,0,0,3018,0,0,0,0
ten_player_deception,45,500,0.818,0.182,3.234,-0.09327000000000002,0,5000,0,,-0.09327000000000002,,10027,0,0,278,0,0,3057,0,0,0,0
ten_player_deception,46,500,0.786,0.214,3.172,-0.06440000000000004,0,5000,0,,-0.06440000000000004,,9866,0,0,259,0,0,2999,0,0,0,0
ten_player_deception_risk_mixed,42,500,0.804,0.196,3.298,-0.07994000000000004,1449,2013,1538,-0.146468583283936,-0.037483798963133676,-0.05368742055343701,10366,3255,2989,200,97,18,2856,978,523,0,0
ten_player_deception_risk_mixed,43,500,0.764,0.236,3.254,-0.046050000000000035,1529,1961,1510,-0.06409417127339738,-0.04055355945194983,-0.00029405989199806916,10250,3054,3158,227,100,27,2710,918,604,0,0
ten_player_deception_risk_mixed,44,500,0.762,0.238,3.278,-0.04142000000000003,1484,1984,1532,-0.17926726682408503,0.0012210381464413383,-0.007921698576337781,10307,3195,3085,191,81,12,2814,1029,506,0,0
ten_player_deception_risk_mixed,45,500,0.732,0.268,3.302,-0.017430000000000032,1472,2027,1501,-0.026847932588673365,-0.01482670890937023,0.0007783505154638875,10311,3038,3052,229,100,10,2694,860,581,0,0
ten_player_deception_risk_mixed,46,500,0.746,0.254,3.282,-0.02665000000000003,1510,2010,1480,-0.09852331860579287,0.0267273857334098,-0.05830115176151764,10309,3025,3132,201,83,18,2785,933,593,0,0
