condition,seed,num_games,seer_check_strategy,wolf_win_rate,village_win_rate,avg_rounds,avg_payoff,total_seer_checks,seer_found_wolves,seer_found_wolf_rate,edge_checks,inner_checks,edge_check_rate,edge_wolf_checks,inner_wolf_checks,opposite_side_checks,same_side_checks,avg_checks_per_game,seer_survival_rate,first_check_edge_rate,first_check_found_wolf_rate
seer_default,42,500,default,0.43,0.57,3.362,0.25922999999999996,1398,383,0.2739628040057225,649,749,0.4642346208869814,146,237,861,537,2.796,0.424,0.418,0.318
seer_random,42,500,random,0.328,0.672,3.232,0.35587,1376,507,0.3684593023255814,634,742,0.46075581395348836,201,306,738,638,2.752,0.452,0.44,0.364
seer_edge_first,42,500,edge_first,0.348,0.652,3.414,0.33547999999999994,1422,433,0.30450070323488043,1305,117,0.9177215189873418,366,67,675,747,2.844,0.448,1.0,0.24
seer_inner_first,42,500,inner_first,0.368,0.632,3.302,0.31776,1399,541,0.3867047891350965,97,1302,0.06933523945675482,61,480,857,542,2.798,0.456,0.0,0.418
seer_highest_p_wolf,42,500,highest_p_wolf,0.324,0.676,3.072,0.36587000000000003,1313,537,0.408987052551409,636,677,0.4843869002284844,239,298,682,631,2.626,0.506,0.436,0.284
seer_highest_suspicion,42,500,highest_suspicion,0.388,0.612,3.194,0.30545999999999995,1318,500,0.37936267071320184,599,719,0.4544764795144158,194,306,693,625,2.636,0.442,0.448,0.326
seer_opposite_side,42,500,opposite_side,0.462,0.538,3.554,0.21611,1516,112,0.07387862796833773,635,881,0.4188654353562005,64,48,1396,120,3.032,0.422,0.404,0.0
seer_default,43,500,default,0.456,0.544,3.362,0.24309999999999998,1431,418,0.2921034241788959,694,737,0.48497554157931516,164,254,844,587,2.862,0.428,0.464,0.358
seer_random,43,500,random,0.332,0.668,3.22,0.35118,1388,489,0.3523054755043228,634,754,0.45677233429394815,200,289,779,609,2.776,0.52,0.442,0.316
seer_edge_first,43,500,edge_first,0.408,0.592,3.378,0.28331,1388,428,0.30835734870317005,1281,107,0.9229106628242075,362,66,639,749,2.776,0.428,1.0,0.246
seer_inner_first,43,500,inner_first,0.39,0.61,3.238,0.29681,1388,530,0.3818443804034582,86,1302,0.06195965417867435,50,480,857,531,2.776,0.464,0.0,0.408
seer_highest_p_wolf,43,500,highest_p_wolf,0.28,0.72,3.032,0.40093,1289,544,0.42203258339798294,613,676,0.47556245151280063,219,325,636,653,2.578,0.498,0.458,0.33
seer_highest_suspicion,43,500,highest_suspicion,0.374,0.626,3.072,0.3215,1311,530,0.40427154843630814,592,719,0.45156369183829137,213,317,669,642,2.622,0.52,0.436,0.318
seer_opposite_side,43,500,opposite_side,0.456,0.544,3.528,0.21947999999999998,1478,99,0.06698240866035182,613,865,0.41474966170500677,56,43,1374,104,2.956,0.43,0.386,0.0
seer_default,44,500,default,0.42,0.58,3.352,0.27401,1405,432,0.3074733096085409,670,735,0.47686832740213525,177,255,822,583,2.81,0.448,0.46,0.358
seer_random,44,500,random,0.338,0.662,3.288,0.34685,1416,504,0.3559322033898305,663,753,0.4682203389830508,198,306,770,646,2.832,0.492,0.434,0.348
seer_edge_first,44,500,edge_first,0.352,0.648,3.402,0.33206,1415,418,0.2954063604240283,1271,144,0.8982332155477032,339,79,693,722,2.83,0.468,1.0,0.23
