game_id,seed,game_index_within_seed,strategy,winner,village_win,wolf_win,seer_seat,seer_side,seer_seat_type,wolf_seats,wolves_on_edge,wolves_on_inner,wolves_left_side,wolves_right_side,first_check_target,first_check_target_role,first_check_target_is_wolf,first_check_target_seat_type,first_check_target_side,all_seer_check_targets_in_order,all_seer_check_roles_in_order,total_seer_checks,seer_found_any_wolf,seer_found_wolf_count,first_check_wolf,seer_survived_to_game_end,seer_death_round,total_rounds,final_alive_players,final_alive_wolves,final_alive_villagers
default_seed_42_game_1,42,1,default,wolf,0,1,1,left,edge,"[3,9,10]",1,2,1,2,2,villager,0,inner,left,"[2,8]","[""villager"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_2,42,2,default,village,1,0,8,right,inner,"[2,4,7]",0,3,2,1,9,hunter,0,inner,right,"[9,1,4]","[""hunter"",""villager"",""werewolf""]",3,1,1,0,0,3,4,2,0,2
default_seed_42_game_3,42,3,default,village,1,0,2,left,inner,"[1,3,7]",1,2,2,1,8,villager,0,inner,right,"[8,9,4]","[""villager"",""villager"",""villager""]",3,0,0,0,1,,3,5,0,5
default_seed_42_game_4,42,4,default,wolf,0,1,8,right,inner,"[2,4,6]",1,2,2,1,5,villager,0,edge,left,"[5,9]","[""villager"",""villager""]",2,0,0,0,0,2,4,2,1,1
default_seed_42_game_5,42,5,default,wolf,0,1,2,left,inner,"[8,9,10]",1,2,0,3,6,villager,0,edge,right,"[6,5]","[""villager"",""villager""]",2,0,0,0,1,,2,6,3,3
default_seed_42_game_6,42,6,default,wolf,0,1,10,right,edge,"[1,3,6]",2,1,2,1,6,werewolf,1,edge,right,[6],"[""werewolf""]",1,1,1,1,0,1,3,4,2,2
default_seed_42_game_7,42,7,default,wolf,0,1,7,right,inner,"[3,4,10]",1,2,2,1,10,werewolf,1,edge,right,"[10,1,9]","[""werewolf"",""villager"",""villager""]",3,1,1,1,1,,3,4,2,2
default_seed_42_game_8,42,8,default,wolf,0,1,5,left,edge,"[8,9,10]",1,2,0,3,3,villager,0,inner,left,"[3,4,4]","[""villager"",""villager"",""villager""]",3,0,0,0,0,3,3,4,2,2
default_seed_42_game_9,42,9,default,wolf,0,1,5,left,edge,"[1,4,10]",2,1,2,1,10,werewolf,1,edge,right,"[10,6,7]","[""werewolf"",""witch"",""villager""]",3,1,1,1,0,3,4,4,2,2
default_seed_42_game_10,42,10,default,village,1,0,4,left,inner,"[2,7,10]",1,2,1,2,8,villager,0,inner,right,"[8,7,10]","[""villager"",""werewolf"",""werewolf""]",3,1,2,0,1,,3,4,0,4
