condition,seed,num_games,seer_check_strategy,wolf_win_rate,village_win_rate,avg_rounds,avg_payoff,total_seer_checks,seer_found_wolves,seer_found_wolf_rate,edge_checks,inner_checks,edge_check_rate,edge_wolf_checks,inner_wolf_checks,opposite_side_checks,same_side_checks,avg_checks_per_game,seer_survival_rate,first_check_edge_rate,first_check_found_wolf_rate,wolves_on_edge,wolves_on_inner,wolves_left_side,wolves_right_side,edge_has_wolf_rate,avg_wolves_on_edge,seer_on_edge_rate,seer_left_side_rate,seat_role_assignment_games
seer_default,42,500,default,0.626,0.374,3.384,0.07238999999999997,1289,397,0.30799069045771915,521,768,0.40418929402637704,175,222,698,591,2.578,0.304,0.39,0.342,611,889,739,761,0.85,1.222,0.396,0.492,500
seer_random,42,500,random,0.616,0.384,3.358,0.08355999999999997,1285,441,0.3431906614785992,528,757,0.41089494163424123,187,254,701,584,2.57,0.266,0.398,0.312,587,913,772,728,0.842,1.174,0.392,0.474,500
seer_edge_first,42,500,edge_first,0.608,0.392,3.39,0.09134999999999996,1306,448,0.3430321592649311,1160,146,0.888208269525268,378,70,733,573,2.612,0.3,1.0,0.312,577,923,746,754,0.81,1.154,0.4,0.512,500
seer_inner_first,42,500,inner_first,0.56,0.44,3.426,0.13323999999999997,1324,477,0.36027190332326287,49,1275,0.03700906344410876,31,446,731,593,2.648,0.334,0.0,0.32,608,892,758,742,0.822,1.216,0.398,0.5,500
seer_highest_p_wolf,42,500,highest_p_wolf,0.63,0.37,3.416,0.07364999999999998,1326,463,0.3491704374057315,549,777,0.41402714932126694,196,267,746,580,2.652,0.296,0.402,0.334,603,897,775,725,0.854,1.206,0.412,0.462,500
seer_highest_suspicion,42,500,highest_suspicion,0.656,0.344,3.408,0.05154999999999998,1312,474,0.36128048780487804,559,753,0.4260670731707317,195,279,754,558,2.624,0.28,0.418,0.32,613,887,748,752,0.84,1.226,0.446,0.506,500
seer_opposite_side,42,500,opposite_side,0.578,0.422,3.41,0.12089999999999998,1313,474,0.361005331302361,531,782,0.4044173648134044,187,287,1260,53,2.626,0.324,0.41,0.318,571,929,723,777,0.8,1.142,0.424,0.5,500
seer_default,43,500,default,0.63,0.37,3.478,0.07350999999999998,1332,435,0.32657657657657657,565,767,0.4241741741741742,175,260,748,584,2.664,0.284,0.368,0.342,602,898,754,746,0.838,1.204,0.37,0.474,500
seer_random,43,500,random,0.586,0.414,3.428,0.11356999999999998,1312,466,0.3551829268292683,565,747,0.43064024390243905,201,265,741,571,2.624,0.294,0.402,0.338,613,887,777,723,0.872,1.226,0.374,0.466,500
seer_edge_first,43,500,edge_first,0.546,0.454,3.402,0.14711999999999997,1323,494,0.37339380196523053,1172,151,0.8858654572940288,415,79,732,591,2.646,0.318,1.0,0.332,603,897,748,752,0.834,1.206,0.42,0.504,500
seer_inner_first,43,500,inner_first,0.59,0.41,3.416,0.10732999999999997,1271,445,0.35011801730920533,36,1235,0.02832415420928403,21,424,720,551,2.542,0.284,0.0,0.34,595,905,757,743,0.822,1.19,0.356,0.518,500
seer_highest_p_wolf,43,500,highest_p_wolf,0.636,0.364,3.398,0.06617999999999997,1323,465,0.35147392290249435,555,768,0.41950113378684806,213,252,719,604,2.646,0.308,0.414,0.316,592,908,744,756,0.824,1.184,0.422,0.52,500
seer_highest_suspicion,43,500,highest_suspicion,0.636,0.364,3.446,0.06618999999999997,1304,439,0.3366564417177914,558,746,0.4279141104294479,189,250,705,599,2.608,0.254,0.404,0.34,575,925,737,763,0.818,1.15,0.422,0.464,500
seer_opposite_side,43,500,opposite_side,0.61,0.39,3.412,0.08817999999999998,1311,459,0.3501144164759725,546,765,0.41647597254004576,205,254,1239,72,2.622,0.314,0.44,0.33,620,880,781,719,0.836,1.24,0.386,0.492,500
seer_default,44,500,default,0.624,0.376,3.384,0.07584999999999996,1307,428,0.3274674827850038,526,781,0.4024483550114767,179,249,701,606,2.614,0.28,0.422,0.308,610,890,749,751,0.83,1.22,0.426,0.51,500
seer_random,44,500,random,0.616,0.384,3.4,0.08570999999999997,1311,477,0.36384439359267734,534,777,0.4073226544622426,191,286,766,545,2.622,0.308,0.394,0.388,600,900,764,736,0.848,1.2,0.374,0.498,500
seer_edge_first,44,500,edge_first,0.6,0.4,3.42,0.09900999999999997,1263,477,0.37767220902612825,1121,142,0.88756927949327,410,67,722,541,2.526,0.288,1.0,0.358,645,855,674,826,0.864,1.29,0.42,0.516,500
seer_inner_first,44,500,inner_first,0.558,0.442,3.412,0.13402999999999998,1291,452,0.35011618900077457,45,1246,0.034856700232378,30,422,724,567,2.582,0.33,0.0,0.332,606,894,747,753,0.826,1.212,0.402,0.542,500
seer_highest_p_wolf,44,500,highest_p_wolf,0.67,0.33,3.47,0.03593999999999998,1317,452,0.343204252088079,574,743,0.43583902809415337,196,256,733,584,2.634,0.278,0.426,0.338,609,891,754,746,0.82,1.218,0.382,0.496,500
seer_highest_suspicion,44,500,highest_suspicion,0.66,0.34,3.462,0.048159999999999974,1300,468,0.36,554,746,0.42615384615384616,208,260,719,581,2.6,0.26,0.4,0.372,589,911,798,702,0.842,1.178,0.372,0.442,500
seer_opposite_side,44,500,opposite_side,0.594,0.406,3.456,0.10628999999999998,1317,487,0.3697798025816249,524,793,0.39787395596051633,194,293,1259,58,2.634,0.276,0.396,0.314,601,899,721,779,0.828,1.202,0.408,0.522,500
seer_default,45,500,default,0.64,0.36,3.414,0.060579999999999974,1267,391,0.30860299921073403,550,717,0.4340962904498816,167,224,707,560,2.534,0.29,0.428,0.306,594,906,747,753,0.84,1.188,0.378,0.458,500
seer_random,45,500,random,0.586,0.414,3.446,0.11063999999999997,1338,474,0.3542600896860987,567,771,0.42376681614349776,193,281,755,583,2.676,0.334,0.392,0.336,607,893,769,731,0.814,1.214,0.378,0.5,500
seer_edge_first,45,500,edge_first,0.576,0.424,3.456,0.11717999999999998,1345,500,0.37174721189591076,1205,140,0.895910780669145,423,77,763,582,2.69,0.306,1.0,0.35,604,896,744,756,0.836,1.208,0.386,0.492,500
seer_inner_first,45,500,inner_first,0.626,0.374,3.442,0.07491999999999997,1321,451,0.3414080242240727,50,1271,0.03785011355034065,27,424,708,613,2.642,0.286,0.0,0.286,637,863,774,726,0.868,1.274,0.4,0.464,500
seer_highest_p_wolf,45,500,highest_p_wolf,0.674,0.326,3.412,0.03207999999999997,1297,443,0.3415574402467232,525,772,0.40478026214340784,187,256,711,586,2.594,0.264,0.39,0.328,607,893,726,774,0.848,1.214,0.43,0.504,500
seer_highest_suspicion,45,500,highest_suspicion,0.652,0.348,3.4,0.053129999999999976,1290,455,0.35271317829457366,558,732,0.4325581395348837,220,235,726,564,2.58,0.296,0.4,0.314,649,851,732,768,0.864,1.298,0.372,0.512,500
seer_opposite_side,45,500,opposite_side,0.626,0.374,3.38,0.07495999999999998,1296,457,0.35262345679012347,497,799,0.38348765432098764,174,283,1227,69,2.592,0.292,0.34,0.332,592,908,760,740,0.818,1.184,0.412,0.498,500
seer_default,46,500,default,0.606,0.394,3.416,0.09257999999999997,1330,445,0.33458646616541354,554,776,0.41654135338345866,164,281,762,568,2.66,0.294,0.378,0.374,572,928,771,729,0.826,1.144,0.376,0.476,500
seer_random,46,500,random,0.57,0.43,3.452,0.12630999999999998,1349,482,0.35730170496664193,565,784,0.41882876204596,202,280,752,597,2.698,0.314,0.384,0.362,604,896,734,766,0.846,1.208,0.422,0.526,500
seer_edge_first,46,500,edge_first,0.598,0.402,3.414,0.10264999999999998,1295,487,0.37606177606177604,1149,146,0.8872586872586873,417,70,727,568,2.59,0.328,1.0,0.358,625,875,711,789,0.872,1.25,0.404,0.558,500
seer_inner_first,46,500,inner_first,0.582,0.418,3.408,0.11601999999999998,1330,464,0.34887218045112783,55,1275,0.041353383458646614,37,427,740,590,2.66,0.312,0.0,0.312,610,890,725,775,0.86,1.22,0.408,0.518,500
seer_highest_p_wolf,46,500,highest_p_wolf,0.646,0.354,3.408,0.05474999999999997,1304,451,0.3458588957055215,550,754,0.4217791411042945,199,252,736,568,2.608,0.296,0.38,0.306,602,898,744,756,0.834,1.204,0.37,0.514,500
seer_highest_suspicion,46,500,highest_suspicion,0.654,0.346,3.43,0.05138999999999997,1278,447,0.34976525821596244,518,760,0.405320813771518,191,256,690,588,2.556,0.216,0.38,0.332,615,885,723,777,0.844,1.23,0.404,0.532,500
seer_opposite_side,46,500,opposite_side,0.616,0.384,3.408,0.08146999999999997,1310,476,0.36335877862595417,522,788,0.3984732824427481,197,279,1237,73,2.62,0.322,0.35,0.306,614,886,763,737,0.852,1.228,0.37,0.496,500
